Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  
Jason Vaughn,DE,MIami,FL,6'4'',225,,73,South Florida,,,,2019,South Florida, None, None,
Xavier Weaver,WR,Orlando,FL,6'0'',165,,71,South Florida,193,,,2019,South Florida,764,243,
Joshua Blanchard,OG,Miami,FL,6'4'',279,,71,South Florida,112,,,2019,South Florida,,,
Tae'Aviion Gray,OLB,Quitman,GA,6'1'',205,,71,South Florida,157,,,2019,South Florida,791,252,
Daquan Evans,CB,Orlando,FL,5'10'',165,,70,South Florida,125,,,2019,South Florida,,,
Jayden Curry,S,Bradenton,FL,5'11'',183,,70,South Florida,,,,2019,South Florida,,,
Mac Harris,S,The Villages,FL,6'1'',200,75.0,South Florida,,,,,2020,South Florida,,,
Brian Battie,RB,Bradenton,FL,5'6'',165,74.0,South Florida,,562,,,2020,South Florida,83,190,
Jordan Smith,QB, Lake City,FL,6'0'',170,74.0,South Florida,,32,,,2020,South Florida,,,
Katravis Marsh,QB,Miami,FL,6'3'',180,74.0,South Florida,,33,,,2020,South Florida,608,207,
Cesar Reyes,OT,Tampa,FL,6'5'',300,74.0,South Florida,,132,,,2020,South Florida,,,
David Anderton,OG,Orlando,FL,6'3'',300,74.0,South Florida,,97,,,2020,South Florida,632,219,
Levontae Camiel,OL,Lake City,FL,6'1'',200,74.0,South Florida,,127,,,2020,South Florida,634,220,
Omarion Dollison,WR,Cayce,SC,5'9'',175,73.0,South Florida,,239,,,2020,South Florida,,,
A.J. Hamilton,CB,Dunnellon,FL,5'10'',165,73.0,South Florida,,128,,,2020,South Florida,,,
Tramel Logan Jr.,DE,Miami,FL,6'2'',230,73.0,South Florida,,742,,,2020,South Florida,,,
Christopher Townsel,S,Deerfield Beach,FL,6'2'',175,73.0,South Florida,,118,,,2020,South Florida,,,
Sione Tuitupou,DT,Kailua,HI,6'4'',290,72.0,South Florida,,22,,,2020,South Florida,,,
Uriah Greene,OG,Charlotte,NC,6'3'',290,72.0,South Florida,,159,,,2020,South Florida,894,68,
Holden Willis,WR,Greenback,TN,6'4'',205,72.0,South Florida,,298,,,2020,South Florida,,,
Ben Knox,CB,DeLand,FL,6'1'',180,72.0,South Florida,,177,,,2020,South Florida,,,
Sincere Brown,WR,Charleston,SC,6'4'',175,71.0,South Florida,,306,,,2020,South Florida,,,
Darrian Felix,RB,Fort Myers,FL,5'11'',197,,South Florida,,,,,2020,South Florida,,,
Bo Peek,DT,Tampa,FL,6'3'',290,,South Florida,,,,,2020,South Florida, None, None,
Cade Fortin,QB,Suwanee,GA,6'3'',220,,South Florida,,,,,2020,South Florida,,,
Lavonte Valentine,RB,Melbourne,FL,6'0'',190,,South Florida,,,,,2020,South Florida, None, None,
Jimmy Horn,ATH,Sanford,FL,5'9'',165.0,79.0,South Florida,,37,,,2021,South Florida,206,75,
Jaelen Stokes,CB,Auburndale,FL,6'1'',175.0,78.0,South Florida,,39,,,2021,South Florida,243,86,
K'wan Powell,RB,Vernon,FL,5'9'',190.0,77.0,South Florida,,13,,,2021,South Florida,361,122,
Gunnar Greenwald,TE-H,Satellite Beach,FL,6'5'',220.0,76.0,South Florida,,380,,,2021,South Florida,72,127,
Jordan Blackmon,CB,Melbourne,FL,5'10'',175.0,76.0,South Florida,,,,,2021,South Florida, None, None,
Gabe Nealy,S,Miami,FL,6'4'',175.0,76.0,South Florida,,1.0,,,2021,South Florida, None, None,
Jarren Williams,QB-PP,Gwinnett,GA,6'2'',210.0,75.0,South Florida,,114,,,2021,South Florida,,,
Davon Hicks,OLB,Vero Beach,FL,6'1'',200.0,74.0,South Florida,,199,,,2021,South Florida,580,191,
Cardrece Mobley,WR,Clearwater,FL,6'4'',190.0,74.0,South Florida,,115,,,2021,South Florida,582,130,
Drew Cornelius,OT,Franklin,GA,6'5'',270.0,74.0,South Florida,,87,,,2021,South Florida,598,134,
Jacquez Williams,DT,Savannah,GA,6'2'',270.0,74.0,South Florida,,20,,,2021,South Florida,12,6,
Andrew Stokes,K,Melbourne,AUS,6'5'',220.0,74.0,South Florida,,118,,,2021,South Florida,,,
