Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,Grade  , Reg_rank, State_rank
Nylan Brown,ILB,Indianapolis,IN,5'11'',220,77.0,,34,,,2024,Kent State,,,,Kent State Golden Flashes,, 89, 10
Clinton Robinson,S,Pittsburgh,PA,6'1'',196,75.0,,126,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Javier Etheridge,ATH,Cincinnati,OH,5'9'',155,74.0,,133,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Darrion Gilliam,WR,Chicago,IL,6'4'',190,74.0,,197,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Jaire Rawlison,CB,Harrisburg,PA,5'10'',185,74.0,,152,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Da'Shawn Martin,ATH,Springfield,OH,6'1'',170,74.0,,164,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Troy Martin,ATH,Reynoldsburg,OH,6'2'',210,73.0,,NR,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Ayden Harris,OLB,Exton,PA,5'10'',200,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Dakota Taylor,TE-H,Akron,OH,6'5'',220,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Josue Cordoba,DT,Plainfield,NJ,6'3'',270,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Wayne Harris,WR,Huntington,WV,5'10'',175,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Jaihien Roy,DE,Centreville,MD,6'3'',230,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Brodyn Bishop,S,Carroll,OH,6'1'',175,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Jayden Studio,OLB,Perry,OH,6'0'',205,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Elijah Williams,OG,Toledo,OH,6'2'',300,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Jaxon Dunn,OG,Brunswick,OH,6'4'',285,,,NR,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Cade Wolford,ATH,Jackson,OH,5'10'',195,,,NR,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Martell Buchanan,S,Randolph,KS,6'1'',180,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Preston Hopperton,WR,Streetsboro,OH,5'10'',180,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Garrett Dial,DE,Highlands Ranch,CO,6'4'',215,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Tommy Newcomb,K,La Grange,IL,6'0'',160,,,NR,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Jett Hilding,QB-PP,Chicago,IL,6'2'',185,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Armahn Hale,S (JC),Akron,OH,6'0'',190,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
Myles Woods,ILB (TR),Towson,MD,6'0'',220,,,,,,2024,Kent State,,,,Kent State Golden Flashes,,,
