Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University ,School
Taylor Taliulu,S,Aiea,HI,5'11'',171,71,Washington State,,,,,2012,Washington State,,,,
Eduardo Middleton,OT,Oceanside,CA,6'4'',285,71,Washington State,,189,337,200,2012,Washington State,,,,
Kache Palacio,OLB,Gardena,CA,6'1'',200,67,Washington State,,197,385,226,2012,Washington State,,,,
Keith Ewing,ILB,Bellaire,TX,6'1'',215,NR,Washington State,,,,,2012,Washington State,,,,
B.J. Salmonson,OT,Everson,WA,6'5'',285,NR,Washington State,,NR,,,2012,Washington State,,,,
Destiny Vaeao,DE,Pago Pago,American Samoa,SP,6'3'',260,NR,Washington State,,,,2012,Washington State,,,,
Robert Barber,DT,Pago Pago,ASFaga'itua,6'3'',290,NR,Washington State,,,,,2012,Washington State,,,,
Vince Mayle,WR,Rocklin,CA,6'3'',220,,82.0,Washington State Cougars,7,,,2013,Washington State, None,18,,
Robert Lewis,RB,South Gate,CA,5'10'',160,,82.0,Washington State Cougars,,,,2013,Washington State, None, None,,
Tyler Bruggman,QB-PP,Phoenix,AZ,6'1'',190,,81.0,Washington State Cougars,22,,,2013,Washington State,,,,
Peyton Pelluer,ILB,Sammamish,WA,6'2'',230,,80.0,Washington State Cougars,25,,,2013,Washington State,66,5,,
Lyman Faoliu,DT,San Mateo,CA,6'2'',275,,78.0,Washington State Cougars,11,,,2013,Washington State,,,,
Ivan McLennan,OLB,El Camino,CA,6'3'',220,,78.0,Washington State Cougars,5,,,2013,Washington State, NR, NR,,
Olito Thompson,RB,Concord,CA,5'11'',208,,77.0,Washington State Cougars,75,,,2013,Washington State,109,  None,,
River Cracraft,WR,Rancho Santa Margarita,CA,6'0'',205,,77.0,Washington State Cougars,,,,2013,Washington State, None, None,,
Daquawn Brown,CB,Los Angeles,CA,5'11'',175,,76.0,Washington State Cougars,64,,,2013,Washington State,140,101,,
Cody O'Connell,OT,Wenatchee,WA,6'9'',351,,76.0,Washington State Cougars,67,,,2013,Washington State,194,11,,
Carlos Freeman,OG,Midwest City,OK,6'3'',300,,75.0,Washington State Cougars,487,,,2013,Washington State,79,36,,
Gerald Sterling,DT,Aliceville,AL,6'3'',245,,74.0,Washington State Cougars,26,,,2013,Washington State,186,14,,
Cole Madison,TE-Y,Burien,WA,6'6'',260,,74.0,Washington State Cougars,104,,,2013,Washington State,,,,
Riley Sorenson,OT,Rancho Santa Margarita,CA,6'5'',318,,74.0,Washington State Cougars,209,,,2013,Washington State,,,,
Paulo Lepua,DE,Harbor City,CA,6'2'',255,,73.0,Washington State Cougars,,,,2013,Washington State, None, None,,
Gerard Wicks,RB,Long Beach,CA,5'10'',180,,73.0,Washington State Cougars,,,,2013,Washington State, None, None,,
Marcellus Pippins,CB,El Cerrito,CA,5'9'',165,,73.0,Washington State Cougars,34,,,2013,Washington State,,,,
Isaac Dotson,QB-DT,Newport,WA,6'3'',203,,73.0,Washington State Cougars,21,,,2013,Washington State,,,,
Jacob Seydel,OT,Riverside,CA,6'6'',295,,71.0,Washington State Cougars,263,,,2013,Washington State,135,175,,
Jamal Morrow,RB,Romoland,CA,5'8'',177,,71.0,Washington State Cougars,145,,,2013,Washington State,,,,
Matt Meyer,OT,Lynden,WA,6'5'',290,,70.0,Washington State Cougars,209,,,2013,Washington State,305,240,,
Charleston White,WR,Amarillo,TX,6'0'',165,,70.0,Washington State Cougars,,,,2013,Washington State, None, None,,
Darius Lemora,S,Port Arthur,TX,6'0'',180,,69.0,Washington State Cougars,,,,2013,Washington State,,,,
Markell Sanders,S,Bellevue,WA,6'1'',175,,69.0,Washington State Cougars,,,,2013,Washington State, None, None,,
Emmitt Su'a-Kalio,DE,Pago Pago,AS,6'4'',250,,,Washington State Cougars,,,,2013,Washington State,,,,
B.J. Salmonson,OT,Everson,WA,6'5'',285,,,Washington State Cougars,NR,,,2013,Washington State,,,,
Daniel Ekuale,DT,Pago Pago,AS,6'4'',285,,,Washington State Cougars,NR,,,2013,Washington State, NR, NR,,
Dylan Hanser,OLB,Billings,MT,6'5'',230,,,Washington State Cougars,,,,2013,Washington State,,,,
Paris Taylor,S,Woodland Hills,CA,6'3'',225,,,Washington State Cougars,,,,2013,Washington State,,,,
Thomas Toki,DT,Mountain View,CA,5'11'',307,82,Washington State,,21,34,22,2015,Washington State,,,,
Deion Singleton,S,Pasco,WA,6'1'',165,81,Washington State,,,,,2015,Washington State,,,,
Tavares Martin,WR,Palm Beach Gardens,FL,6'1'',156,80,Washington State,,35,,,2015,Washington State,,,,
Aaron Porter,ILB,La Habra,CA,6'1'',230,80,Washington State,,1,,,2015,Washington State,,,,
Shalom Luani,S,San Francisco,CA,6'1'',200,79,Washington State,,3,,,2015,Washington State,,,,
Hunter Dale,S,River Ridge,LA,5'11'',195,79,Washington State,,27,,,2015,Washington State,,,,
T.J. Fehoko,DE,Salt Lake City,UT,6'1'',245,79,Washington State,,42,,,2015,Washington State,,,,
