Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,School  
Ty Johnson,ATH,Cumberland,MD,5'10'',178,,77,Maryland,,,,2015,Maryland,,,,,
D.J. Moore,WR,Philadelphia,PA,6'0'',200,,77,Maryland,121,,,2015,Maryland,,104,16,,
E.J. Donahue,OT,Frederick,MD,6'5'',330,,77,Maryland,87,,,2015,Maryland,,,,,
Brett Zanotto,OLB,Murrysville,PA,6'0'',215,,75,Maryland,148,,,2015,Maryland,,,,,
Mason Zimmerman,OC,Whitehouse,OH,6'4'',275,,74,Maryland,10,,,2015,Maryland,,144,59,,
Will McClain,OG,Middletown,MD,6'5'',290,,74,Maryland,99,,,2015,Maryland,,,,,
Jahrvis Davenport,WR,Tampa,FL,5'10'',180,,74,Maryland,171,,,2015,Maryland,,602,215,,
Mbi Tanyi,OG,Houston,TX,6'3'',247,,73,Maryland,262,,,2015,Maryland,, None, None,,
Oseh-lie Saine,DE (POST),Worcester,MA,6'5'',285,,73,Maryland,,,,2015,Maryland,,,,,
Isaiah Davis,ILB,Alexandria,VA,6'2'',213,,73,Maryland,53,,,2015,Maryland,,,,,
Keiron Howard,OG,Oxon Hill,MD,6'3'',284,,72,Maryland,140,,,2015,Maryland,,,,,
Darnell Savage Jr.,ATH,Bear,DE,5'11'',177,,72,Maryland,151,,,2015,Maryland,,218,3,,
Nick Rubinowicz,K,Delray Beach,FL,6'3'',210,,NR,Maryland,,,,2015,Maryland,, None, None,,
Markquese Bell,ATH,Bridgeton,NJ,6'3'',194,4.0,84,,5,10,1,2017,Maryland,,,,Maryland,
Anthony McFarland,RB,Hyattsville,MD,5'9'',203,3.0,83,,12,,,2017,Maryland,,,,Maryland,
Deon Jones,CB,Oxon Hill,MD,6'1'',183,3.0,82,,14,,,2017,Maryland,,,,Maryland,
Marcus Minor,OG,Hyattsville,MD,6'4'',285,3.0,81,,17,,,2017,Maryland,,,,Maryland,
Kasim Hill,QB-PP,Washington,DC,6'2'',215,3.0,80,,13,32,2,2017,Maryland,,,,Maryland,
Jordan McNair,OG,Owings Mills,MD,6'5'',327,3.0,80,,,,,2017,Maryland,,,,Maryland,
Tahj Capehart,WR,Virginia Beach,VA,5'10'',185,3.0,80,,53,,,2017,Maryland,,,,Maryland,
Sean Nelson,WR,Fairburn,GA,6'0'',178,3.0,80,,56,172,43,2017,Maryland,,,,Maryland,
Cam Spence,DT,Washington,DC,6'3'',300,3.0,80,,27,,,2017,Maryland,,,,Maryland,
Breyon Gaddy,DT,Virginia Beach,VA,6'4'',335,3.0,79,,36,,,2017,Maryland,,,,Maryland,
Fofie Bazzie,CB,Gaithersburg,MD,6'0'',187,3.0,78,,45,73,11,2017,Maryland,,,,Maryland,
Javon Leake,RB,Greensboro,NC,6'0'',195,3.0,78,,42,,,2017,Maryland,,,,Maryland,
Carlos Carriere,WR,Alpharetta,GA,6'5'',162,3.0,78,,,,,2017,Maryland,,,,Maryland,
Alex Woods,CB (JC),Durham,NC,6'2'',180,3.0,78,,13,,,2017,Maryland,,,,Maryland,
Johnny Jordan,OC,Washington,DC,6'1'',299,3.0,77,,12,93,9,2017,Maryland,,,,Maryland,
M.J. Jarrell,WR,Orlando,FL,6'2'',183,3.0,77,,126,350,126,2017,Maryland,,,,Maryland,
Jalen Browder,WR,Dallas,GA,6'1'',182,3.0,77,,150,,,2017,Maryland,,,,Maryland,
Jayden Comma,WR,Roswell,GA,6'1'',205,3.0,77,,,,,2017,Maryland,,,,Maryland,
Brandon Gaddy,ATH,Virginia Beach,VA,6'4'',289,3.0,76,,,,,2017,Maryland,,,,Maryland,
Nick Underwood,ILB (JC),Lake Oswego,OR,6'2'',230,3.0,76,,2,,,2017,Maryland,,,,Maryland,
Andrew Park,TE-Y,Burke,VA,6'5'',218,3.0,76,,26,124,28,2017,Maryland,,,,Maryland,
Ayinde Eley,OLB,Olney,MD,6'4'',218,3.0,75,,,126,15,2017,Maryland,,,,Maryland,
Lawtez Rogers,DE,Greenbelt,MD,6'5'',253,3.0,75,,91,,,2017,Maryland,,,,Maryland,
B'Ahmad Miller,DT,Baltimore,MD,6'2'',258,3.0,73,,44,,,2017,Maryland,,,,Maryland,
Bryce Brand,ILB,Concord,CA,6'1'',250,3.0,73,,72.0,,,2017,Maryland,,,,Maryland,
Kenny Bennett,S,Philadelphia,PA,6'2'',195,3.0,72,,100,,,2017,Maryland,,,,Maryland,
Ta'yon Fleet-Davis,RB,Oxon Hill,MD,6'0'',211,3.0,72,,NR,,,2017,Maryland,,,,Maryland,
Tyran Hunt,DT,Courtland,VA,6'6'',275,3.0,71,,,,,2017,Maryland,,,,Maryland,
Ryan Brand,QB-DT (JC),Detroit,MI,5'11'',190,,Maryland,,,,,2017,Maryland,,,,,
Jaelyn Duncan,OT,Baltimore,MD,6'5'',302,5,85.0,Maryland,4,9,3,2018,Maryland,,,,,
