Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,School,Reg_rank,State_rank
Ilaisa Gonebure,DT,Rocklin,CA,6'4'',320,74,,201,,,2021,San Diego State,,San Diego State,,
Joshua Nicholson,WR,Grand Prairie,TX,5'10'',165,74,,220,315,242,2021,San Diego State,,San Diego State,,
Jatavious Magee,S,Federal Way,WA,6'1'',170,73,,114,,20,2021,San Diego State,,San Diego State,,
Dominic Oliver,OLB,San Jose,CA,6'3'',215,73,,141,214,127,2021,San Diego State,,San Diego State,,
William Haskell,QB-DT,Glendale,AZ,6'3'',190,73,,35,,,2021,San Diego State,,San Diego State,,
Cam Davis,RB,Dallas,TX,5'8'',170,73,,124,,,2021,San Diego State,,San Diego State,,
Gus McGee,TE-Y,Miami,FL,6'5'',220,72,,59,,,2021,San Diego State,,San Diego State,,
Jaiden Brown,CB,San Diego,CA,6'0'',170,72,,158,252,149,2021,San Diego State,,San Diego State,,
Nowlin Ewaliko,DE,Seattle,WA,6'4'',230,72,,197,,,2021,San Diego State,,San Diego State,,
Cameron Harpole,TE-H,Prosper,TX,6'4'',225,72,,39,,,2021,San Diego State,,San Diego State,,
Christian Jones,OT,San Luis Obispo,CA,6'8'',300,72,,162,,,2021,San Diego State,,San Diego State,,
Zavier Leonard,OT,Arlington,TX,6'4'',290,71,,169,,,2021,San Diego State,,San Diego State,,
J.P. Murphy,TE-Y,Danville,CA,6'4'',220,71,,286,70,168,2021,San Diego State,,San Diego State,,
D.J. Bryant,QB-DT,San Leandro,CA,6'0'',175,71,,44,,,2021,San Diego State,,San Diego State,,
Brady Anderson,ILB,Bakersfield,CA,6'2'',215,71,,300,76,172,2021,San Diego State,,San Diego State,,
Jalen Mayden,QB-DT,Sachse,TX,6'3'',225,71,,, None, None,2021,San Diego State,,San Diego State,,
Tyrell Shavers,WR,Lewisville,TX,6'6'',215,TR,,, None, None,2021,San Diego State,,San Diego State,,
Brady Nassar,DE,Pleasanton,CA,6'3'',235,,,132,,,2023,San Diego State,77.0,,106,78
Javance Tupou'ata-Johnson,QB-DT,West Hills,CA,6'5'',215,,,94,,,2023,San Diego State,77.0,,,
