Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School, Pos, City, State, Height, Weight, Grade, University
Chase Cokley,WR,Austin,TX,5'11'',170,,Air Force,,,,,2016,North Texas,, None, None,,,,,,,,
Joseph Ozougwu,DE,Houston,TX,6'2'',200,,Air Force,,,,,2016,North Texas,, None, None,,,,,,,,
Khairi Muhammad,ATH,DeSoto,TX,5'9'',175,,Air Force,,,,,2016,North Texas,, None, None,,,,,,,,
Chandler Anthony,OT,Tuttle,OK,6'6'',290,,Air Force,,NR,,,2016,North Texas,,,,,,,,,,,
Tyler Wilson,WR,Arlington,TX,5'10'',175,,Air Force,,NR,,,2016,North Texas,,,,,,,,,,,
Deion Griffin,WR,Fort Worth,TX,5'10'',180,,Air Force,,,,,2016,North Texas,,,,,,,,,,,
Bryce English,DT,DeSoto,TX,5'11'',310,,Air Force,,,,,2016,North Texas,,,,,,,,,,,
Alec Morris,QB-PP,Allen,TX,6'3'',225,,Air Force,,,,,2016,North Texas,, NR, NR,,,,,,,,
T.J. Henson,OT,Plano,TX,6'4'',310,,Air Force,,NR,,,2016,North Texas,,,,,,,,,,,
Jalen Thomas,OT,Brooklyn,NY,6'5'',285,,Air Force,,,,,2016,North Texas,, None, None,,,,,,,,
Joshua Wheeler,DE,Grand Prairie,TX,6'3'',255,,Air Force,,,,,2016,North Texas,,,,,,,,,,,
Dontavius Baulkman,S,Yuma,AZ,5'10'',205,,Air Force,,,,,2016,North Texas,, None, None,,,,,,,,
Darius Turner,CB,Yuma,AZ,6'0'',190,,Air Force,,,,,2016,North Texas,, None, None,,,,,,,,
Ejodamen Ejiya,OLB,Spring Lake Park,MN,6'2'',205,,Air Force,,,,,2016,North Texas,, None, None,,,,,,,,
Anthony Wyche,RB,Philadelphia,PA,5'9'',185,,Air Force,,,,,2016,North Texas,,,,,,,,,,,
Cody Hayes,OT,Fort Worth,TX,6'5'',300,,Air Force,,,,,2016,North Texas,,,,,,,,,,,
Tre Siggers,ATH,Duncanville,TX,5'8'',170,,,North Texas,NR,,,2017,North Texas,, NR, NR,,,,,,,,
Jaelon Darden,ATH,Houston,TX,5'9'',160,,,North Texas,,,,2017,North Texas,, None,,,,,,,,,
Devon Tibbs,DE,Houston,TX,6'3'',252,,,North Texas,,,,2017,North Texas,,,,,,,,,,,
Gregory White,WR,Riverdale,GA,6'2'',167,,,North Texas,,,,2017,North Texas,,,,,,,,,,,
Josh Donovan,OC,College Station,TX,6'5'',292,,,North Texas,,,,2017,North Texas,, None, None,,,,,,,,
Junius King,DT,Mesquite,TX,6'1'',308,,,North Texas,NR,,,2017,North Texas,, NR, NR,,,,,,,,
Makyle Sanders,S,Midland,TX,6'2'',178,,,North Texas,,,,2017,North Texas,, None, None,,,,,,,,
Cade Pearson,QB-DT,Texarkana,TX,6'3'',194,,,North Texas,,,,2017,North Texas,, None, None,,,,,,,,
Jacob Brammer,OT,Richmond,TX,6'5'',275,,,North Texas,,,,2017,North Texas,,,,,,,,,,,
Tyreke Davis,ATH,Denton,TX,5'9'',185,,,North Texas,NR,,,2017,North Texas,,,,,,,,,,,
Brian Parish,OG,Seguin,TX,6'3'',250,,,North Texas,,,,2017,North Texas,,,,,,,,,,,
Brendon Weatherspoon,OG,Hurst,TX,6'3'',305,,,North Texas,NR,,,2017,North Texas,,,,,,,,,,,
Cameron Johnson,CB,Houston,TX,5'11'',170,,,North Texas,NR,,,2017,North Texas,, NR, NR,,,,,,,,
Kody Fulp,ILB,China Spring,TX,6'1'',215,,,North Texas,,,,2017,North Texas,,,,,,,,,,,
Dakoda Newman,OC,Arlington,TX,6'2'',310,,,North Texas,,,,2017,North Texas,, None, None,,,,,,,,
Tony Krasniqi,DT,Sachse,TX,6'1'',240,,,North Texas,,,,2017,North Texas,, None, None,,,,,,,,
Evan Johnson,ATH,Loranger,LA,5'8'',170,,,North Texas,NR,,,2017,North Texas,,,,,,,,,,,
Manase Mose,OG,Euless,TX,6'2'',295,,,North Texas,,,,2017,North Texas,,,,,,,,,,,
Dion Novil,DT,Wylie,TX,6'4'',240,,,North Texas,,,,2017,North Texas,,,,,,,,,,,
Chris Thornton,OLB,Amarillo,TX,6'1'',210,,,North Texas,NR,,,2017,North Texas,,,,,,,,,,,
Jalen Guyton,WR (JC),Allen,TX,6'1'',190,,,North Texas,,,,2017,North Texas,, None, None,,,,,,,,
Devlin Isadore,QB-DT (JC),Houston,TX,6'3'',225,,,North Texas,,,,2017,North Texas,, None, None,,,,,,,,
Jevin Pahinui,OG (JC),Mountlake Terrace,WA,6'4'',283,,,North Texas,,,,2017,North Texas,,,,,,,,,,,
Deonte Simpson,WR,Beaumont,TX,5'11'',190,77.0,North Texas,,112,,,2019,North Texas,,168,124,,,,,,,,
Asher Alberding,TE-Y,Houston,TX,6'4'',219,76.0,North Texas,,26,,,2019,North Texas,,,,,,,,,,,
Demeco Roland,DT,Broken Arrow,OK,6'3'',282,75.0,North Texas,,241,,,2019,North Texas,,83,17,,,,,,,,
Taylor Jacobs,ILB,Grand Prairie,TX,6'1'',215,75.0,North Texas,,32,,,2019,North Texas,,243,178,,,,,,,,
Daxton Byers,OT,Lamont,OK,6'5'',295,74.0,North Texas,,125,,,2019,North Texas,,274,18,,,,,,,,
Oscar Adaway,RB,North Little Rock,AR,6'0'',210,74.0,North Texas,,101,,,2019,North Texas,,,,,,,,,,,
Khatib Lyles,WR,El Paso,TX,6'2'',201,73.0,North Texas,,176,,,2019,North Texas,,,,,,,,,,,
Gabriel Murphy,OLB,Dallas,TX,6'2'',213,73.0,North Texas,,124,,,2019,North Texas,,297,215,,,,,,,,
Grayson Murphy,ILB,Dallas,TX,6'2'',214,73.0,North Texas,,46,,,2019,North Texas,,,,,,,,,,,
John Brunner,OT,Brock,TX,6'4'',300,73.0,North Texas,,139,,,2019,North Texas,,300,218,,,,,,,,
Will Kuehne,QB-DT,Owasso,OK,6'1'',189,73.0,North Texas,,46,,,2019,North Texas,,,,,,,,,,,
Jimmy Walker,DE,Houston,TX,6'2'',250,73.0,North Texas,,198,,,2019,North Texas,,313,229,,,,,,,,
David Sow,DE,Dallas,TX,6'4'',240,72.0,North Texas,,19,,,2019,North Texas,, NR, NR,,,,,,,,
Kealon Jackson,WR,Pearland,TX,5'9'',156,72.0,North Texas,,187,,,2019,North Texas,,315,230,,,,,,,,
Leandre Davis,RB,Rosenberg,TX,5'9'',188,72.0,North Texas,,111,,,2019,North Texas,,319,234,,,,,,,,
Damon Ward,WR,Beaumont,TX,6'0'',195,72.0,North Texas,,190,,,2019,North Texas,,,,,,,,,,,
DeShawn Gaddie,CB,Arlington,TX,5'11'',170,72.0,North Texas,,152,,,2019,North Texas,,323,236,,,,,,,,
Jevin Murray,CB,Pearland,TX,5'10'',173,71.0,North Texas,,154,,,2019,North Texas,,329,241,,,,,,,,
Kevin Wood,ILB,Converse,TX,5'11'',200,71.0,North Texas,,50,,,2019,North Texas,,,,,,,,,,,
