Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Vinnie Sunseri,OLB,Tuscaloosa,AL,5'11'',202.0,3,79,Alabama,4,,,2011,Alabama,,,,
Ryan Kelly,OC,West Chester,OH,6'4'',264.0,4,79,Alabama,13,,,2011,Alabama,,,,
Shannon Brown,ILB,Adel,GA,6'1'',241.0,3,79,Alabama,18,,,2011,Alabama,,,,
Isaac Luatua,OG,La Mirada,CA,6'2'',300.0,3,79,Alabama,,,,2011,Alabama,,,,
Wilson Love,DT (LQ),Mountain Brook,AL,6'4'',270.0,3,79,Alabama,,,,2011,Alabama,,,,
Ronald Carswell,WR (LQ),Macon,GA,6'0'',180.0,3,78,Alabama,40,,,2011,Alabama,290,NR,,
Phillip Ely,QB,Tampa Bay,FL,6'1'',188.0,3,77,Alabama,,,,2011,Alabama,,,,
Quinton Dial,DT (JC),Pinson,AL,6'5'',325.0,3,50,Alabama,NR,,,2011,Alabama,NR,NR,,
Jesse Williams,DT (JC),Brisbane,AUS,6'3'',330.0,3,50,Alabama,,,,2011,Alabama, None, None,,
Duron Carter,WR (JC),Fort Lauderdale,FL,6'4'',210.0,3,50,Alabama,,,,2011,Alabama,,,,
Aaron Douglas,OT (JC),Maryville,TN,6'6'',285.0,3,50,Alabama,,,,2011,Alabama,,,,
Landon Collins,S,Geismar,LA,6'0'',210.0,5,85,Alabama,1,2,1,2012,Alabama,,,,
Eddie Williams,ATH,Panama City,FL,6'4'',210.0,5,85,Alabama,2,,,2012,Alabama,,,,
Cyrus Jones,ATH,Baltimore,MD,5'11'',185.0,5,83,Alabama,4,,,2012,Alabama,,,,
Chris Black,WR,Jacksonville,FL,5'11'',170.0,5,83,Alabama,2,10,5,2012,Alabama,,,,
Brandon Greene,OT,Ellenwood,GA,6'5'',285.0,5,83,Alabama,6,,,2012,Alabama,,,,
Geno Smith,CB,Atlanta,GA,5'11'',175.0,5,82,Alabama,2,16,3,2012,Alabama,,,,
Amari Cooper,WR,Miami,FL,6'1'',185.0,5,82,Alabama,49,25,12,2012,Alabama,,,,
T.J. Yeldon,RB,Daphne,AL,6'1'',210.0,5,81,Alabama,4,28,4,2012,Alabama,,,,
Dillon Lee,OLB,Buford,GA,6'4'',220.0,5,81,Alabama,,,,2012,Alabama,,,,
