Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank, State_rank  ,School,University 
Casey Gladney,WR,Columbia,SC,6'1'',185,Texas Tech,,37,,,2012,Texas Tech,80.0,105,6,,,
Clayton Nicholas,QB,Abilene,TX,6'3'',205,Texas Tech,,23,,,2012,Texas Tech,79.0,70,54,,,
Ryan Flannigan,OLB,Missouri City,TX,6'1'',200,Texas Tech,,,,,2012,Texas Tech,79.0,84,68,,,
J.J. Lollar,DT,College Station,TX,6'3'',275,Texas Tech,,36,,,2012,Texas Tech,79.0,89,71,,,
Trey Keenan,OT,Argyle,TX,6'5'',265,Texas Tech,,55,,,2012,Texas Tech,78.0,,,,,
Keenon Ward,ATH,Snyder,TX,5'10'',185,Texas Tech,,52,,,2012,Texas Tech,78.0,,,,,
Micah Awe,OLB,Arlington,TX,6'0'',197,Texas Tech,,68,,,2012,Texas Tech,78.0,122,95,,,
Jared Kaster,OC,Altair,TX,6'3'',265,Texas Tech,,9,,,2012,Texas Tech,78.0,140,109,,,
Kris Williams,OLB,Dallas,TX,6'1'',203,Texas Tech,,186,,,2012,Texas Tech,76.0,,,,,
Anthony Smith,DT,Houston,TX,5'11'',291,Texas Tech,,,,,2012,Texas Tech,76.0, None, None,,,
Chase Robison,DE,Memphis,TN,6'4'',228,Texas Tech,,125,,,2012,Texas Tech,76.0,475,24,,,
La'Darius Newbold,ATH,Lancaster,TX,6'0'',180,Texas Tech,,,,,2012,Texas Tech,75.0, None, None,,,
Thierry Nguema,CB,Corona,CA,5'11'',185,Texas Tech,,5,,,2012,Texas Tech,75.0,,,,,
Quinton White,RB,College Station,TX,5'8'',185,Texas Tech,,,,,2012,Texas Tech,75.0, None, None,,,
Javon Bell,WR,Jacksonville,FL,6'0'',185,Texas Tech,,,,,2012,Texas Tech,,,,,,
Bruce Jones,CB,Riverside,CA,5'9'',175,Texas Tech,,,,,2012,Texas Tech,, None, None,,,
Lee Adams,DE,Corona,CA,6'3'',265,Texas Tech,,,,,2012,Texas Tech,, None, None,,,
Will Smith,OLB,Riverside,CA,6'3'',220,Texas Tech,,,,,2012,Texas Tech,,,,,,
SaDale Foster,WR,Riverside,CA,5'8'',190,Texas Tech,,,,,2012,Texas Tech,, None, None,,,
Rashad Fortenberry,OT,Tylertown,MS,6'5'',290,Texas Tech,,,,,2012,Texas Tech,, None, None,,,
Chris Payne,S,Columbia,SC,5'11'',190,Texas Tech,,,,,2012,Texas Tech,,,,,,
Austin Stewart,S,Matthews,NC,6'2'',200,Texas Tech,,,,,2012,Texas Tech,,,,,,
Ola Falemi,CB,Wilmington,CA,5'10'',170,Texas Tech,,,,,2012,Texas Tech,,,,,,
Breiden Fehoko,DT,Honolulu,HI,6'3'',290,Texas Tech,,51,,,2015,Texas Tech,86,9,,2,,
Jamile Johnson Jr.,S,Dallas,TX,6'0'',195,Texas Tech,,19,,,2015,Texas Tech,81,37,,,,
Madison Akamnonu,OT,Arlington,TX,6'5'',269,Texas Tech,,,,,2015,Texas Tech,81, None,,,,
Corey Dauphine,RB,Port Arthur,TX,5'11'',178,Texas Tech,,25,,,2015,Texas Tech,80,52,,,,
Conner Dyer,OG,Mesquite,TX,6'4'',280,Texas Tech,,31,,,2015,Texas Tech,80,,,,,
Keke Coutee,WR,Lufkin,TX,5'9'',180,Texas Tech,,42,,,2015,Texas Tech,80,66,,,,
J.F. Thomas,WR,Dallas,TX,6'3'',171,Texas Tech,,50,,,2015,Texas Tech,80,,,,,
Christian Taylor,S,Houston,TX,6'2'',182,Texas Tech,,43,,,2015,Texas Tech,78,114,,,,
Tony Brown,WR,La Mirada,CA,,185,Texas Tech,,95,,,2015,Texas Tech,78,,,,,
Jonathan Giles,ATH,Missouri City,TX,5'11'',174,Texas Tech,,84,,,2015,Texas Tech,77,141,,,,
D'Vonta Hinton,ILB,Texas City,TX,5'10'',215,Texas Tech,,121,,,2015,Texas Tech,77,,,,,
Trace Ellison,OT,Frisco,TX,6'6'',285,Texas Tech,,,,,2015,Texas Tech,75, None,,,,
Broderick Washington,OG,Longview,TX,6'2'',290,Texas Tech,,128,,,2015,Texas Tech,74,,,,,
Lonzell Gilmore,DE,Spring,TX,6'3'',210,Texas Tech,,182,,,2015,Texas Tech,73,270,,,,
Donta Thompson,WR,Ennis,TX,6'5'',205,Texas Tech,,,,,2015,Texas Tech,73,153,,,,
Terrence Steele,OT,Cibolo,TX,6'5'',298,Texas Tech,,14,,,2015,Texas Tech,72,,,,,
Cody Wheeler,OC,Allen,TX,6'4'',284,Texas Tech,,214,,,2015,Texas Tech,70,,,,,
Quan Shorts,WR,Humble,TX,6'1'',195,Texas Tech,,,,,2015,Texas Tech,70, None,,,,
Joseph Clark,ATH,Tyler,TX,,178,Texas Tech,,,,,2015,Texas Tech,70,,,,,
Erik Ezukanma,WR,Fort Worth,TX,6'2'',186,80.0,,60,,,2018,Texas Tech,,68,54,,Texas Tech,
Myller Royals,WR,Abilene,TX,6'4'',180,79.0,,92,,,2018,Texas Tech,,94,74,,Texas Tech,
Alan Bowman,QB-PP,Grapevine,TX,6'3'',208,78.0,,36,,,2018,Texas Tech,,,,,Texas Tech,
Corey Fulcher,WR,Dallas,TX,6'2'',180,77.0,,167,,,2018,Texas Tech,,,,,Texas Tech,
Xavier Benson,OLB,Texarkana,TX,6'2'',200,77.0,,61,,,2018,Texas Tech,,177,143,,Texas Tech,
KeSean Carter,WR,The Woodlands,TX,5'10'',146,76.0,,176,,,2018,Texas Tech,,190,155,,Texas Tech,
Hakeem White,OG,Waco,TX,6'3'',281,75.0,,213,,,2018,Texas Tech,,,,,Texas Tech,
Clayton Franks,OG,Mansfield,TX,6'4'',270,74.0,,84,,,2018,Texas Tech,,,,,Texas Tech,
Ta'zhawn Henry,RB,Houston,TX,5'6'',166,74.0,,89,,,2018,Texas Tech,,237,191,,Texas Tech,
Demarcus Marshall,OG,Grand Prairie,TX,6'3'',335,74.0,,212,,,2018,Texas Tech,,,,,Texas Tech,
Sterling Galban,WR,Burnet,TX,5'9'',165,73.0,,140,,,2018,Texas Tech,,262,209,,Texas Tech,
John Scott,DE,Hitchcock,TX,6'3'',245,73.0,,123,,,2018,Texas Tech,,272,217,,Texas Tech,
Weston Wright,OT,New Braunfels,TX,6'5'',290,72.0,,98,,,2018,Texas Tech,,,,,Texas Tech,
SaRodorick Thompson,RB,Irving,TX,6'0'',192,72.0,,282,,,2018,Texas Tech,,117,226,,Texas Tech,
Jaylon Hutchings,DT,Forney,TX,6'0'',260,71.0,,129,,,2018,Texas Tech,,287,231,,Texas Tech,
Troy Bradshaw,OT,Mineral Wells,TX,6'7'',258,69.0,,,,,2018,Texas Tech,, None, None,,Texas Tech,
Patrick Curley,OLB,Wagoner,OK,6'2'',215,,,,,,2018,Texas Tech,,,,,Texas Tech,
Gilbert Ibeneme,DE,Pearland,TX,6'3'',240,Texas Tech ,,59,77,56,2019,Texas Tech,79,,,,,
Bryce Robinson,ILB,Sachse,TX,6'0'',232,Texas Tech ,,18,,,2019,Texas Tech,78,,,,,
Maverick McIvor,QB-PP,San Angelo,TX,6'3'',197,Texas Tech ,,25,135,97,2019,Texas Tech,78,,,,,
Trevor Roberson,OT,Wellington,TX,6'10'',340,Texas Tech ,,146,,,2019,Texas Tech,78,,,,,
Cameron Cantrell,WR,Whitehouse,TX,6'0'',180,Texas Tech ,,99,,,2019,Texas Tech,78,,,,,
Landon Peterson,OT,Odessa,TX,6'5'',265,Texas Tech ,,156,78,113,2019,Texas Tech,77,,,,,
Travis Koontz,TE-Y,Youngstown,OH,6'4'',250,Texas Tech ,,4,,,2019,Texas Tech,77,,,,,
Alante Brown,ATH,Chicago,IL,5'10'',181,Texas Tech ,,85,,,2019,Texas Tech,77,,,,,
Tony Bradford,DE,Houston,TX,6'0'',239,Texas Tech ,,139,,,2019,Texas Tech,76,,,,,
Dequanteous Watts,CB,Atlanta,GA,6'1'',165,Texas Tech ,,103,517,112,2019,Texas Tech,75,,,,,
Alex Hogan,CB,Houston,TX,5'11'',170,Texas Tech ,,107,,,2019,Texas Tech,75,,,,,
Austin McNamara,K,Gilbert,AZ,6'3'',165,Texas Tech ,,12,,,2019,Texas Tech,75,,,,,
Simon Gonzalez,TE-H,Magnolia,TX,6'3'',212,Texas Tech ,,28,,,2019,Texas Tech,75,,,,,
Tyrique Matthews,OLB,Houston,TX,5'10'',200,Texas Tech ,,108,,,2019,Texas Tech,75,,,,,
Alan Orona,K,La Grange,TX,5'10'',170,Texas Tech ,,18,,,2019,Texas Tech,75,,,,,
Trey Cleveland,WR,Arlington,TX,6'3'',180,Texas Tech ,,151,,,2019,Texas Tech,75,,,,,
Dadrion Taylor,RB,Midwest City,OK,5'11'',170,Texas Tech ,,107,,,2019,Texas Tech,73,,,,,
Cole Thomas,OT,Seattle,WA,6'7'',285,Texas Tech ,,145,,,2019,Texas Tech,72,,,,,
Quinton Williams,DE,Houston,TX,6'4'',230,Texas Tech ,,,,,2019,Texas Tech,NR,,,,,
Jonathan Garibay,K,Riverside,CA,6'0'',195,Texas Tech,,,,,2019,Texas Tech,NR,,,,,
Loic Fouonji,WR,Midland,TX,6'3'',185,Texas Tech,,51,,,2020,Texas Tech,80.0,65,52,,,
Tahj Brooks,RB,Manor,TX,5'10'',212,Texas Tech,,35,,,2020,Texas Tech,79.0,87,69,,,
Ja'Lynn Polk,WR,Lufkin,TX,6'1'',180,Texas Tech,,98,,,2020,Texas Tech,78.0,,,,,
Myles Price,WR,The Colony,TX,5'9'',165,Texas Tech,,57,,,2020,Texas Tech,78.0,,,,,
Philip Blidi,DE,Portales,NM,6'4'',245,Texas Tech,,51,,,2020,Texas Tech,78.0,130,98,,,
Donovan Smith,ATH,Wolfforth,TX,6'4'',195,Texas Tech,,77,,,2020,Texas Tech,77.0,146,110,,,
L.B. Moore,OLB,Amarillo,TX,6'4'',220,Texas Tech,,28,,,2020,Texas Tech,77.0,183,134,,,
Derrick Lewis,ILB,Schertz,TX,6'1'',200,Texas Tech,,59,,,2020,Texas Tech,76.0,188,137,,,
Ryan Frank,S,Magnolia,TX,6'2'',185,Texas Tech,,,,,2020,Texas Tech,75.0, None, None,,,
Nate Floyd,CB,College Station,TX,6'0'',175,Texas Tech,,160,,,2020,Texas Tech,75.0,193,141,,,
J.J. Sparkman,WR,Longview,TX,6'4'',190,Texas Tech,,105,,,2020,Texas Tech,75.0,,,,,
Caleb Rogers,OT,Mansfield,TX,6'4'',270,Texas Tech,,27,,,2020,Texas Tech,75.0,218,159,,,
John Holcomb,TE,Wellington,TX,6'5'',215,Texas Tech,,74,,,2020,Texas Tech,75.0,222,163,,,
Kobee Minor,S,Corinth,TX,5'11'',175,Texas Tech,,119,,,2020,Texas Tech,75.0,,,,,
Larry Moore,OT,Missouri City,TX,6'5'',275,Texas Tech,,74,,,2020,Texas Tech,74.0,240,176,,,
Jonathan Davis,S,Dallas,TX,6'1'',170,Texas Tech,,3,,,2020,Texas Tech,74.0,,,,,
Krishon Merriweather,ILB,Hazelwood,MO,6'0'',230,Texas Tech,,24,,,2020,Texas Tech,74.0,,,,,
Devin Drew,DT,Kansas City,MO,6'4'',275,Texas Tech,,27,,,2020,Texas Tech,72.0, None, None,,,
Ethan Carde,OT,Valrico,FL,6'8'',325,Texas Tech,,,,,2020,Texas Tech,71.0,,,,,
Cameron Watts,CB,Tulsa,OK,5'11'',180,Texas Tech,,,,,2020,Texas Tech,, None, None,,,
Brandon Bouyer-Randle,ILB,Battle Creek,MI,6'2'',235,Texas Tech,,,,,2020,Texas Tech,,,,,,
Christian LaValle,ILB,Mission Viejo,CA,6'0'',230,Texas Tech,,,,,2020,Texas Tech,,,,,,
Maurion Horn,CB,Broken Arrow,OK,5'11'',175,Texas Tech,,27,48,5,2022,Texas Tech,82.0,,,,,
Joseph Adedire,DE,Arlington,TX,6'3'',240,Texas Tech,,30,71,51,2022,Texas Tech,80.0,,,,,
Landon Hullaby,S,Mansfield,TX,6'0'',180,Texas Tech,,25,,,2022,Texas Tech,80.0,,,,,
Tyler King,WR,Houston,TX,5'10'',170,Texas Tech,,59,,,2022,Texas Tech,80.0,,,,,
