Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank
Parker Moorer,OT,Charlotte,NC,6'4'',290,77,West Virginia,,88,401,41,2019,West Virginia,,,
Kerry Martin,ATH,Charleston,WV,6'1'',199,77,West Virginia,,96,81,6,2019,West Virginia,,,
Tykee Smith,CB,Philadelphia,PA,5'10'',187,77,West Virginia,,78,,,2019,West Virginia,,,
Winston Wright,ATH,Savannah,GA,5'10'',154,77,West Virginia,,90,426,94,2019,West Virginia,,,
Donavan Beaver,OT,Fredericksburg,VA,6'6'',280,76,West Virginia,,97,,,2019,West Virginia,,,
Taijh Alston,DE,Wesson,MS,6'5'',230,76,West Virginia,,15, None, None,2019,West Virginia,,,
Nick Malone,OT,Morgantown,WV,6'5'',276,76,West Virginia,,100,112,7,2019,West Virginia,,,
Rashean Lynn,WR,Cocoa,FL,6'3'',185,76,West Virginia,,130,479,158,2019,West Virginia,,,
Tony Mathis,RB,Cedartown,GA,5'11'',191,75,West Virginia,,,88,546,2019,West Virginia,,,
Brandon Yates,OT,Henderson,NV,6'4'',260,74,West Virginia,,121,195,8,2019,West Virginia,,,
Ali Jennings,WR,Highland Springs,VA,6'1'',182,74,West Virginia,,158,,,2019,West Virginia,,,
Jalen Thornton,DE,Cincinnati,OH,6'2'',246,74,West Virginia,,164,145,54,2019,West Virginia,,,
Jared Bartlett,OLB,Suwanee,GA,6'2'',213,74,West Virginia,,115,,,2019,West Virginia,,,
Kolton McGhee,K,Altoona,PA,5'11'',170,74,West Virginia,,28,162,28,2019,West Virginia,,,
Tavian Mayo,CB,Leesburg,GA,5'11'',175,73,West Virginia,,137,677,144,2019,West Virginia,,,
Jordan Jefferson,DT,Navarre,FL,6'2'',293,NR,West Virginia,,,,,2019,West Virginia,,,
Isaiah Esdale,WR,Elkton,MD,6'1'',203,NR,West Virginia,,,,,2019,West Virginia,,,
Vandarius Cowan,OLB,Tuscaloosa,AL,6'4'',233,TR,West Virginia,,, None, None,2019,West Virginia,,,
Austin Kendall,QB-DT,Waxhaw,NC,6'2'',219,NR,West Virginia,,, None, None,2019,West Virginia,,,
Akheem Mesidor,DE,Clearwater,FL,6'3'',250,80.0,,,30,146,52,2020,West Virginia,,,
Chris Mayo,OG,Hightstown,NJ,6'5'',297,80.0,,,19,,,2020,West Virginia,,,
David Vincent-Okoli,CB,Gaithersburg,MD,5'11'',175,79.0,,,32,61,16,2020,West Virginia,,,
Garrett Greene,QB-DT,Tallahassee,FL,5'11'',171,79.0,,,20,201,71,2020,West Virginia,,,
Quay Mays,DT,Senatobia,MS,6'1'',290,79.0,,,3,,,2020,West Virginia,,,
Tairiq Stewart,OG,Cleveland,OH,6'5'',335,78.0,,,2.0, None,,2020,West Virginia,,,
Jacob Gamble,OT,Council Bluffs,IA,6'6'',310,78.0,,,6, None, None,2020,West Virginia,,,
Devell Washington,WR,Bay City,MI,6'3'',195,77.0,,,105,61,19,2020,West Virginia,,,
Sam Brown,WR,Savannah,GA,6'2'',185,77.0,,,114,312,76,2020,West Virginia,,,
Lanell Carr,OLB,Saint Louis,MO,6'3'',230,77.0,,,62,136,11,2020,West Virginia,,,
Jordan White,OG,Hyattsville,MD,6'2'',305,76.0,,,52,103,26,2020,West Virginia,,,
Sean Martin,DE,Bluefield,WV,6'4'',225,76.0,,,109,1, None,2020,West Virginia,,,
Jairo Faverus,CB,Bristol,England,6'0'',190,76.0,,,, None, None,2020,West Virginia,,,
Taurus Simmons,OLB,Savannah,GA,6'2'',200,76.0,,,98,420,98,2020,West Virginia,,,
James Thomas,ATH,Camilla,GA,6'2'',185,75.0,,,486,82,110,2020,West Virginia,,,
Eddie Watkins,DE,Evergreen,AL,6'3'',220,75.0,,,111,493,45,2020,West Virginia,,,
Charles Finley,TE,Ramsey,NJ,6'4'',210,74.0,,,25,159,31,2020,West Virginia,,,
Zach Frazier,OG,Fairmont,WV,6'2'',280,74.0,,,86,163,3,2020,West Virginia,,,
Jackie Matthews,CB,Pinson,AL,6'0'',195,74.0,,,21,NR,NR,2020,West Virginia,,,
Reese Smith,WR,Danville,KY,5'11'',169,74.0,,,223,,,2020,West Virginia,,,
