Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Location,HT,WT
Reggie Brown,CB,Tampa,FL,Jesuit High School,5'10'',160,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Tyler Henderson,S,Crestview,FL,Crestview High School,5'11'',190,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Bobby Mitchell,WR,Saint Augustine,FL,Saint Augustine High School,6'2'',175,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Jhory Jones,OT,Orange Park,FL,Orange Park High School,6'5'',285,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Ronnie Scott,ATH,Tampa,FL,Chamberlain High School,5'10'',160,NR,Florida Atlantic,NR,,,2013,Florida Atlantic,,,,,,
Dustin Bowens,TE-Y,Bunnell,FL,Flagler Palm Coast High School,6'4'',230,NR,Florida Atlantic,NR,,,2013,Florida Atlantic,,NR,NR,,,
Kalib Woods,WR,Neptune Beach,FL,Fletcher Senior High School,6'2'',190,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Braden Lyons,OT,Sonoma,CA,City College of San Francisco,6'5'',290,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Derek Butcher,DT,Wahpeton,ND,North Dakota State College of Sci.,6'4'',295,NR,Florida Atlantic,NR,,,2013,Florida Atlantic,,,,,,
Marc Mauro,S,Locust Valley,NY,Nassau Community College,6'1'',195,NR,Florida Atlantic,NR,,,2013,Florida Atlantic,,NR,NR,,,
Rodney Whitehead,WR,Franklin,MA,Dean College,5'9'',170,NR,Florida Atlantic,NR,,,2013,Florida Atlantic,,,,,,
Trevaughn Rodriguez,RB,Daytona Beach,FL,5'9'',175,,80.0,Florida Atlantic,45,212,79,2014,Florida Atlantic,,,,,,
Gregory Howell,RB,Coral Gables,FL,6'0'',206,,77.0,Florida Atlantic,,87,124,2014,Florida Atlantic,,,,,,
Marquese Dudley-Gordon,S,Weston,FL,5'11'',185,,76.0,Florida Atlantic,, None, None,2014,Florida Atlantic,,,,,,
Kris Harris,OLB,Tallahassee,FL,6'0'',225,,74.0,Florida Atlantic,, None, None,2014,Florida Atlantic,,,,,,
Landon Scheer,K,Orlando,FL,5'8'',180,,74.0,Florida Atlantic,38,,,2014,Florida Atlantic,,,,,,
Jason Driskel,QB-PPO,Oviedo,FL,6'2'',211,,72.0,Florida Atlantic,78,,,2014,Florida Atlantic,,,,,,
Jake Stoshak,S,Jacksonville,FL,5'11'',175,,69.0,Florida Atlantic,146,,,2014,Florida Atlantic,,,,,,
Joe Gold,OG,Fort Myers,FL,6'3'',255,,65.0,Florida Atlantic,794,105,296,2014,Florida Atlantic,,,,,,
Kamrin Solomon,WR (LQ),Jacksonville,FL,6'2'',193,,62.0,Florida Atlantic,,,,2014,Florida Atlantic,,,,,,
Joshua Kendall,DT,Lehigh Acres,FL,6'2'',274,,,Florida Atlantic,NR, NR, NR,2014,Florida Atlantic,,,,,,
Matt Solt,OLB,Gainesville,FL,6'2'',210,,,Florida Atlantic,NR,,,2014,Florida Atlantic,,,,,,
Henry Bussey,RB,Plantation,FL,5'9'',169,,,Florida Atlantic,, None, None,2014,Florida Atlantic,,,,,,
Nicholas Richardson,OLB,Miami Gardens,FL,6'3'',210,,,Florida Atlantic,, None, None,2014,Florida Atlantic,,,,,,
Andrew Soroh,S,Miami,FL,6'0'',189,,,Florida Atlantic,NR, NR, NR,2014,Florida Atlantic,,,,,,
Reginald Bain,OG,Miami,FL,6'4'',267,,,Florida Atlantic,,,,2014,Florida Atlantic,,,,,,
Jacob Wilson,TE-Y,Chipley,FL,6'4'',222,,,Florida Atlantic,NR, NR, NR,2014,Florida Atlantic,,,,,,
Jerry Jones,ATH,Belle Glade,FL,5'9'',178,,,Florida Atlantic,, None, None,2014,Florida Atlantic,,,,,,
Raekwon Williams,WR,Jacksonville,FL,5'10'',170,,,Florida Atlantic,,,,2014,Florida Atlantic,,,,,,
Siffo Pierre,OG,Coral Springs,FL,6'3'',321,,,Florida Atlantic,,,,2014,Florida Atlantic,,,,,,
Ray Ellis,DT,Absecon,NJ,6'1'',274,,,Florida Atlantic,,,,2014,Florida Atlantic,,,,,,
Byers Hickman,OT,Gainesville,FL,6'4'',255,,,Florida Atlantic,, None, None,2014,Florida Atlantic,,,,,,
Hunter Snyder,DE,Tarpon Springs,FL,6'5'',220,,,Florida Atlantic,NR,,,2014,Florida Atlantic,,,,,,
Devin Santana,DE,Tampa,FL,6'3'',220,,,Florida Atlantic,NR, NR, NR,2014,Florida Atlantic,,,,,,
Byers Hickmon,OT,Gainesville,FL,6'5'',270,,,Florida Atlantic,, None, None,2014,Florida Atlantic,,,,,,
Bobby Mitchell,WR,Saint Augustine,FL,6'2'',175,,,Florida Atlantic,,,,2014,Florida Atlantic,,,,,,
