Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Jack Lynn,OLB,Lake Zurich,IL,6'2'',205.0,,69,Minnesota,, None, None,2012,Minnesota,,,
Duke Anyanwu,WR,Blaine,MN,6'2'',215.0,,66,Minnesota,394,,,2012,Minnesota,,,
Damarius Travis,Pensacola,FL,6'1'',185,,,Minnesota,,,,,2012,Minnesota,,,
Maxx Williams,TE,Waconia,MN,6'3'',220.0,,,Minnesota,,,,2012,Minnesota,,,
Eric Murray,ATH,Milwaukee,WI,5'11'',175.0,,,Minnesota,,,,2012,Minnesota,,,
Ben Lauer,OT,Plymouth,MN,6'6'',260.0,,,Minnesota,,,,2012,Minnesota,,,
Isaac Fruechte,WR (JC),Caledonia,MN,6'2'',210.0,,,Minnesota,,,,2012,Minnesota,,,
James Gillum,RB (JC),Pearl River,LA,5'11'',195.0,,,Minnesota,NR,,,2012,Minnesota,,,
Jeremy Baltazar,CB (JC),Brenham,TX,6'0'',195.0,,,Minnesota,, None, None,2012,Minnesota,,,
Martez Shabazz,CB (JC),Athens,TX,5'11'',170.0,,,Minnesota,,,,2012,Minnesota,,,
Briean Boddy,CB (JC),Coffeyville,KS,5'11'',175.0,,,Minnesota,NR,,,2012,Minnesota,,,
Roland Johnson,DT (JC),Duncan,SC,6'1'',285.0,,,Minnesota,,,,2012,Minnesota,,,
Jeff Jones,RB,Minneapolis,MN,6'0'',196,3,83,Minnesota,12,14,1,2014,Minnesota,,,
Melvin Holland Jr,WR,Ashburn,VA,6'2'',195,4,81,Minnesota,48,37,12,2014,Minnesota,,,
Isaiah Gentry,WR,Cincinnati,OH,6'4'',185,4,78,Minnesota,88,,,2014,Minnesota,,,
Connor Mayes,OG,Van Alstyne,TX,6'4'',330,4,78,Minnesota,34,138,103,2014,Minnesota,,,
Jerry Gibson,TE,Theodore,AL,6'3'',210,4,76,Minnesota,19,388,29,2014,Minnesota,,,
Luke Rasmussen,OT,Brookfield,WI,6'6'',265,4,76,Minnesota,65,105,8,2014,Minnesota,,,
Andrew Stelter,DE,Owatonna,MN,6'4'',247,4,76,Minnesota,110,82,4,2014,Minnesota,,,
Craig James,CB,Edwardsville,IL,5'10'',168,3,75,Minnesota,48,,,2014,Minnesota,,,
Gaelin Elmore,TE,Somerset,WI,6'5'',243,3,75,Minnesota,24,128,10,2014,Minnesota,,,
Rodney Smith,RB,Jonesboro,GA,5'10'',195,3,75,Minnesota,118,,,2014,Minnesota,,,
Dimonic Roden-McKinzy,ATH,Kansas City,KS,6'0'',215,3,74,Minnesota,131,285,12,2014,Minnesota,,,
Gary Moore,DT,Mobile,AL,6'3'',275,3,74,Minnesota,46,584,46,2014,Minnesota,,,
Brandon Lingen,TE,Plymouth,MN,6'5'',245,3,73,Minnesota,41,,,2014,Minnesota,,,
Everett Williams,ATH,Mansfield,TX,6'1'',198,3,73,Minnesota,142,310,231,2014,Minnesota,,,
Conner Krizancic,WR,Mentor,OH,6'2'',190,3,73,Minnesota,192,195,83,2014,Minnesota,,,
Cody Poock,ILB,Okoboji,IA,6'2'',230,3,72,Minnesota,8, NR, NR,2014,Minnesota,,,
Jonathan Celestin,OLB,Jonesboro,GA,6'0'',210,3,70,Minnesota,152,,,2014,Minnesota,,,
Julien Kafo,DE,Montreal,Canada,6'4'',240,3,70,Minnesota,150,3,1,2014,Minnesota,,,
Steven Richardson,DT,Chicago,IL,5'11'',280,3,68,Minnesota,135,258,57,2014,Minnesota,,,
Jared Weyler,OT,Centerville,OH,6'5'',266,3,68,Minnesota,161,259,99,2014,Minnesota,,,
Carter Coughlin,ILB,Eden Prairie,MN,6'4'',212,,81.0,Minnesota,12,,,2016,Minnesota,25,1,
Seth Green,QB-DT,Allen,TX,6'4'',218,,80.0,Minnesota,15,,,2016,Minnesota,75,66,
Phillip Howard,ATH,New Hope,MN,5'11'',175,,78.0,Minnesota,55,,,2016,Minnesota,63,4,
Kamal Martin,QB-PP,Burnsville,MN,6'3'',203,,77.0,Minnesota,35,,,2016,Minnesota,,,
Sam Schlueter,OT,Mayer,MN,6'5'',270,,76.0,Minnesota,63,,,2016,Minnesota,,,
Tyler Johnson,ATH,Minneapolis,MN,6'2'',185,,75.0,Minnesota,77,,,2016,Minnesota,,,
Merrick Jackson,DT,Belleville,IL,6'2'',340,,75.0,Minnesota,13,,,2016,Minnesota,,,
Antoine Winfield Jr.,S,The Woodlands,TX,5'9'',183,,74.0,Minnesota,74,,,2016,Minnesota,175,139,
Conner Olson,OT,Monticello,MN,6'5'',270,,74.0,Minnesota,74,,,2016,Minnesota,,,
Garrison Wright,OG,El Dorado,KS,6'4'',310,,74.0,Minnesota,7,,,2016,Minnesota,NR,NR,
Kiondre Thomas,CB,Fort Smith,AR,6'0'',171,,74.0,Minnesota,494,,,2016,Minnesota,,,
Drew Hmielewski,S,Marshall,MN,6'2'',190,,73.0,Minnesota,101,,,2016,Minnesota,149,15,
Kobe McCrary,RB,Chipley,FL,6'0'',230,,73.0,Minnesota,8,,,2016,Minnesota,,,
Coney Durr,CB,Geismar,LA,5'10'',180,,73.0,Minnesota,,,,2016,Minnesota,,,
Taiyon Devers,DE,Atlanta,GA,6'3'',220,,73.0,Minnesota,,,,2016,Minnesota,,,
Ko Kieft,ATH,Sioux Center,IA,6'3'',225,,72.0,Minnesota,111,,,2016,Minnesota,,,
Thomas Barber,ILB,Plymouth,MN,6'1'',225,,71.0,Minnesota,53,,,2016,Minnesota,187,16,
Vincent Calhoun,OG,Roswell,GA,6'4'',335,,71.0,Minnesota,12,,,2016,Minnesota,,,
Tamarion Johnson,WR,Southfield,MI,6'4'',205,,,Minnesota,,,,2016,Minnesota,,,
DeMarcus Williams,ATH,Jackson,AL,6'0'',180,,,Minnesota,,,,2016,Minnesota,,,
Curtis Dunlap Jr.,OG,Bradenton,FL,6'5'',368,,83.0,,8,72,31,2018,Minnesota,,,Minnesota
Alex Reigelsperger,DE,Huber Heights,OH,6'5'',230,,83.0,,18,,,2018,Minnesota,,,Minnesota
Daniel Faalele,OT,Bradenton,FL,6'8'',395,,80.0,,20,156,63,2018,Minnesota,,,Minnesota
Terell Smith,WR,Snellville,GA,6'0'',170,,80.0,,57,161,41,2018,Minnesota,,,Minnesota
Victor Viramontes,QB,Norco,CA,6'1'',225,,80.0,,2,,,2018,Minnesota,,,Minnesota
Jason Dickson,OT,Pleasant Hill,CA,6'6'',305,,79.0,,4,,,2018,Minnesota,,,Minnesota
Jornell Manns,WR,Mansfield,OH,5'11'',187,,79.0,,95,38,19,2018,Minnesota,,,Minnesota
Elijah Teague,DT,Chicago,IL,6'3'',295,,79.0,,7,39, None,2018,Minnesota,,,Minnesota
Erik Gibson,ATH,Detroit,MI,6'2'',200,,79.0,,47,47,11,2018,Minnesota,,,Minnesota
Austin Beier,OG,Toledo,OH,6'4'',260,,78.0,,41,56,28,2018,Minnesota,,,Minnesota
Abi Okonji,DE,Snellville,GA,6'3'',238,,77.0,,76,359,82,2018,Minnesota,,,Minnesota
Logan Richter,DT,Perham,MN,6'3'',280,,76.0,,77,,,2018,Minnesota,,,Minnesota
Mayan Ahanotu,DT,Tampa,FL,6'4'',246,,76.0,,,,,2018,Minnesota,,,Minnesota
Grant Norton,OT,Camdenton,MO,6'7'',245,,75.0,,96,197,13,2018,Minnesota,,,Minnesota
Brevyn Spann-Ford,TE,St Cloud,MN,6'6'',233,,75.0,,26,113,3,2018,Minnesota,,,Minnesota
