Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Greg Brantley,OT,Carthage,TX,6'6'',305,,77.0,Oklahoma State,152,,,2012,Oklahoma State,,,
Zac Veatch,TE,Broken Arrow,OK,6'4'',240,,77.0,Oklahoma State,38,157,11,2012,Oklahoma State,,,
Emmanuel Ogbah,DE,Richmond,TX,6'3'',235,,76.0,Oklahoma State,121,,,2012,Oklahoma State,,,
Ashton Lampkin,CB,Fort Worth,TX,5'11'',175,,76.0,Oklahoma State,,205,154,2012,Oklahoma State,,,
Victor Irokansi,DE,Pflugerville,TX,6'3'',230,,76.0,Oklahoma State,128,217,165,2012,Oklahoma State,,,
Paul Lewis,OG,Galena Park,TX,6'2'',280,,75.0,Oklahoma State,,,,2012,Oklahoma State,,,
Kevin Peterson,CB,Wagoner,OK,5'10'',170,,74.0,Oklahoma State,, None,,2012,Oklahoma State,,,
Blake Webb,WR,The Woodlands,TX,5'11'',173,,72.0,Oklahoma State,225,393,306,2012,Oklahoma State,,,
Jessie Vester,WR,Stillwater,OK,5'9'',204,,68.0,Oklahoma State,262,,,2012,Oklahoma State,,,
Jhajuan Seales,WR,Port Arthur,TX,6'0'',173,,,Oklahoma State,,,,2012,Oklahoma State,,,
Caleb Muncrief,ATH,Madill,OK,5'8'',190,,,Oklahoma State,,,,2012,Oklahoma State,,,
Blake Jackson,TE,Gilbert,AZ,6'4'',225,,,Oklahoma State,, None, None,2012,Oklahoma State,,,
Calvin Barnett,DT,Tulsa,OK,6'3'',300,,,Oklahoma State,,,,2012,Oklahoma State,,,
Chris Grishby,OT,Freeport,TX,6'5'',310,,,Oklahoma State,, None, None,2012,Oklahoma State,,,
Ra'Shaad Samples,WR,Dallas,TX,5'11'',170,,83.0,Oklahoma State,3, NR, NR,2013,Oklahoma State,,,
Sam Wren,DE,Palestine,TX,6'3'',255,,83.0,Oklahoma State,37,,,2013,Oklahoma State,,,
Marcell Ateman,WR,Wylie,TX,6'5'',200,,82.0,Oklahoma State,272,44,39,2013,Oklahoma State,,,
Vincent Taylor,DT,San Antonio,TX,6'2'',267,,82.0,Oklahoma State,31,51,44,2013,Oklahoma State,,,
Ben Hughes,DT,Waco,TX,6'2'',310,,82.0,Oklahoma State,30,164,35,2013,Oklahoma State,,,
Naim Mustafaa,DE,Alpharetta,GA,6'4'',235,,81.0,Oklahoma State,24,173,36,2013,Oklahoma State,,,
Darius Curry,CB,Flowery Branch,GA,6'0'',185,,81.0,Oklahoma State,33,,,2013,Oklahoma State,,,
Corion Webster,RB,Atlanta,TX,5'11'',190,,80.0,Oklahoma State,, None, None,2013,Oklahoma State,,,
Jerel Morrow,ATH,Emporia,KS,6'0'',180,,79.0,Oklahoma State,49,123,96,2013,Oklahoma State,,,
Zachary Crabtree,OT,Mansfield,TX,6'7'',265,,77.0,Oklahoma State,50,134,106,2013,Oklahoma State,,,
Jesse Robinson,OT,Hurst,TX,6'6'',271,,77.0,Oklahoma State,, None, None,2013,Oklahoma State,,,
Rennie Childs,RB,Houston,TX,5'11'',182,,76.0,Oklahoma State,178,6,17,2013,Oklahoma State,,,
