Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School,University 
Christian Allen,DT,Morgantown,WV,5'11'',237,,Akron,,,,2012,Akron,, NR, NR,,
Alfonso Horner,DE,Miami,FL,6'3'',202,,Akron,,,,2012,Akron,, None, None,,
James Turner,S,Fairfield,OH,5'11'',200,,Akron,,,,2012,Akron,,,,,
Daryan Martin,DE,Cincinnati,OH,6'3'',210,,Akron,,,,2012,Akron,,,,,
Mykel Traylor-Bennett,WR,Reynoldsburg,OH,6'3'',189,Akron,,,,,2013,Akron,77,,,,
Michael Kish,TE-YPittsburgh,PA,,Brentwood High School,6'5'',,Akron,NR,,,2013,Akron,250,,,,
Keontae Hollis,DT-Fort Dodge,IA,Iowa Central Community College,6'2'',290,Akron,,,,,2013,Akron,,,,,
Cedric Brittnum,OG-Brooklyn,NY,ASA College,6'4'',315,Akron,,,,,2013,Akron,,,,,
Donte Williams,CB-Brooklyn,NY,ASA College,5'11'',175,Akron,,NR,NR,,2013,Akron,,,,,
Jon Shelby,OLB-Brockton,MA,Nassau Community College,6'2'',210,Akron,,,,,2013,Akron,,,,,
C.J. Mizell,OLB-Tallahassee,FL,Washington State University,6'3'',235,Akron,,,,,2013,Akron,TR,,,,
Nmesoma Okafor,DE-Garden City,NY,Nassau Community College,6'5'',240,Akron,,,,,2013,Akron,,,,,
Jerome Lewis,TE-Y-Rochester,NY,Virginia Tech,6'3'',217,Akron,,,,,2013,Akron,TR,,,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,,,,,2014,Akron,,,,Air Force,
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,,,,,2014,Akron,,,,Air Force,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,,,,2014,Akron,,,,Air Force,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,,,,,2014,Akron,,,,Air Force,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,,,,2014,Akron,,,,Air Force,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,,,,,2014,Akron,,,,Air Force,
Steve Jones,CB,Kansas City,MO,,,,,,,,2014,Akron,,,,Air Force,
Chad Gross,K,Suwanee,GA,,,,,,,,2014,Akron,,,,Air Force,
Irvin George,RB,Orlando,FL,5'11'',190.0,,,,,,2014,Akron,,,,Air Force,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,,,,,2014,Akron,,,,Air Force,
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,,,,,2014,Akron,,,,Air Force,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,,,,,2015,Akron,,,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,,,,,2015,Akron,,,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,,,,2015,Akron,,,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,,,,,2015,Akron,,,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,,,,2015,Akron,,,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,,,,,2015,Akron,,,,,
Steve Jones,CB,Kansas City,MO,,,,,,,,2015,Akron,,,,,
Chad Gross,K,Suwanee,GA,,,,,,,,2015,Akron,,,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,,,,,2015,Akron,,,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,,,,,2015,Akron,,,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,,,,,2015,Akron,,,,,
Matthew Hanson,DE,Fort Lauderdale,FL,6'3'',240,NR,,,,,2017,Akron,, NR, NR,Akron,
Jeffrey Lubin,S,Hollywood,FL,6'1'',175,NR,,,,,2017,Akron,,,,Akron,
Will Barto,OLB,Eads,TN,5'10'',200,NR,,NR,,,2017,Akron,, NR, NR,Akron,
Deandre Brimage,DE,Akron,OH,6'0'',245,NR,,,,,2017,Akron,, None, None,Akron,
Alex Ramart,QB-PP,Richmond,TX,6'4'',210,NR,,,,,2017,Akron,,,,Akron,
Jordyn Riley,CB,Ocala,FL,5'10'',172,NR,,,,,2017,Akron,, None, None,Akron,
Hunter Corne,OG,Dunnellon,FL,6'2'',274,NR,,,,,2017,Akron,,,,Akron,
Zaire Jacobs,S,Fort Lauderdale,FL,5'11'',180,NR,,,,,2017,Akron,, None, None,Akron,
Reggie Corner,S,Canton,OH,5'9'',194,NR,,,,,2017,Akron,,,,Akron,
Marquess Callaway,CB,Akron,OH,6'0'',161,NR,,,,,2017,Akron,,,,Akron,
Jemarulin Suggs,RB,Akron,OH,5'11'',180,NR,,NR,,,2017,Akron,, NR, NR,Akron,
Moris Lugo,ILB,Miami,FL,6'0'',210,NR,,,,,2017,Akron,, None, None,Akron,
Malik Wooldridge,ATH,Akron,OH,5'10'',170,NR,,,,,2017,Akron,,,,Akron,
Tracy Jordan,DE,Akron,OH,6'3'',240,NR,,NR,,,2017,Akron,,,,Akron,
Marcus Kidd,OT,Garrettsville,OH,6'5'',300,NR,,,,,2017,Akron,, None, None,Akron,
Dusty Burkhart,WR,Akron,OH,6'1'',190,NR,,,,,2017,Akron,,,,Akron,
Kobie Booker,DE,Barberton,OH,6'1'',240,NR,,,,,2017,Akron,,,,Akron,
Ronald Beasley,OC,Ocala,FL,6'2'',280,NR,,,,,2017,Akron,, None, None,Akron,
Eric Bentley,DEN,A,,6'2'',244,NR,,NR,,,2017,Akron,, NR, NR,Akron,
Nick Johns,QB-PP (JC),Washington,DC,6'4'',225,NR,,,,,2017,Akron,,,,Akron,
Devin Jordan,OT,Fort Lauderdale,FL,6'5'',255,74,Akron,105,554,211,2018,Akron,4,,,,
Abraham Alce,FB,Immokalee,FL,6'1'',238,74,Akron,1,586,223,2018,Akron,4,,,,
Adetutu Daranijo,S,Fort Lauderdale,FL,5'10'',189,73,Akron,,,,2018,Akron,3,,,,
Jalen Hooks,WR,Warren,OH,6'1'',183,Akron,,,,,2018,Akron,NR,,,,
Keyondre White,RB,Fort Lauderdale,FL,5'10'',216,Akron,,,,,2018,Akron,NR,,,,
R.J. Kelly,OG,Akron,OH,6'2'',280,Akron,,,,,2018,Akron,NR,,,,
Timothy Scippio,WR,Fort Lauderdale,FL,6'0'',190,Akron,,,,,2018,Akron,NR,,,,
Devanier Floyd,RB,Akron,OH,5'10'',203,Akron,,NR,NR,NR,2018,Akron,NR,,,,
Gavin Blunt,WR,Aurora,OH,6'1'',193,Akron,,NR,NR,NR,2018,Akron,NR,,,,
Te'cory Tutson,ATH,Miami,FL,5'8'',165,Akron,,,,,2018,Akron,NR,,,,
Rich Hall,S,Coconut Creek,FL,6'0'',175,Akron,,,,,2018,Akron,NR,,,,
Ben Phillis,OT,Washington,PA,6'4'',300,Akron,,,,,2018,Akron,NR,,,,
Vincent Fonte,OG,Copley,OH,6'4'',300,Akron,,,,,2018,Akron,NR,,,,
Logan Hawkins,DE,Harrison City,PA,6'2'',270,Akron,,NR,NR,NR,2018,Akron,NR,,,,
Daishawn Brimage,WR,Akron,OH,6'1'',195,Akron,,,,,2018,Akron,NR,,,,
