Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,Location,Grades,School
D.J. Humphries,OT,Charlotte,NC,6'6'',275,85,Florida,,1,,,2012,Florida,3,2,,,,
Jonathan Bullard,DE,Shelby,NC,6'4'',255,82,Florida,,4,,,2012,Florida,19,3,,,,
Jessamen Dunker,OG,Boynton Beach,FL,6'6'',315,82,Florida,,4,,,2012,Florida,,,,,,
Dante Fowler Jr.,DE,Saint Petersburg,FL,6'3'',236,81,Florida,,10,,,2012,Florida,,,,,,
Brian Poole,CB,Bradenton,FL,5'11'',192,81,Florida,,7,,,2012,Florida,,,,,,
Colin Thompson,TE,Warminster,PA,6'4'',255,80,Florida,,2,,,2012,Florida,15,3,,,,
Kent Taylor,TE,Land O'Lakes,FL,6'5'',220,80,Florida,,4,,,2012,Florida,66,26,,,,
Marcus Maye,S,Melbourne,FL,6'0'',195,80,Florida,,8,,,2012,Florida,,,,,,
Matt Jones,RB,Seffner,FL,6'3'',210,80,Florida,,11,,,2012,Florida,75,31,,,,
Latroy Pittman,WR,Citra,FL,6'0'',195,80,Florida,,24,,,2012,Florida,75,31,,,,
Rhaheim Ledbetter,S,Shelby,NC,5'10'',190,80,Florida,,9,,,2012,Florida,81,7,,,,
Skyler Mornhinweg,QB,Philadelphia,PA,6'3'',190,80,Florida,,19,,,2012,Florida,,,,,,
Quinteze Williams,DT,Tyrone,GA,6'4'',295,80,Florida,,22,,,2012,Florida,,,,,,
Jeremi Powell,OLB,Largo,FL,6'2'',200,79,Florida,,26,,,2012,Florida,112,39,,,,
Alex McCalister,DE,Clemmons,NC,6'6'',220,79,Florida,,32,,,2012,Florida,,,,,,
Austin Hardin,K,Atlanta,GA,5'11'',200,79,Florida,,1,,,2012,Florida,,,,,,
Antonio Morrison,OLB,Bolingbrook,IL,6'3'',220,79,Florida,,39,,,2012,Florida,,,,,,
Jafar Mann,DT,Stone Mountain,GA,6'3'',275,79,Florida,,30,,,2012,Florida,,,,,,
Willie Bailey,CB,Hallandale Beach,FL,6'2'',175,79,Florida,,24,,,2012,Florida,181,63,,,,
Bryan Cox Jr.,DE,Fort Lauderdale,FL,6'2'',230,78,Florida,,,,,2012,Florida,,,,,,
Raphael Andrades,WR,Tallahassee,FL,6'0'',194,75,Florida,,152,,,2012,Florida,565,199,,,,
Damien Jacobs,DT,Gray,LA,6'3'',295,0,Florida,,,,,2012,Florida,,,,,,
Max Garcia,OT,Norcross,GA,6'4'',207,0,Florida,,,,,2012,Florida,,,,,,
Martez Ivey,OTApopka,FL,6'6'',271,5,92,Florida,,1,,,2015,Florida,3,2,,,,
CeCe Jefferson,DEGlen Saint Mary,FL,6'3'',248,5,90,Florida,,9,,,2015,Florida,,,,,,
Jordan Scarlett,RBFort Lauderdale,FL,5'11'',207,4,83,Florida,,13,,,2015,Florida,,,,,,
Tyler Jordan,OCJacksonville,FL,6'4'',270,4,82,Florida,,,,,2015,Florida,,,,,,
D'Anfernee McGriff,ATHTallahassee,FL,6'0'',228,4,81,Florida,,33,,,2015,Florida,150,55,,,,
Antonio Callaway,WRMiami,FL,5'11'',179,4,80,Florida,,,,,2015,Florida,,,,,,
Jordan Cronkrite,ATHMiami,FL,5'11'',199,4,80,Florida,,7,,,2015,Florida,216,70,,,,
Camrin Knight,TE-HTallahassee,FL,6'4'',213,4,80,Florida,,36,,,2015,Florida,,,,,,
Brandon Sandifer,OGWarner Robins,GA,6'4'',348,4,79,Florida,,58,,,2015,Florida,261,58,,,,
Chris Williamson,ATHGainesville,GA,6'0'',183,4,79,Florida,,44,,,2015,Florida,,,,,,
Andrew Ivie,DTDade City,FL,6'1'',264,4,78,Florida,,45,,,2015,Florida,,,,,,
Jabari Zuniga,DTMarietta,GA,6'2'',265,4,78,Florida,,109,,,2015,Florida,,,,,,
Kalif Jackson,WRNeptune Beach,FL,6'4'',196,3,77,Florida,,412,,,2015,Florida,62,141,,,,
Rayshad Jackson,OLBMiami,FL,6'1'',200,3,77,Florida,,19,,,2015,Florida,,,,,,
Daniel Imatorbhebhe,TE-Y, Suwanee,GA, 6'4'',220,3,77,Florida,80,,,2015,Florida,205,167,,,,
Kylan Johnson,S, Dallas, TX, 6'3'',195,3,75,Florida,538,,,2015,Florida,,,,,,
Richerd Desir-Jones,DT Fort Lauderdale,FL, 6'4'',315,3,75,Florida,,105,,,2015,Florida,,,,,,
Nick Buchanan,OG Dunwoody,GA, 6'4'',285,3,73,Florida,,138,,,2015,Florida,,,,,,
Keivonnis Davis,DE, Miami,FL, 6'4'',227,3,73,Florida,155,,,2015,Florida,,,,,,
Fredrick Johnson,OT, Royal Palm Beach,FL, 6'7'',303,3,72,Florida,148,,,2015,Florida,765,279,,,,
