Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Star,School, Reg_rank, State_rank, State_rank 
Terry Roberts,CB,Erie,PA,5'10'',169,,Iowa,,,,,2018,Iowa,73.0,,,,
Nico Ragaini,ATH,Avon,CT,5'11'',190,,Iowa,,,,,2018,Iowa,73.0,,,,
Dillon Doyle,OLB,Iowa City,IA,6'3'',209,,Iowa,,102,,,2018,Iowa,73.0,,,,
Jayden McDonald,OLB,Suwanee,GA,6'0'',205,,Iowa,,105,,,2018,Iowa,72.0,,,,
Logan Klemp,ATH,Jewell,IA,6'2'',210,,Iowa,,121,,,2018,Iowa,71.0,,,,
Riley Moss,S,Ankeny,IA,6'1'',182,,Iowa,,113,184,10,2018,Iowa,70.0,,,,
Seth Benson,ILB,Sioux Falls,SD,6'1'',210,,Iowa,,NR,,,2018,Iowa,,,,,
Kaevon Merriweather,S,Belleville,MI,6'1'',190,,Iowa,,,,,2018,Iowa,,,,,
Tyler Endres,OT,Norwalk,IA,6'6'',289,81.0,Iowa,,27,,,2019,Iowa,,,18,1,
Ezra Miller,OT,Holstein,IA,6'6'',308,81.0,Iowa,,28,,,2019,Iowa,,,,,
Jestin Jacobs,OLB,Clayton,OH,6'3'',205,79.0,Iowa,,39,,,2019,Iowa,,,47,15,
Logan Lee,TE-Y,Orion,IL,6'6'',239,78.0,Iowa,,16,,,2019,Iowa,,,,,
Tyler Goodson,RB,Suwanee,GA,5'10'',185,78.0,Iowa,,39,,,2019,Iowa,,,280,67,
Justin Britt,OG,Indianapolis,IN,6'4'',286,78.0,Iowa,,25,,,2019,Iowa,,,56,8,
Jalen Hunt,DE,Belleville,MI,6'2'',251,78.0,Iowa,,95,,,2019,Iowa,,,,,
Josiah Miamen,DE,Dunlap,IL,6'3'',220,77.0,Iowa,,103,,,2019,Iowa,,,76,13,
Dane Belton,S,Tampa,FL,6'1'',185,77.0,Iowa,,54,,,2019,Iowa,,,388,128,
Alex Padilla,QB-PP,Englewood,CO,6'1'',187,76.0,Iowa,,30,,,2019,Iowa,,,,,
Sebastian Castro,S,Oak Lawn,IL,6'1'',201,76.0,Iowa,,76,,,2019,Iowa,,,,,
Jack Campbell,OLB,Cedar Falls,IA,6'3'',205,75.0,Iowa,,104,,,2019,Iowa,,,121,7,
Chris Reames,DE,Van Meter,IA,6'7'',215,75.0,Iowa,,147,,,2019,Iowa,,,123,8,
Jake Karchinski,DE,De Pere,WI,6'4'',245,75.0,Iowa,,149,,,2019,Iowa,,,125,5,
Noah Fenske,OG,New Hampton,IA,6'4'',280,75.0,Iowa,,71,,,2019,Iowa,,,131,9,
Desmond Hutson,WR,Raytown,MO,6'3'',195,75.0,Iowa,,153,,,2019,Iowa,,,259,25,
Yahweh Jeudy,OLB,Fort Lauderdale,FL,6'1'',215,74.0,Iowa,,114,,,2019,Iowa,,,621,202,
Sam LaPorta,WR,Highland,IL,6'4'',208,74.0,Iowa,,173,,,2019,Iowa,,,162,28,
Jermari Harris,CB,Lombard,IL,6'1'',175,73.0,Iowa,,135,,,2019,Iowa,,,,,
Shadrick Byrd,RB,Alabaster,AL,5'9'',211,73.0,Iowa,,108,,,2019,Iowa,,,687,57,
Daraun McKinney,CB,River Rouge,MI,5'9'',180,72.0,Iowa,,194,,,2019,Iowa,,,151,42,
T.J. McCall,,Pensacola,FL,6'3'',225,,Iowa,,,,,2019,Iowa,,, NR, NR,
Michael Sleep-Dalton,K,Geelong,AUS,6'2'',215,,Arizona State University,,,,,2019,Iowa,,,,,
Logan Jones,DE,Council Bluffs,IA,6'3'',244,81,Iowa,,27,,,2020,Iowa,,,18,2,
Deuce Hogan,QB,PPEl Paso,TX,6'4'',190,80,Iowa,,19,,,2020,Iowa,,,,,
Leshon Williams,RB,Oak Lawn,IL,5'10'',210,80,Iowa,,23,,,2020,Iowa,,,,,
Tyler Elsbury,OT,Byron,IL,6'5'',298,80,Iowa,,41,,,2020,Iowa,,,32,7,
Elijah Yelverton,TE-Y,Cedar Hill,TX,6'4'',225,79,Iowa,,9,,,2020,Iowa,,,84,66,
Michael Lois,DT,Elkhorn,WI,6'3'',260,79,Iowa,,37,,,2020,Iowa,,,43,3,
Deontae Craig,DE,Culver,IN,6'4'',230,78,Iowa,,59,,,2020,Iowa,,,56,4,
Josh Volk,OG,Cedar Rapids,IA,6'4'',285,76,Iowa,,50,,,2020,Iowa,,,77,3,
