Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank, Reg_rank, State_rank,Year,Team,University,Reg_rank,State_rank,School,University 
T.J. Gurley,S,Cairo,GA,5'10'',184,77,South Carolina,,36,,,2012,South Carolina,,,,,
Rico McWilliams,ATH,Hampton,GA,5'11'',175,77,South Carolina,,,,,2012,South Carolina,,,,,
Jerell Adams,ATH,Summerton,SC,6'5'',220,76,South Carolina,,,,,2012,South Carolina,,,,,
Mason Zandi,OT,Chapin,SC,6'7'',260,74,South Carolina,,146,,,2012,South Carolina,,,,,
Kelsey Griffin,DT,Hoschton,GA,6'1'',285,,84,,10,50,10,2013,South Carolina,South Carolina,,,,
David Williams,RB,Philadelphia,PA,6'1'',192,,83,,13,20,6,2013,South Carolina,South Carolina,,,,
Connor Mitch,QB-PP,Raleigh,NC,6'4'',213,,83,,18,109,7,2013,South Carolina,South Carolina,,,,
Larenz Bryant,ILB,Charlotte,NC,6'1'',207,,83,,8,,,2013,South Carolina,South Carolina,,,,
Alan Knott,OT,Tyrone,GA,6'5'',260,,82,,18,153,33,2013,South Carolina,South Carolina,,,,
Devin Washington,DE,Orlando,FL,6'3'',222,,82,,28,161,63,2013,South Carolina,South Carolina,,,,
Na'Ty Rodgers,OT,Pomfret,MD,6'4'',285,,81,,32,,,2013,South Carolina,South Carolina,,,,
David Johnson,OLB,Lithonia,GA,6'1'',254,,81,,28,,,2013,South Carolina,South Carolina,,,,
J.P. Vonashek,OT,Kingsland,GA,6'6'',255,,81,,32,199,6,2013,South Carolina,South Carolina,,,,
D.J. Park,OT,Dillon,SC,6'4'',313,,80,,, None,,2013,South Carolina,South Carolina,,,,
Jasper Sasser,WR,Jacksonville,FL,6'1'',185,,80,,42,227,21,2013,South Carolina,South Carolina,,,,
Devante Covington,DE,Rockingham,NC,6'3'',215,,79,,45,228,91,2013,South Carolina,South Carolina,,,,
Skai Moore,OLB,Fort Lauderdale,FL,6'3'',195,,79,,63,,,2013,South Carolina,South Carolina,,,,
Mohamed Camara,OLB,Cumming,GA,6'1'',200,,77,,35,315,70,2013,South Carolina,South Carolina,,,,
Ali Groves,S,Stone Mountain,GA,5'10'',185,,77,,92,323,32,2013,South Carolina,South Carolina,,,,
Pharoh Cooper,ATH,Havelock,NC,5'11'',181,,77,,8,344,10,2013,South Carolina,South Carolina,,,,
Bryce King,OC,Dillon,SC,6'3'',293,,77,,380,77,139,2013,South Carolina,South Carolina,,,,
Jamari Smith,RB,Neptune Beach,FL,5'11'',200,,76,,43,384,13,2013,South Carolina,South Carolina,,,,
Gerald Turner,ILB,Goose Creek,SC,6'0'',240,,76,,, None, None,2013,South Carolina,South Carolina,,,,
Jonathan Walton,ILB,Daphne,AL,6'1'',236,,74,,, None, None,2013,South Carolina,South Carolina,,,,
Ronnie Martin,CB,Spartanburg,SC,5'10'',180,,74,,123,,,2013,South Carolina,South Carolina,,,,
Kendal Vickers,DE,Havelock,NC,6'3'',216,,69,,,,,2013,South Carolina,South Carolina,,,,
Dexter Wideman,DT,Saluda,SC,6'4'',275,3,83,,,,,2015,South Carolina,Saluda High School,,,,
Christian Pellage,OT,Brooksville,FL,6'7'',285,3,83,,138,,,2015,South Carolina,Nature Coast Technical High School,,,,
Marquavius Lewis,DE,Greenwood,SC,6'4'',274,2,82,,6,,,2015,South Carolina,Hutchinson Community College,,,,
Dante Sawyer,DE,Suwanee,GA,6'3'',265,3,82,,3,,,2015,South Carolina,East Mississippi Community College,,,,
Shameik Blackshear,DE,Bluffton,SC,6'4'',235,2,81,,18,,,2015,South Carolina,Bluffton High School,,,,
Zack Bailey,OG,Summerville,SC,6'5'',305,1,81,,15,,,2015,South Carolina,Summerville High School,,,,
Sherrod Pittman,ILB,Jacksonville,FL,6'1'',224,1,81,,6,,,2015,South Carolina,First Coast High School,,,,
Jalen Christian,WR,Damascus,MD,5'10'',164,1,81,,29,,,2015,South Carolina,Damascus High School,,,,
Christian Owens,TE-H,Griffin,GA,6'5'',203,Not Rated,80,,5,,,2015,South Carolina,Griffin High School,,,,
Dexter Neal,WR,Stone Mountain,GA,6'3'',199,Not Rated,80,,54,,,2015,South Carolina,Stephenson High School,208,44,,
Darin Smalls,S,Summerville,SC,5'11'',205,Not Rated,79,,,,,2015,South Carolina,Summerville High School,,,,
Lorenzo Nunez,QB-DT,Kennesaw,GA,6'3'',189,Not Rated,79,,18,,,2015,South Carolina,Harrison High School,248,53,,
Octavis Johnson,ATH,Homerville,GA,6'1'',181,Not Rated,79,,55,,,2015,South Carolina,Clinch County High School,250,54,,
Mon Denson,RB,LaGrange,GA,5'11'',207,Not Rated,79,,50,,,2015,South Carolina,LaGrange High School,,,,
Ulric Jones,DE,Oxford,AL,6'6'',285,Not Rated,78,,9,,,2015,South Carolina,Butler Community College,,,,
Quandeski Whitlow,DE,Opelika,AL,6'3'',225,Not Rated,78,,78,,,2015,South Carolina,Opelika High School,,,,
Daniel Fennell,OLB,Loganville,GA,6'3'',215,Not Rated,78,,40,,,2015,South Carolina,Grayson High School,328,76,,
Toure Boyd,S,Rancho Cucamonga,CA,6'0'',190,Not Rated,77,,8,,,2015,South Carolina,Chaffey College,,,,
A.J. Turner,RB,Clifton,VA,5'11'',187,Not Rated,77,,,,,2015,South Carolina,Centreville High School,,,,
Antoine Wilder,S,Atlanta,GA,5'11'',172,Not Rated,77,,,,,2015,South Carolina,Hapeville Charter High School,,,,
Trey Derouen,OG,Lilburn,GA,6'3'',319,Not Rated,77,,57,,,2015,South Carolina,Parkview High School,,,,
Dennis Daley,OT,Columbia,SC,6'5'',285,Not Rated,77,,76,,,2015,South Carolina,Ridge View High School,,,,
