Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,University, Reg_rank, State_rank,University ,Stars
Aaron Baltazar,RB,Chula Vista,CA,5'11'',190,Boise State,,25,,,2013,Boise State,,,,,,,,,,46,36,,82.0
Andrew Tercek,OG,San Antonio,TX,6'3'',285,Boise State,,26,,,2013,Boise State,,,,,,,,,,63,55,,80.0
Ryan Finley, QB-PP,Phoenix,AZ,6'4'',180,Boise State,,28,,,2013,Boise State,,,,,,,,,,,,,79.0
Mercy Maston,CB,Bakersfield,CA,6'0'',190,Boise State,,6,,,2013,Boise State,,,,,,,,,,,,,78.0
Alec Dhaenens,TE-Y,Fruitland,ID,6'4'',240,Boise State,,13,,,2013,Boise State,,,,,,,,,,99,1,,78.0
Tanner Vallejo,ILB,Grass Valley,CA,6'1'',220,Boise State,,36,,,2013,Boise State,,,,,,,,,,105,72,,77.0
A.J. Richardson,WR,Harbor City,CA,6'0'',185,Boise State,,,,,2013,Boise State,,,,,,,,,,,,,77.0
Kendal Keys,WR,La Mesa,CA,6'3'',187,Boise State,,103,,,2013,Boise State,,,,,,,,,,,,,77.0
Justin Taimatuia,DT, Fagasa, AS, Fort Scott Community College,6'1'',77,,98,,,2013,Boise State,,,,,,,,,Boise State, NR, NR,,300.0
Tutulupeatau Mataele,DT, West Valley City, UT, Mt. San Antonio College,6'3'',76,,18,,,2013,Boise State,,,,,,,,,Boise State,,,,285.0
Cleshawn Page,CB,Los Angeles,CA,5'10'',190,Boise State,,12,,,2013,Boise State,,,,,,,,,, None, None,,76.0
Eli McCullough,OT,Meridian,ID,6'5'',256,Boise State,,148,,,2013,Boise State,,,,,,,,,, None,2,,76.0
Durrant Miles,OLB,South Jordan,UT,6'4'',225,Boise State,,,,,2013,Boise State,,,,,,,,,,,,,76.0
Joey Martarano,OLB,Fruitland,ID,6'3'',226,Boise State,,97,,,2013,Boise State,,,,,,,,,,,,,75.0
Derrick Thomas,RB,Dothan,AL,6'1'',210,Boise State,,,,,2013,Boise State,,,,,,,,,, None, None,,75.0
Thomas Sperbeck,ATH,Carmichael,CA,6'0'',167,Boise State,,,,,2013,Boise State,,,,,,,,,, None, None,,75.0
Kamalei Correa,DE,Honolulu,HI,6'3'',250,Boise State,,,,,2013,Boise State,,,,,,,,,, None, None,,74.0
Gabe Perez,DE,Placentia,CA,6'5'',215,Boise State,,100,,,2013,Boise State,,,,,,,,,,,,,73.0
Dionza Blue,CB,La Puente,CA,5'11'',174,Boise State,,224,,,2013,Boise State,,,,,,,,,,151, None,,73.0
Nick Terry,DT,Elk Grove,CA,6'4'',265,Boise State,,234,,,2013,Boise State,,,,,,,,,,,,,72.0
Mat Boesen,ATH,Torrance,CA,6'4'',220,Boise State,,,,,2013,Boise State,,,,,,,,,, None, None,,71.0
Jake Roh,WR,Scottsdale,AZ,6'3'',205,Boise State,,20,,,2013,Boise State,,,,,,,,,,271, None,,70.0
Tanner Shipley,WR,Wilsonville,OR,6'2'',176,Boise State,,206,,,2013,Boise State,,,,,,,,,,,,,70.0
Tyler Rausa,K,Riverside,CA,5'10'',180,Boise State,,2,,,2013,Boise State,,,,,,,,,,,,,69.0
D.J. Dean,WR,Eagle,ID,6'1'',180,Boise State,,,,,2013,Boise State,,,,,,,,,,,,,66.0
Cameron Hartsfield,CB,Allen,TX,5'11'',182,Boise State,,,,,2013,Boise State,,,,,,,,,, None, None,,
Jonathan Moxey,CB,Palm Beach Gardens,FL,5'10'',169,Boise State,,,,,2013,Boise State,,,,,,,,,, None, None,,
Archie Lewis,OT,Rancho Cucamonga,CA,6'4'',255,Boise State,,,,,2013,Boise State,,,,,,,,,,,,,
Darren Lee,OLB,Susanville,CA,6'2'',220,Boise State,,,,,2013,Boise State,,,,,,,,,,,,,
Dylan Sumner-Gardner,SM,Mesquite,TX,6'1'',198,84,,6,14,13,2014,Boise State,,,,,,,,,Boise State,,,,4.0
Chase Blakley,TE,Coeur D'Alene,ID,6'5'',247,79,,,,,2014,Boise State,,,,,,,,,Boise State,,,,
A.J. Richardson,WR,Harbor City,CA,6'0'',185,77,,,,,2014,Boise State,,,,,,,,,Boise State,,,,
David Moa,DE,San Diego,CA,6'3'',236,77,,,,,2014,Boise State,,,,,,,,,Boise State,,,,
Alexander Ogle,QB,Jensen Beach,FL,6'3'',196,76,,38,379,132,2014,Boise State,,,,,,,,,Boise State,,,,
Kekoa Nawahine,WR,Meridian,ID,6'2'',190,76,,136,140,,2014,Boise State,,,,,,,,,Boise State,,,,
Jabril Frazier,OLB,Los Angeles,CA,6'3'',225,75,,155,,,2014,Boise State,,,,,,,,,Boise State,,,,
Kaleb Hill,OLB,Schertz,TX,6'2'',215,75,,97,,,2014,Boise State,,,,,,,,,Boise State,,,,
Jeremy McNichols,WR,Rancho Santa Margarita,CA,5'10'',180,75,,148,160,104,2014,Boise State,,,,,,,,,Boise State,,,,
Cory Young,RB,Norco,CA,5'9'',169,74,,138,195,122,2014,Boise State,,,,,,,,,Boise State,,,,
Sean Modster,WR,Mission Viejo,CA,6'2'',187,73,,189,,,2014,Boise State,,,,,,,,,Boise State,,,,
Troy Bacon,OT,Apple Valley,CA,6'3'',281,73,,132,,,2014,Boise State,,,,,,,,,Boise State,,,,
Zavior Hoxie,ATH,Buford,GA,5'10'',180,72,,177,,,2014,Boise State,,,,,,,,,Boise State,,,,
Derek Boles,DT,Lakeland,FL,6'2'',265,70,,123,,,2014,Boise State,,,,,,,,,Boise State,,,,
David Lucero,TE,Holtville,CA,6'4'',220,69,,53,,,2014,Boise State,,,,,,,,,Boise State,,,,
Tennessee Su'esu'e,OG,Salt Lake City,UT,6'2'',295,69,,,,,2014,Boise State,,,,,,,,,Boise State,,,,
Andres Preciado,OT,Imperial Beach,CA,6'5'',240,0,,NR,,,2014,Boise State,,,,,,,,,Boise State,,,,
Jerhen Ertel,OT,Glendale,AZ,6'5'',280,0,,NR,NR,NR,2014,Boise State,,,,,,,,,Boise State,,,,
Thomas Stuart,QB,Baltimore,MD,6'0'',200,0,,,,,2014,Boise State,,,,,,,,,Boise State,,,,
Rondell McNair,DE,San Pablo,CA,6'3'',255,0,,NR,,,2014,Boise State,,,,,,,,,Boise State,,,,
Antoine Turner,DT,Fullerton,CA,6'2'',280,0,,,,,2014,Boise State,,,,,,,,,Boise State,,,,
Jake Constantine, QB-PP, Camarillo, CA, 6'1'',178, Boise State,,37,111,77,2016,Boise State,,,,,,,,,,,,, 76
Alexander Mattison, RB, San Bernardino, CA, 5'11'',193, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, 76
Jabari Watson, DT, Rancho Cucamonga, CA, 6'2'',266, Boise State,,60,,,2016,Boise State,,,,,,,,,,,,, 75
Ezra Cleveland, DT, Spanaway, WA, 6'6'',293, Boise State,,62,145,12,2016,Boise State,,,,,,,,,,,,, 75
Reid Harrison-Ducros, CB, Colleyville, TX, 5'11'',165, Boise State,,66,173,137,2016,Boise State,,,,,,,,,,,,, 75
Chase Hatada, DE, Rocklin, CA, 6'3'',252, Boise State,,109,162,108,2016,Boise State,,,,,,,,,,,,, 74
Joel Velazquez, K, Mission Viejo, CA, 6'0'',220, Boise State,,33,170,110,2016,Boise State,,,,,,,,,,,,, 74
Derriyon Shaw, DE, Las Vegas, NV, 6'3'',220, Boise State,,131,188,3,2016,Boise State,,,,,,,,,,,,, 73
Bubba Ogbebor, WR, Frisco, TX, 6'1'',195, Boise State,,172,,,2016,Boise State,,,,,,,,,,,,, 73
De'Andre Pierce, S, Long Beach, CA, 5'11'',165, Boise State,,,,,2016,Boise State,,,,,,,,,,,,, 73
Desmond Williams, S, Corona, CA, 5'11'',195, Boise State,,25,,,2016,Boise State,,,,,,,,,,,,, 73
John Bates, TE-H, Lebanon, OR, 6'5'',210, Boise State,,47,,,2016,Boise State,,,,,,,,,,,,, 72
Tyson Maeva, ILB, San Diego, CA, 6'0'',221, Boise State,,141,,,2016,Boise State,,,,,,,,,,,,, 72
Curtis Weaver, DE, Long Beach, CA, 6'3'',265, Boise State,,105,213,2,2016,Boise State,,,,,,,,,,,,, 72
Kole Bailey, OT, Twin Falls, ID, 6'5'',280, Boise State,,112,253,195,2016,Boise State,,,,,,,,,,,,, 72
Robert Mahone, ATH, Prosper, TX, 5'11'',200, Boise State,,37,,,2016,Boise State,,,,,,,,,,,,, 72
Nick Crabtree, TE-Y, Huntington Beach, CA, 6'6'',245, Boise State,,206,237,15,2016,Boise State,,,,,,,,,,,,, 71
