Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  
Kyle Vantrease,QB-PP,Stow,OH,6'2'',227,NR,,,,,,2017,Buffalo, None, None,,
Timothy Terry,OLB,Reading,PA,6'2'',215,NR,,,,,,2017,Buffalo,,,,
Ja'varius Harrison,ILB,North Florida,,5'11'',214,NR,,,,,,2017,Buffalo, None, None,,
Kevin Marks,RB,Norfolk,VA,6'0'',184,NR,,,,,,2017,Buffalo,,,,
Wankeith Akin Jr.,CB,Ramsey,NJ,5'9'',164,NR,,,,,,2017,Buffalo, None, None,,
Jacob Gall,OG,Cincinnati,OH,6'3'',290,NR,,,NR,,,2017,Buffalo, NR, NR,,
Isaiah King,WR,Norfolk,VA,5'10'',175,NR,,,,,,2017,Buffalo, None, None,,
Frendy Darelus,DE,Fort Lauderdale,FL,6'4'',220,NR,,,,,,2017,Buffalo, NR, NR,,
Ali Abbas,CB,Irvington,NJ,5'10'',175,NR,,,,,,2017,Buffalo, None, None,,
Julien Bourassa,TE-Y,Montreal,Quebec,CAN,6'5'',225,NR,,,,,2017,Buffalo, None, None,,
Malcolm Koonce,DE,New Berlin,NY,6'3'',255,NR,,,,,,2017,Buffalo,,,,
Dawun Hylton,S,Hialeah,FL,6'1'',190,NR,,,,,,2017,Buffalo,,,,
Charlie Jones,WR,Deerfield,IL,6'0'',180,NR,,,,,,2017,Buffalo, None, None,,
Jaylin Nolden,DE,Euclid,OH,6'4'',215,NR,,,,,,2017,Buffalo, None, None,,
Nikolas Ricks,OLB,Akron,OH,6'1'',220,NR,,,,,,2017,Buffalo,,,,
Tyrece Woods Jr.,DE,Belleville,MI,6'1'',245,74.0,Buffalo,,166,148,33,2019,Buffalo,,,,
Richard Miller Jr.,ILB,Detroit,MI,6'0'',221,74.0,Buffalo,,44,,,2019,Buffalo,,,,
Trevor Bycznski,QB-PP,Berea,OH,6'4'',235,72.0,Buffalo,,53,198,70,2019,Buffalo,,,,
Kyler Laing,,Tallahassee,FL,6'1'',225,,Buffalo,,,,,2019,Buffalo,,,,
Marcus Fuqua,,Southfield,MI,5'11'',193,,Buffalo,,NR,NR,NR,2019,Buffalo,,,,
Trevor Solomon-Wilson,WR,Tallahassee,FL,5'10'',180,,Buffalo,,,,,2019,Buffalo,,,,
Caleb Tate,,Tampa,FL,5'11'',190,,Buffalo,,,,,2019,Buffalo,,,,
Evan Davis,,Rumson,NJ,5'10'',245,,Buffalo,,,,,2019,Buffalo,,,,
Bence Polgar,,Wayne,NJ,6'4'',314,,Buffalo,,,,,2019,Buffalo,,,,
Ronald Cook Jr.,WR,Washington,DC,5'7'',190,,Buffalo,,,,,2019,Buffalo,,,,
Larry Robbins,,Miami,FL,5'7'',165,,Buffalo,,,,,2019,Buffalo,,,,
Georell Kidd,,Miami,FL,6'0'',260,,Buffalo,,,,,2019,Buffalo,,,,
C.J. Bazile,,Bayonne,NJ,6'3'',241,,Buffalo,,,,,2019,Buffalo,,,,
Caelan Shepard,,Annapolis,MD,6'6'',305,,Buffalo,,,,,2019,Buffalo,,,,
Trey Franklin,,Warner Robins,GA,5'10'',170,,Buffalo,,,,,2019,Buffalo,,,,
Malik Brooks,,Lockport,NY,6'2'',180,,Buffalo,,,,,2019,Buffalo,,,,
Javien Cuff,,Vero Beach,FL,6'1'',170,,Buffalo,,,,,2019,Buffalo,,,,
Anthony Laudicina,,Radnor,PA,6'6'',280,,Buffalo,,,,,2019,Buffalo,,,,
Tyler Stephens,,Leavittsburg,OH,6'6'',215,,Buffalo,,,,,2019,Buffalo,,,,
Jelani Foster,,Laurel,MD,6'1'',185,,Buffalo,,NR,,,2019,Buffalo,,,,
Mark Davis,,Bradenton,FL,6'2'',175,,Buffalo,,,,,2019,Buffalo,,,,
Ronald McGee,DT,Sumter,SC,6'3'',295,,Buffalo,,,,,2019,Buffalo,,,,
Larry Rembert Jr.,WR,Mobile,AL,6'0'',175,,Buffalo,,,,,2019,Buffalo,,,,
Daniel Lee Jr.,WR,Breaux Bridge,LA,6'0'',195,,Buffalo,,,,,2019,Buffalo,,,,
Jordan Avissey,DE,Paris,France,6'5'',250,,Buffalo,,,,,2019,Buffalo,,,,
George Wolo,DT,Olney,MD,6'0'',290,,74.0,,84,161,36,2020,Buffalo,,,Our Lady of Good Counsel High School,
Logic Hudgens,CB,Severn,MD,6'1'',178,,74.0,,120,,,2020,Buffalo,,,Archbishop Spalding High School,
Lonnie Rice,S,Harrisburg,PA,6'0'',190,,73.0,,126,204,25,2020,Buffalo,,,Bishop McDevitt High School,
Bryce Johnson-Maith,DE,Baltimore,MD,6'4'',200,,72.0,,195,210,45,2020,Buffalo,,,St. Frances Academy,
Deondre Doiron,OG,London,ON,6'4'',280,,72.0,,158,26,8,2020,Buffalo,,,Loyola Catholic Secondary School,
Kolbe Burrell,RB,Philadelphia,PA,5'8'',185,,71.0,,147,252,30,2020,Buffalo,,,St. Joseph's Prep School,
Trevor Borland,TE-Y,Bolingbrook,IL,6'3'',230,,70.0,,64,,,2020,Buffalo,,,Bolingbrook High School,
Jalen McNair,CB,Olney,MD,5'8'',175,,70.0,,211,,,2020,Buffalo,,,Our Lady of Good Counsel High School,
Tyree O'Neil,WR,Portland,OR,6'1'',190,,70.0,,156,289,17,2020,Buffalo,,,Glendale Community College,
Michael Tetteh,DT,Bronx,NY,6'2'',240,,70.0,,1059,,,2020,Buffalo,,,Cardinal Hayes High School,
Casey Case,QB-PP,Winter Park,FL,6'6'',195,,70.0,,220,,,2020,Buffalo,,,Winter Park High School,
Tyler Doty,OT,Buffalo,NY,6'4'',320,,69.0,,223,,,2020,Buffalo,,,Saint Joseph's Collegiate Institute,
Samuel Todd,OT,Hightstown,NJ,6'5'',275,,69.0,,176,,,2020,Buffalo,,,The Peddie School,
Caron Robinson,RB,Rochester,NY,5'9'',180,,68.0,,,,,2020,Buffalo,,,Aquinas Institute,
Michael Ford,OG,Flossmoor,IL,6'3'',250,,,,,,,2020,Buffalo,,,Homewood-Flossmoor High School,
E.J. Brown,S,Stone Mountain,GA,5'11'',205,,,,,,,2020,Buffalo,,,Iowa Central Community College,
Ray Thomas-Ishman,OG,Philadelphia,PA,6'5'',330,,,,,,,2020,Buffalo,,,University of Massachusetts Amherst,
Ray Thomas-Ishman,OT,Philadelphia,PA,6'5'',325,,,,,,,2020,Buffalo,,,University of Massachusetts Amherst,
Jayden Oliver,CB,Riverview,FL,6'2'',185,,77,New Mexico Military Institute,6,,,2022,Buffalo,,,,
Mekhi Lynn,QB-DT,Cincinnati,OH,6'3'',180,,76,Princeton High School,28,,,2022,Buffalo,,,,
Jackson Paradis,RB,Tilton,NH,6'0'',230,,76,Tilton School,132,,,2022,Buffalo,,,,
Keyshawn Cobb,S,Fort Valley,GA,6'0'',200,,74,Northeast Mississippi Comm. College,9,,,2022,Buffalo,,,,
Nikolas McMillan,WR,Buffalo,NY,6'1'',175,,74,Canisius High School,188,,,2022,Buffalo,,,,
Tavian Mayo,S,Leesburg,GA,5'10'',170,,74,Butler Community College,10,,,2022,Buffalo,,,,
Ja'mori Coard,DT,Sumter,SC,6'2'',300,,73,Crestwood High School,,,,2022,Buffalo,,,,
