Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University  
Will Hines,S,Waco,TX,6'0'',180,75.0,Arkansas,114,,,2012,Arkansas,,,,,
Vincent Ascolese,OLB,North Bergen,NJ,6'2'',210,74.0,Arkansas,117,,,2012,Arkansas,,,,,
Jared Collins,CB,Tulsa,OK,5'10'',170,73.0,Arkansas,NR,,,2012,Arkansas,,NR,NR,,
Eric Hawkins,WR,Longview,TX,5'11'',167,,Arkansas,NR,,,2012,Arkansas,,,,,
A.J. Turner,OLB,Lepanto,AR,6'2'',195,,Arkansas,,,,2012,Arkansas,,,,,
Austin Flynn,DE,Wilmington,CA,6'3'',255,,Arkansas,NR,,,2012,Arkansas,,,,,
Demetrius Wilson,WR,Goodyear,AZ,6'2'',180,,Arkansas,,,,2012,Arkansas,,,,,
Alex Collins,RB,Plantation,FL,"5'11""",200,86.0,Arkansas,7,,,2013,Arkansas,5.0,32,15,,
Hunter Henry,TE,Little Rock,AR,"6'5""",240,85.0,Arkansas,2,,,2013,Arkansas,,,,,
Denver Kirkland,OT,Miami,FL,"6'4""",333,83.0,Arkansas,12,,,2013,Arkansas,,,,,
Brooks Ellis,OLB,Fayetteville,AR,"6'2""",215,81.0,Arkansas,27,,,2013,Arkansas,,,,,
Austin Allen,QB,Fayetteville,AR,"6'1""",202,80.0,Arkansas,23,,,2013,Arkansas,,,,,
Carroll Washington,CB,Baltimore,MD,"5'11""",175,79.0,Arkansas,5,,,2013,Arkansas,5.0,,,,
Reeve Koehler,OG,Honolulu,HI,"6'4""",321,79.0,Arkansas,36,,,2013,Arkansas,,86,4,,
Myke Tavarres,OLB,Weed,CA,"6'2""",215,78.0,Arkansas,4,,,2013,Arkansas,4.0,,68,,
Martrell Spaight,OLB,North Little Rock,AR,"6'0""",218,77.0,Arkansas,,,,2013,Arkansas,7.0,,,,
Dan Skipper,OT,Arvada,CO,"6'8""",285,77.0,Arkansas,53,,,2013,Arkansas,,,,,
Damon Mitchell,ATH,Egg Harbor City,NJ,"6'2""",199,77.0,Arkansas,98,,,2013,Arkansas,98.0,,,,
De'Andre Coley,S,Miami,FL,"6'1""",175,76.0,Arkansas,66,,,2013,Arkansas,,411,6,,
Tevin Beanum,DE,Forrest City,AR,"6'4""",230,76.0,Arkansas,,,,2013,Arkansas,,,,,
Tiquention Coleman,S,Milledgeville,GA,"5'10""",195,75.0,Arkansas,105,,,2013,Arkansas,10.0,226,174,,
Denzell Evans,RB,Bellaire,TX,"5'11""",207,74.0,Arkansas,106,,,2013,Arkansas,105.0,,,,
Korliss Marshall,RB,Osceola,AR,"5'11""",185,74.0,Arkansas,,,,2013,Arkansas,106.0,,,,
Melvinson Hartfield,ATH,Dallas,TX,"5'11""",185,73.0,Arkansas,,,,2013,Arkansas,138.0,,,,
John McClure,OT,Wichita,KS,"6'4""",310,73.0,Arkansas,101,,,2013,Arkansas,,,,,
D.J. Dean,CB,Newton,TX,"5'11""",183,72.0,Arkansas,,,,2013,Arkansas,101.0,,,,
Alex Brignoni,S,Fayetteville,AR,"6'1""",190,72.0,Arkansas,232,,,2013,Arkansas,83.0,729,13,,
Ke'Tyrus Marks,DT,Riviera Beach,FL,"6'1""",267,71.0,Arkansas,,,,2013,Arkansas,100.0,,,,
Drew Morgan,WR,Greenwood,AR,"5'11""",175,67.0,Arkansas,,,,2013,Arkansas,232.0,,,,
Sam Irwin-Hill,K,Bendigo,AUS,"6'3""",210,,Arkansas,,,,2013,Arkansas,,,,,
Bijhon Jackson,DT,El Dorado,AR,6'2'',330,84.0,,6,48,1,2014,Arkansas,,,,Arkansas,
Brian Wallace,OT,Saint Louis,MO,6'5'',300,83.0,,9,19,2,2014,Arkansas,,,,Arkansas,
JoJo Robinson,ATH,Miami,FL,6'0'',185,83.0,,18,,,2014,Arkansas,,,,Arkansas,
Rafe Peavey,QB-DT,Bolivar,MO,6'2'',210,81.0,,10,,,2014,Arkansas,,,,Arkansas,
