Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Michael Minihan,OG,Honolulu,HI,6'3'',284,,78,Georgia Tech,47,,,2017,Georgia Tech,,,
Kaleb Oliver,SMurfreesboro,TN,6'2'',195,78,,Georgia Tech,,41,,,2017,Georgia Tech,,,
Gentry Bonds,CB,Murfreesboro,TN,6'1'',192,,77,Georgia Tech,63,,,2017,Georgia Tech,,,
Pressley Harvin III,K,Sumter,SC,6'0'',235,,77,Georgia Tech,4,,,2017,Georgia Tech,,,
Dameon Williams,CB,Norcross,GA,5'10'',175,,76,Georgia Tech,416,70,94,2017,Georgia Tech,,,
T.D. Roof,OLB,Buford,GA,5'10'',203,,76,Georgia Tech,55,,,2017,Georgia Tech,,,
Zach Quinney,OT,Savannah,GA,6'5'',265,,74,Georgia Tech,96,513,113,2017,Georgia Tech,,,
Avery Showell,S,Cartersville,GA,6'1'',192,,74,Georgia Tech,, None, None,2017,Georgia Tech,,,
Brenton King,K,Hoschton,GA,5'11'',165,,74,Georgia Tech,33,534,117,2017,Georgia Tech,,,
Boe Tufele,DT,Harbor City,CA,6'3'',290,,74,Georgia Tech,,,,2017,Georgia Tech,,,
Charlie Clark,OG,Atlanta,GA,6'3'',270,,73,Georgia Tech,102,,,2017,Georgia Tech,,,
Jordan Ponchez-Mason,RB,Gallatin,TN,6'1'',205,,73,Georgia Tech,100,,,2017,Georgia Tech,,,
Kelton Dawson,DE,Suwanee,GA,6'3'',242,,72,Georgia Tech,118,,,2017,Georgia Tech,,,
Jerry Howard,RB,Rock Hill,SC,6'0'',210,,71,Georgia Tech,113,665,23,2017,Georgia Tech,,,
Connor Hansen,OC,Tallahassee,FL,6'2'',325,,71,Georgia Tech,15,,,2017,Georgia Tech,,,
Antwan Owens,DT,Tallahassee,FL,6'3'',286,,70,Georgia Tech,105,,,2017,Georgia Tech,,,
Tariq Carpenter,S,Ludowici,GA,6'2'',188,,70,Georgia Tech,117,689,151,2017,Georgia Tech,,,
Tobias Oliver,QB-DT,Warner Robins,GA,6'1'',175,,68,Georgia Tech,, None, None,2017,Georgia Tech,,,
Adonicas Sanders,WR,Charleston,SC,6'1'',186,,,Georgia Tech,,,,2017,Georgia Tech,,,
James Graham,ATH,Fitzgerald,GA,6'1'',180,80,Georgia Tech,,28,,,2018,Georgia Tech,169,46,
T.K. Chimedza,DT,Bradenton,FL,6'3'',296,80,Georgia Tech,,30,,,2018,Georgia Tech,177,71,
Justice Dingle,ILB,Bowling Green,KY,6'3'',243,79,Georgia Tech,,16,,,2018,Georgia Tech,225,4,
Malachi Carter,WR,Lawrenceville,GA,6'2'',181,79,Georgia Tech,,94,,,2018,Georgia Tech,234,54,
Tijai Whatley,ATH,Rome,GA,6'0'',195,79,Georgia Tech,,45,,,2018,Georgia Tech,,,
Zamari Walton,ATH,Melbourne,FL,6'0'',165,78,Georgia Tech,,,,,2018,Georgia Tech,,,
Jaylon King,ATH,Nashville,TN,6'1'',178,77,Georgia Tech,,,,,2018,Georgia Tech,,,
Dontae Smith,RB,Columbia,TN,5'11'',182,77,Georgia Tech,,41,,,2018,Georgia Tech,392,28,
Charlie Thomas,S,Thomasville,GA,6'1'',185,77,Georgia Tech,,45,,,2018,Georgia Tech,401,90,
Juanyeh Thomas,CB,Niceville,FL,6'1'',190,76,Georgia Tech,,77,,,2018,Georgia Tech,,,
Austin Smith,DT,McDonough,GA,6'3'',287,76,Georgia Tech,,468,,,2018,Georgia Tech,,,
Jordan Domineck,DE,Lakeland,FL,6'3'',210,75,Georgia Tech,,103,,,2018,Georgia Tech,,,
Harrison Jump,OT,Bogart,GA,6'4'',260,75,Georgia Tech,,97,,,2018,Georgia Tech,496,107,
JaQuon Griffin,DT,Rome,GA,6'0'',260,75,Georgia Tech,,93,,,2018,Georgia Tech,535,117,
