Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University,Stars, Reg_rank, State_rank
Khalid Jones,ILB,Duncan,SC,"6'1""",228,80.0,,52,,,2018,Northwestern,Northwestern,,,
Andrew Leota,DE,Asheville,NC,"6'3""",218,79.0,,131,,,2018,Northwestern,Northwestern,,,
Jacob Jefferson,WR,Houston,TX,"5'10""",159,78.0,,47,,,2018,Northwestern,Northwestern,,63,11
Charlie Schmidt,OG,Libertyville,IL,"6'3""",270,77.0,,61,,,2018,Northwestern,Northwestern,,,
Jaylen Rivers,ATH,Loganville,GA,"6'2""",202,77.0,,18,,,2018,Northwestern,Northwestern,,,
Charlie Mangieri,TE,Dunlap,IL,"6'5""",227,77.0,,27,,,2018,Northwestern,Northwestern,,,
Brian Kaiser,TE,Winnetka,IL,"6'6""",210,76.0,,60,,,2018,Northwestern,Northwestern,,,
Jeremiah McDonald,S,Slidell,LA,"6'3""",190,76.0,,,,,2018,Northwestern,Northwestern,,105,22
Greg Newsome,S,Carol Stream,IL,"6'0""",165,76.0,,78,,,2018,Northwestern,Northwestern,,,
Payne He'Bert,OG,Pearland,TX,"6'4""",274,75.0,,91,,,2018,Northwestern,Northwestern,,,
Isaiah Bowser,S,Sidney,OH,"6'1""",204,75.0,,128,,,2018,Northwestern,Northwestern,,659,260
Grayson Mann,OLB,Fort Worth,TX,"6'0""",214,74.0,,101,,,2018,Northwestern,Northwestern,,,
A.J. Hampton,CB,Tampa,FL,"5'10""",160,73.0,,NR,,,2018,Northwestern,Northwestern,,,
Drake Anderson,RB,Chandler,AZ,"5'10""",180,72.0,,,,,2018,Northwestern,Northwestern,,,
Sam Stovall,OT,Chattanooga,TN,"6'4""",285,,,,,,2018,Northwestern,Northwestern,,,
Dashun Reeder,RB,Greenville,SC,5'11'',190,Christ Church Episcopal High,,58,,,2024,Northwestern,,78,337,11
Timi Oke,CB,London,England,EUR,6'0'',77,NFL Academy,,,,2024,Northwestern,,175, None, None
Patrick Schaller,TE-H,Northbrook,IL,Glenbrook North High School,6'5'',77,Northwestern,36,,,2024,Northwestern,,220,108,23
Ryan Boe,QB-DT,Batavia,IL,Batavia High School,6'2'',76,Northwestern,31,,,2024,Northwestern,,190,,
Braxton Strong,DE,Peru,IN,Peru High School,6'3'',75,Northwestern,128,,,2024,Northwestern,,235,,
