Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,University 
Steve Wesley,CB,Arlington,TX,6'0'',175,75.0,TCU,,,,,2013,Texas Christian,,,,
Cameron Echols-Luper,ATH,Auburn,AL,5'11'',183,75.0,TCU,,,,,2013,Texas Christian,,,,
Zach Allen,QB,PPTemple,TX,6'2'',185,74.0,TCU,,56,,,2013,Texas Christian,,229,177,
Lloyd Tunstill,OG (JC),Santa Clarita,CA,6'3'',320,73.0,TCU,,7,,,2013,Texas Christian,,,,
Joseph Noteboom,OT,Plano,TX,6'5'',240,73.0,TCU,,114,,,2013,Texas Christian,,,,
Bryson Burtnett,TE-H,Springtown,TX,6'4'',225,73.0,TCU,,24,,,2013,Texas Christian,,,,
Ranthony Texada,CB,Frisco,TX,5'9'',160,71.0,TCU,,102,,,2013,Texas Christian,,288,227,
Jermaine Antoine,ATH,Loreauville,LA,5'10'',180,68.0,TCU,,,,,2013,Texas Christian,,,,
Cydney Calvin,CB,Frisco,TX,6'0'',170,,TCU,,NR,,,2013,Texas Christian,,NR,NR,
Denzel Johnson,ATH,Gainesville,TX,6'2'',205,,TCU,,,,,2013,Texas Christian,,,,
Mike Tuaua,DE (JC),Rohnert Park,CA,6'3'',260,,TCU,,NR,,,2013,Texas Christian,,NR,NR,
"Kavontae Turpin,ATH,Monroe,LA,5'8"",145,80,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"DeShawn Raymond,CB,Metairie,LA,6'0"",185,80,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Jaelan Austin,WR,Grand Prairie,TX,6'1"",195,79,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Montrel Wilson,S,Keller,TX,6'2"",195,79,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"David Bolisomi,OT,Denton,TX,6'6"",290,79,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
"Breylin Mitchell,DE,Round Rock,TX,6'4"",253,78,None,TCU",,,,,,,,,,,,2015,Texas Christian,,,,
