Name,Pos,City,State,Height,Weight,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,Stars,University  ,University,Location,School, Reg_rank, State_rank
Damion Barber,DE,Harrisburg,PA,6'3'',253,79,,43,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Brelin Faison-Walden,S,Greensboro,NC,6'0'',195,78,,38,295,18,2017,Penn State,,,,,,,,,,,Penn State,,,,
Cameron Sullivan-Brown,WR,Laurel,MD,6'1'',176,78,,,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Desmond Holmes,OT,Springfield,PA,6'6'',327,77,,94,62,14,2017,Penn State,,,,,,,,,,,Penn State,,,,
Robert Martin,OT,Montvale,NJ,6'6'',270,77,,63,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Mac Hippenhammer,WR,Fort Wayne,IN,6'0'',170,77,,141,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Donovan Johnson,CB,Detroit,MI,5'10'',177,76,,103,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Brailyn Franklin,OLB,Haymarket,VA,6'2'',196,75,,67,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
D.J. Brown,CB,Fairburn,GA,5'11'',172,74,,,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Journey Brown,RB,Meadville,PA,5'11'',182,74,,143,85,19,2017,Penn State,,,,,,,,,,,Penn State,,,,
Micah Parsons,DE,Harrisburg,PA,6'3'',241,Penn State,,7,,,2018,Penn State,,,,,,,,,91,,,,,2,1
Justin Shorter,WR,Monmouth Junction,NJ,6'4'',213,Penn State,,8,,,2018,Penn State,,,,,,,,,91,,,,,3,1
Ricky Slade,RB,Woodbridge,VA,5'9'',185,Penn State,,17,,,2018,Penn State,,,,,,,,,88,,,,,,
Jayson Oweh,DE,Blairstown,NJ,6'5'',236,Penn State,,10,,,2018,Penn State,,,,,,,,,84,,,,,,
P.J. Mustipher,DT,Owings Mills,MD,6'5'',290,Penn State,,9,,,2018,Penn State,,,,,,,,,84,,,,,12,4
Nana Asiedu,OT,Stafford,VA,6'6'',251,Penn State,,11,,,2018,Penn State,,,,,,,,,83,,,,,17,3
Jahan Dotson,WR,Nazareth,PA,5'11'',165,Penn State,,19,,,2018,Penn State,,,,,,,,,83,,,,,,
Rasheed Walker,OT,Waldorf,MD,6'6'',295,Penn State,,13,,,2018,Penn State,,,,,,,,,83,,,,,20,5
Fredrick Scruggs,OG,Erie,PA,6'4'',270,Penn State,,10,,,2018,Penn State,,,,,,,,,82,,,,,,
Jesse Luketa,OLB,Erie,PA,6'3'',242,Penn State,,7,,,2018,Penn State,,,,,,,,,82,,,,,,
Zack Kuntz,TE,Camp Hill,PA,6'8'',221,Penn State,,7,,,2018,Penn State,,,,,,,,,81,,,,,,
Patrick Freiermuth,TE,North Andover,MA,6'5'',248,Penn State,,8,,,2018,Penn State,,,,,,,,,81,,,,,31,1
Daniel George,WR,Oxon Hill,MD,6'2'',201,Penn State,,49,,,2018,Penn State,,,,,,,,,81,,,,,,
Trent Gordon,CB,Manvel,TX,5'11'',172,Penn State,,36,,,2018,Penn State,,,,,,,,,80,,,,,63,50
Aeneas Hawkins,DT,Cincinnati,OH,6'2'',246,Penn State,,29,,,2018,Penn State,,,,,,,,,80,,,,,22,11
Jordan Miner,CB,Wesley Chapel,FL,6'1'',168,Penn State,,44,,,2018,Penn State,,,,,,,,,80,,,,,,
Nick Tarburton,ILB,Perkasie,PA,6'4'',242,Penn State,,13,,,2018,Penn State,,,,,,,,,80,,,,,49,12
Will Levis,QB,Middletown,CT,6'4'',224,Penn State,,35,,,2018,Penn State,,,,,,,,,79,,,,,,
Judge Culpepper,TE,Tampa Bay,FL,6'4'',256,Penn State,,15,,,2018,Penn State,,,,,,,,,79,,,,,263,99
Bryce Effner,OT,Aurora,IL,6'5'',281,Penn State,,53,,,2018,Penn State,,,,,,,,,78,,,,,,
Isaiah Humphries,SS,Sachse,TX,5'11'',191,Penn State,,31,,,2018,Penn State,,,,,,,,,78,,,,,127,98
Jake Pinegar,K,Ankeny,IA,6'1'',195,Penn State,,8,,,2018,Penn State,,,,,,,,,77,,,,,75,3
Charlie Katshir,OLB,Mechanicsburg,PA,6'2'',195,Penn State,,58,,,2018,Penn State,,,,,,,,,77,,,,,,
Landon Tengwall,OT,Olney,MD,6'5'',306,85,,9,13,3,2021,Penn State,,,,,,,,,5,,Penn State,,,,
Jaylen Reed,S,Detroit,MI,6'0'',190,82,,14,,,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Zakee Wheatley,WR,Severn,MD,6'3'',180,81,,47,,,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Lonnie White,ATH,Malvern,PA,6'2'',210,81,,24,,,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Christian Veilleux,QB,Potomac,MD,6'3'',190,80,,23,,,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Rodney McGraw,DE,Elkhart,IN,6'5'',225,80,,36,,,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Davon Townley,DE,Minneapolis,MN,6'5'',220,80,,39,35,3,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Jamari Buddin,OLB,Belleville,MI,6'2'',195,79,,39,,,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Kalen King,CB,Detroit,MI,5'11'',170,78,,45,69,13,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Jeffrey Davis Jr,ATH,West Hartford,CT,6'2'',175,77,,53,80,4,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Khalil Dinkins,TE-Y,Wexford,PA,6'3'',225,77,,21,82,16,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Liam Clifford,ATH,Cincinnati,OH,6'1'',195,77,,55,75,21,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Kobe King,ILB,Detroit,MI,6'1'',225,77,,22,80,14,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Harrison Wallace,WR,Montgomery,AL,6'1'',180,76,,155,,,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Nate Bruce,OG,Harrisburg,PA,6'4'',320,76,,57,125,25,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Sander Sahaydak,K,Bethlehem,PA,6'2'',165,74,,12,170,34,2021,Penn State,,,,,,,,,4,,Penn State,,,,
Eric Wilson,OG,Saint Louis Park,MN,6'4'',285,TR,,,,,2021,Penn State,,,,,,,,,4,,Harvard University,,,,
Kaden Saunders,WR,Westerville,OH,5'10'',175,Penn State,,5,,,2022,Penn State,,,,,,,,,87,,,,,5,3
Drew Allar,QB,Medina,OH,6'4'',230,Penn State,,2,,,2022,Penn State,,,,,,,,,86,,,,,8,4
Nicholas Singleton,RB,Shillington,PA,5'11'',195,Penn State,,3,,,2022,Penn State,,,,,,,,,86,,,,,5,2
Drew Shelton,OT,Downingtown,PA,6'5'',260,Penn State,,10,,,2022,Penn State,,,,,,,,,85,,,,,,
Dani Dennis-Sutton,DE,Owings Mills,MD,6'5'',250,Penn State,,9,,,2022,Penn State,,,,,,,,,85,,,,,7,2
Kaytron Allen,RB,Bradenton,FL,5'11'',210,Penn State,,10,,,2022,Penn State,,,,,,,,,83,,,,,64,20
Mehki Flowers,S,Harrisburg,PA,6'1'',185,Penn State,,11,,,2022,Penn State,,,,,,,,,83,,,,,,
Cristian Driver,S,Denton,TX,6'0'',185,Penn State,,12,,,2022,Penn State,,,,,,,,,83,,,,,41,31
Jerry Cross,TE,Milwaukee,WI,6'6'',220,Penn State,,5,,,2022,Penn State,,,,,,,,,82,,,,,,
Anthony Ivey,WR,Lancaster,PA,5'11'',170,Penn State,,31,,,2022,Penn State,,,,,,,,,81,,,,,,
