Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Johnathan Jackson,WR,,,,,NR,Tennessee,,,,,2013,Tennessee,, None, None,,,,,,,,
Josh Malone,WR,Gallatin,TN,6'2'',191,,84,Tennessee,7,,,2014,Tennessee,,26,1,,,,,,,,
Todd Kelly Jr.,S,Knoxville,TN,6'1'',190,,84,Tennessee,5,,,2014,Tennessee,,34,2,,,,,,,,
Jalen Hurd,RB,Hendersonville,TN,6'4'',222,,84,Tennessee,8,,,2014,Tennessee,,,,,,,,,,,
LaVon Pearson,WR,Newport News,VA,6'2'',185,,84,Tennessee,2,,,2014,Tennessee,, None, None,,,,,,,,
Dillon Bates,OLB,Ponte Vedra Beach,FL,6'3'',213,,83,Tennessee,4,,,2014,Tennessee,,57,16,,,,,,,,
Derrell Scott,RB,Havelock,NC,5'11'',184,,83,Tennessee,11,,,2014,Tennessee,,60,8,,,,,,,,
Dewayne Hendrix,DE,O'Fallon,IL,6'5'',250,,83,Tennessee,18,,,2014,Tennessee,,18,7,,,,,,,,
Cortez McDowell,S,Locust Grove,GA,6'1'',200,,83,Tennessee,12,,,2014,Tennessee,,98,14,,,,,,,,
Gavin Bryant,ILB,Jackson,AL,6'2'',230,,82,Tennessee,10,,,2014,Tennessee,,,,,,,,,,,
D'Andre Payne,CB,Washington,DC,5'9'',169,,82,Tennessee,38,,,2014,Tennessee,,141,25,,,,,,,,
Evan Berry,ATH,Fairburn,GA,5'11'',194,,81,Tennessee,26,,,2014,Tennessee,,,,,,,,,,,
Derek Barnett,DE,Brentwood,TN,6'3'',274,,81,Tennessee,24,,,2014,Tennessee,,146,6,,,,,,,,
Michael Sawyers,DT,Nashville,TN,6'2'',290,,81,Tennessee,41,,,2014,Tennessee,,167,8,,,,,,,,
