Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University  , Pos, City, State, Height, Weight, Grade, University,Grade 
David Richards, WR, Palmdale, CA, 6'3'', 197, 77, Arizona  ,,97,,,2011,Arizona,,,,,,,,,,,
Reggie Gilbert, DE, Laveen, AZ, 6'3'', 230, 77, Arizona  ,,47,,,2011,Arizona,116,78,,,,,,,,,
Faitele Faafoi, OG, Tustin, CA, 6'5'', 295, 77, Arizona  ,,130,,,2011,Arizona,150,100,,,,,,,,,
Dame Ndiaye, DE, San Diego, CA, 6'4'', 215, 76, Arizona  ,,75,,,2011,Arizona,153,204,,,,,,,,,
Michael Cooper, DE, The Woodlands, TX, 6'5'', 230, 75, Arizona  ,,80,,,2011,Arizona,,,,,,,,,,,
Jacob Arzouman, OG, Tucson, AZ, 6'3'', 260, 74, Arizona  ,,91,,,2011,Arizona,334,254,,,,,,,,,
Daxx Garman, QB, Southlake, TX, 6'1'', 170, 73, Arizona  ,,,,,2011,Arizona,,,,,,,,,,,
Saneilia Fuimaono, DT, Honolulu, HI, 6'2'', 270, 73, Arizona  ,,NR,,,2011,Arizona,,,,,,,,,,,
Tra'Mayne Bondurant, ATH, Fairfield, CA, 5'10'', 183, NR, Arizona  ,,216,,,2011,Arizona,,,,,,,,,,,
Cortez Johnson, S, New Orleans, LA, 6'1'', 185, NR, Arizona  ,,NR,,,2011,Arizona,,,,,,,,,,,
Lene Maiava, OT, Pago Pago, American Samoa, SP, 6'4'', 260, NR,,NR,,,2011,Arizona,NR,NR, Arizona  ,,,,,,,,
Addison Bachman, OC, Glendora, CA, Citrus College, 6'4'', 290, NR,,,,,2011,Arizona,,, Arizona  ,,,,,,,,
Drew Robinson, TE, Coalville, UT, Snow College, 6'5'', 245, NR,,,,,2011,Arizona,,, Arizona  ,,,,,,,,
Lamar De Rego, DE, Waimea, HI, San Jose City College, 6'3'', 255, NR,,NR,,,2011,Arizona,,, Arizona  ,,,,,,,,
Kyle Dugandzic, K, Agoura Hills, CA, Ventura College, 5'11'', 195, NR,,,,,2011,Arizona,,, Arizona  ,,,,,,,,
Jaimie Salazar, K, Garland, TX, Trinity Valley Community College, 6'1'', 195, NR,,,,,2011,Arizona,,, Arizona  ,,,,,,,,
Javelle Allen,QB,Prosper,TX,6'1'',207,79.0,Arizona,,26,83,67,2012,Arizona,,,,,,,,,,,
Zach Hemmila,OG,Chandler,AZ,6'3'',270,78.0,Arizona,,35,72,8,2012,Arizona,,,,,,,,,,,
Cayman Bundage,OG,Oklahoma City,OK,6'2'',260,78.0,Arizona,,37,,,2012,Arizona,,,,,,,,,,,
Josh Kern,QB,San Antonio,TX,6'4'',190,78.0,Arizona,,44,118,92,2012,Arizona,,,,,,,,,,,
Jamar Allah,CB,Phoenix,AZ,6'0'',185,77.0,Arizona,,, None, None,2012,Arizona,,,,,,,,,,,
Kyle Kelley,DE,Irvine,CA,6'3'',215,77.0,Arizona,,101,125,85,2012,Arizona,,,,,,,,,,,
C.J. Dozier,OLB,Temecula,CA,6'1'',210,77.0,Arizona,,92,,,2012,Arizona,,,,,,,,,,,
Dwight Melvin,DT,Laveen,AZ,6'0'',244,76.0,Arizona,,132, None,14,2012,Arizona,,,,,,,,,,,
Trey Griffey,ATH,Orlando,FL,6'2'',190,76.0,Arizona,,427,,,2012,Arizona,,,,,,,,,,,
Dakota Conwell,OLB,Upper Saint Clair,PA,6'1'',205,76.0,Arizona,,96,,,2012,Arizona,,,,,,,,,,,
Jarrell Bennett,WR,New Orleans,LA,5'10'',155,76.0,Arizona,,470,132,36,2012,Arizona,,,,,,,,,,,
Wayne Capers,QB,Bridgeville,PA,6'1'',195,76.0,Arizona,,150,,,2012,Arizona,,,,,,,,,,,
Keoni Bush-Loo,TE,Honolulu,HI,6'4'',241,75.0,Arizona,,64,183,8,2012,Arizona,,,,,,,,,,,
Joetavious Washington,ATH,Satellite Beach,FL,5'6'',160,74.0,Arizona,,140,,,2012,Arizona,,,,,,,,,,,
William Parks,S,Philadelphia,PA,6'1'',180,74.0,Arizona,,114,200,60,2012,Arizona,,,,,,,,,,,
Leo Thomas,S,San Antonio,TX,6'2'',180,74.0,Arizona,,121,325,256,2012,Arizona,,,,,,,,,,,
Bryan Harper,ATH,Ontario,CA,6'0'',180,73.0,Arizona,,, None, None,2012,Arizona,,,,,,,,,,,
T.D. Gross,OT,Santee,CA,6'5'',255,73.0,Arizona,,, None, None,2012,Arizona,,,,,,,,,,,
Cody Ippolito,ILB,Scottsdale,AZ,5'11'',220,72.0,Arizona,,, None, None,2012,Arizona,,,,,,,,,,,
Anthony Lopez,RB,Gilbert,AZ,5'10'',190,72.0,Arizona,,179,322,44,2012,Arizona,,,,,,,,,,,
Beau Boyster,OT,Bellflower,CA,6'4'',285,71.0,Arizona,,187,331,198,2012,Arizona,,,,,,,,,,,
Yamen Sanders,OLB,Culver City,CA,6'3'',190,,Arizona,,NR,,,2012,Arizona,,,,,,,,,,,
Clive Georges,WR,Key West,FL,6'1'',180,,Arizona,,NR, NR, NR,2012,Arizona,,,,,,,,,,,
Dylan Cozens,DE,Scottsdale,AZ,6'4'',245,,Arizona,,, None, None,2012,Arizona,,,,,,,,,,,
Keenan Walker,,,,,,,,,8,18,2,2015,Arizona,,,, OT, Scottsdale, AZ, 6'6'',282.0,83.0, Arizona,
Anthony Fotu,,,,,,,,,5, NR, NR,2015,Arizona,,,, DT, San Leandro, CA, 6'4'',285.0,80.0, Arizona,
Cody Creason,,,,,,,,,34,,,2015,Arizona,,,, OG, Folsom, CA, 6'4'',260.0,80.0, Arizona,
Orlando Bradford,,,,,,,,,55,277,31,2015,Arizona,,,, RB, Shreveport, LA, 5'8'',202.0,78.0, Arizona,
Cedric Peterson,,,,,,,,,90,103,67,2015,Arizona,,,, WR, Moreno Valley, CA, 6'0'',189.0,78.0, Arizona,
Anthony Mariscal,,,,,,,,,124,51,85,2015,Arizona,,,, CB, Bakersfield, CA, 5'11'',188.0,77.0, Arizona,
Darrell Cloy Jr.,,,,,,,,,,,,2015,Arizona,,,, TE, La Habra, CA, 6'3'',240.0,77.0, Arizona,
Samuel Morrison,,,,,,,,,,96,8,2015,Arizona,,,, CB, Washington, DC, 5'11'',170.0,77.0, Arizona,
Antonio Parks,,,,,,,,,, None, None,2015,Arizona,,,, ATH, Reserve, LA, 5'8'',171.0,77.0, Arizona,
Dane Cruikshank,,,,,,,,,13, NR, NR,2015,Arizona,,,, CB, Chino Hills, CA, 6'2'',190.0,76.0, Arizona,
Jordan Morgan,,,,,,,,,, None, None,2015,Arizona,,,, WR, Beaverton, OR, 6'2'',200.0,76.0, Arizona,
Alex Kosinski,,,,,,,,,74,,,2015,Arizona,,,, OG, Larkspur, CA, 6'4'',280.0,75.0, Arizona,
Paul Magloire,,,,,,,,,11,,,2015,Arizona,,,, S, Lynbrook, NY, 6'2'',215.0,75.0, Arizona,
Devon Brewer,,,,,,,,,,,,2015,Arizona,,,, CB, Fresno, CA, 5'10'',165.0,75.0, Arizona,
Kendal Franklin,,,,,,,,,, None, None,2015,Arizona,,,, DE, New Orleans, LA, 6'2'',219.0,75.0, Arizona,
Darick Holmes Jr.,,,,,,,,,106,190,124,2015,Arizona,,,, RB, Newbury Park, CA, 5'6'',165.0,75.0, Arizona,
Finton Connolly,,,,,,,,,81,210,18,2015,Arizona,,,, DT, Gilbert, AZ, 6'3'',250.0,75.0, Arizona,
Jamie Nunley,,,,,,,,,25,216,140,2015,Arizona,,,, TE, Murrieta, CA, 6'3'',196.0,74.0, Arizona,
Jace Whittaker,,,,,,,,,,,,2015,Arizona,,,, ATH, Oceanside, CA, 6'0'',170.0,74.0, Arizona,
Timmy Hamilton,,,,,,,,,15,,,2015,Arizona,,,, DE, Wichita, KS, 6'4'',250.0,74.0, Arizona,
Brion Anduze,,,,,,,,,227,,,2015,Arizona,,,, ATH, Silverdale, WA, 6'4'',235.0,74.0, Arizona,
