Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,School,State_rank  
DT,Leroy,AL,6'1'',300.0,,,Troy,,,,,2011,Troy,,,,,
OT,Heidelberg,MS,6'4'',295.0,,,Troy,,,,,2011,Troy,,,,,
WR,Memphis,TN,6'2'',200.0,,,Troy,,,,,2011,Troy,,,,,
DE,Pontotoc,MS,6'4'',265.0,,,Troy,,,,,2011,Troy,,,,,
RB,Monroe,LA,6'2'',220.0,,,Troy,,,,,2011,Troy,,,,,
,,,,,,,,,,,,2011,Troy,,,,,
Brandon Silvers,QB,Gulf Shores,AL,6'3'',200.0,79,Troy,,27,,,2012,Troy,,169,17,,
Bobby Walker,WR,Jacksonville,FL,6'0'',170.0,77,Troy,,,,,2012,Troy,,105,123,,
Juan Neloms,CB,Tallahassee,FL,6'0'',180.0,76,Troy,,,,,2012,Troy,,,,,
Shaquille Beverly,CB,Jacksonville,FL,5'9'',190.0,75,Troy,,,,,2012,Troy,, None, None,,
Brandon Brooks,WR,Jacksonville,FL,6'0'',173.0,75,Troy,,143,,,2012,Troy,,530,185,,
Luke Lawrence,OG,Tuscaloosa,AL,6'3'',295.0,75,Troy,,98,,,2012,Troy,,,,,
Andre Allen,RB,Panama City Beach,FL,5'8'',177.0,74,Troy,,,,,2012,Troy,,,,,
Ryan Kay,K,Dutchtown High School,GA,6'3'',220.0,74,Troy,,,,,2012,Troy,, None, None,,
Tyler Lassiter,OT,Hazel Green,AL,6'9'',295.0,73,Troy,,,,,2012,Troy,,,,,
Brandon Burks,RB,Daleville,AL,5'9'',170.0,72,Troy,,166,,,2012,Troy,,844,81,,
Chris Davis,CB,Thomasville,AL,5'9'',160.0,71,Troy,,,,,2012,Troy,, None, None,,
Mitchell Roland,ILB,Auburn,AL,6'1'',220.0,68,Troy,,92,,,2012,Troy,,,,,
Michael Lindsey,ATH,Elba,AL,5'9'',160.0,67,Troy,,210,,,2012,Troy,,1027,103,,
Terris Lewis,Linden,AL,6'2'',195,,Troy,,,,,,2012,Troy,,,,,
Montre Kitchens,RB,Waynesboro,GA,5'10'',166.0,,Troy,,NR,,,2012,Troy,,,,,
Garrett Peek,OLB,Millbrook,AL,6'2'',215.0,,Troy,,NR,,,2012,Troy,,,,,
JaQuadrian Lewis,CB,Fitzgerald,GA,5'10'',170.0,,Troy,,,,,2012,Troy,, None, None,,
John Knight,ATH,Thomasville,AL,6'0'',190.0,,Troy,,NR,,,2012,Troy,, NR, NR,,
Antonio Gates,OT,Decatur,GA,6'7'',250.0,,Troy,,,,,2012,Troy,,,,,
Antonio Garcia,OT,Decatur,GA,6'6'',250.0,,Troy,,NR,,,2012,Troy,, NR, NR,,
Rishad Goode,CB,Madison,AL,6'0'',195.0,,Troy,,,,,2012,Troy,,,,,
Jamal Stadom,DE,Melbourne,FL,6'1'',224.0,,Troy,,,,,2012,Troy,,,,,
Chris Hawkins,DT,Florence,AL,6'3'',295.0,,Troy,,,,,2012,Troy,,,,,
Brandon Timmons,DE,Olive Branch,MS,6'3'',250.0,,Troy,,,,,2012,Troy,, NR, NR,,
Mark Wilson,ILB,Tallahassee,FL,6'2'',225.0,,Troy,,,,,2012,Troy,, None, None,,
Deon Anthony,QB,Raymond,MS,6'1'',205.0,,Troy,,,,,2012,Troy,, None, None,,
Eli Canton,ILB,Booneville,MS,6'2'',240.0,,Troy,,,,,2012,Troy,,,,,
Will Scott,K,Lucedale,MS,5'11'',195.0,,Troy,,,,,2012,Troy,,,,,
Wayland Coleman-Dancer,ILB,Moorhead,MS,6'1'',205.0,,Troy,,,,,2012,Troy,,,,,
Jeremy Spikner,CB,Southaven,MS,6'0'',185.0,,Troy,,,,,2012,Troy,, None, None,,
Martrez Townes,S,Nesbit,MS,6'1'',200.0,,Troy,,,,,2012,Troy,,,,,
Brandon Powe,ILB,Moorhead,MS,6'1'',230.0,,Troy,,NR,,,2012,Troy,, NR, NR,,
Jamel Johnson,WR,Goodman,MS,6'3'',200.0,,Troy,,NR,,,2012,Troy,,,,,
Lonnie Gosha,DT,Lake Butler,FL,6'2'',270.0,,Troy,,,,,2012,Troy,, None, None,,
Braylon Williams,DE,West Rusk, TX,6'5'',230.0,,Troy,,NR,,,2012,Troy,, NR, NR,,
Xavier Melton,DT,Lakeland, FL,6'4'',305.0,,Troy,,,,,2012,Troy,, None, None,,
Derrek Upshaw,DT,Darien, GA,6'2'',270.0,,Troy,,,,,2012,Troy,,,,,
Zach Miller,S,Duncan, SC,6'1'',180.0,,Troy,, None,,,2012,Troy,, None, None,,
Jarvis Bentley,WR,Columbus,GA,6'4'',185,,77.0,,16,,,2014,Troy,Troy,,,,
Andre Flakes,WR,Milton,FL,5'9'',175,,,,,,,2014,Troy,Troy,,,,
Emanuel Thompson,QB,Clayton,AL,6'0'',182,,,,,,,2014,Troy,Troy,,,,
Raphael Garner,OLB,Thomasville,AL,6'2'',220,,,,,,,2014,Troy,Troy,,,,
John Johnson,ATH,Troy,AL,5'11'',175,,,,,,,2014,Troy,Troy,,,,
Seth Calloway,DT,Ariton,AL,6'5'',270,,,,,,,2014,Troy,Troy,,,,
Brett Medforth,OG,Sylacauga,AL,6'3'',300,,,,,,,2014,Troy,Troy,,,,
Carnell Simon,DE,Duluth,GA,6'4'',264,,,,,,,2014,Troy,Troy,,,,
Rashad Dillard,DT,Coffeyville,KS,6'0'',265,,,,,,,2014,Troy,Troy,,,,
Dontreal Pruitt,QB,Laurel,MS,5'11'',195,,,,,,,2014,Troy,Troy,,,,
Jarvis Williams,DE,Lancaster,CA,6'1'',235,,,,NR,NR,NR,2014,Troy,Troy,,,,
Teddy Ruben,WR,Scottsdale,AZ,5'10'',170,,,,,,,2014,Troy,Troy,,,,
Tajarvis Fuller,CB,Fort Myers,FL,6'1'',190,,,,,,,2014,Troy,Troy,,,,
John Knight,CB,Thomasville,AL,6'0'',197,,,,,,,2014,Troy,Troy,,,,
Nyck Young,WR,Homewood,AL,6'2'',205,,,,,,,2014,Troy,Troy,,,,
Connor Bravard,QB,West Des Moines,IA,6'0'',195,,,,, None, None,2014,Troy,Troy,,,,
Darrin Reddick,CB,El Dorado,KS,6'0'',190,,,,,,,2014,Troy,Troy,,,,
Vinton Harris,DT,Belleville,IL,5'11'',295,,,,,,,2014,Troy,Troy,,,,
Ethan Hutson,OT,Destrehan,LA,6'4'',315,,,,,,,2014,Troy,Troy,,,,
Doug Salter,OLB,Brantley,AL,6'1'',207.0,3.0,73,,110,,,2015,Troy,Troy,612,40,,
James Peach,OT,Brewton,AL,6'5'',275.0,5.0,72,,152,,,2015,Troy,Troy,699,45,,
Melvin Tyus,,Birmingham,AL,6'1'',200.0,1.0,NR,,NR,,,2015,Troy,Troy,,,,
Gardner Minshew,QB,Brandon,MS,6'1'',215.0,1.0,NR,,,,,2015,Troy,Troy, None, None,,
A.J. Smiley,,Birmingham,AL,6'3'',199.0,1.0,NR,,,,,2015,Troy,Troy, None, None,,
Trevon Sanders,DT,North Charleston,SC,6'0'',305.0,1.0,NR,,,,,2015,Troy,Troy, None, None,,
Jawon McDowell,CB,Mobile,AL,5'10'',167.0,1.0,NR,,NR,,,2015,Troy,Troy,,,,
Lewis Cousins,SGainesville,GA,5'10'',170,1.0,NR,Troy,,,,,2015,Troy,, NR, NR,,
Ismail Saleem,WR,Montgomery,AL,5'10'',165.0,1.0,NR,,,,,2015,Troy,Troy,,,,
Cedarius Rookard,S,Spartanburg,SC,6'0'',190.0,1.0,NR,,NR,,,2015,Troy,Troy, NR, NR,,
Damien Kemp,OT,Greensboro,GA,6'5'',280.0,1.0,NR,,,,,2015,Troy,Troy, None, None,,
Tristan Nolan,WR,Foley,AL,5'10'',175.0,1.0,NR,,,,,2015,Troy,Troy, None, None,,
Uvakeious McGhee,DE,Montgomery,AL,6'4'',230.0,1.0,NR,,,,,2015,Troy,Troy,,,,
Demone Kemp,DT,Greensboro,GA,6'3'',260.0,1.0,NR,,,,,2015,Troy,Troy,,,,
Noah Banks,OG,Pensacola,FL,6'5'',310.0,1.0,NR,,NR,,,2015,Troy,Troy, NR, NR,,
Antoine Barker,DE,Pensacola,FL,6'3'',220.0,1.0,NR,,,,,2015,Troy,Troy,,,,
Kirk Kelly,OT,Marrero,LA,6'5'',280.0,1.0,NR,,NR,,,2015,Troy,Troy,,,,
Tron Folsom,WR,Alma,GA,6'1'',190.0,1.0,NR,,,,,2015,Troy,Troy, None, None,,
