Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank, Reg_rank, State_rank,Year,Team,University,School,Reg_rank,State_rank,City State
Kris Jenkins,DE,Olney,MD,6'3'',235,78,Michigan,,,78,22,2020,Michigan,,,,,
William Mohan,ATH,Brooklyn,NY,6'1'',190,78,Michigan,,48,,,2020,Michigan,,,,,
Matthew Hibner,TE-Y,Burke,VA,6'5'',230,76,Michigan,,20,107,22,2020,Michigan,,,,,
Dan Villari,QB-PP,Massapequa,NY,6'4'',216,75,Michigan,,45,147,10,2020,Michigan,,,,,
Ed Warinner,ILB,TR,Powell,OH,6'2'',225,,,,,,2020,Michigan,Michigan State University,,,,
Jasper Williams,ILB,,,6'1'',210.0,,,,,,,2021,Michigan,,,,,Suwanee GA
Brett Skene,WR,,,6'1'',190.0,78.0,,,,,,2021,Michigan,,,,,Denver CO
Stephen Shaffer,TE,,,6'3'',235.0,,,,,,,2021,Michigan,,,,,Austin TX
Phillip Ofili,S,,,6'1'',185.0,64.0,,,,,,2021,Michigan,,,,,Cypress TX
Brent McElfresh,WR,,,6'1'',180.0,,,,,,,2021,Michigan,,,,,Stephenville TX
Ronnie Lillard,ILB,,,6'3'',200.0,69.0,,,,,,2021,Michigan,,,,,Lehigh Acres FL
Steve Jones,CB,,,,,,,,,,,2021,Michigan,,,,,Kansas City MO
Chad Gross,K,,,,,,,,,,,2021,Michigan,,,,,Suwanee GA
Irvin George,RB,,,5'11'',190.0,,,,,,,2021,Michigan,,,,,Orlando FL
P.J. Adeji-Paul,S,,,6'0'',180.0,64.0,,,,,,2021,Michigan,,,,,Tulsa OK
Jeff Abt,QB,,,6'2'',190.0,75.0,,,,,,2021,Michigan,,,,,Houston TX
Derrick Moore,DE,Baltimore,MD,6'4'',250,,89.0,,4,,,2022,Michigan,,,2,1,
William Johnson,CB,Grosse Pointe, MI,6'1'',180,,88.0,,4,,,2022,Michigan,,,4,1,
Andrew Gentry,OT,Littleton,CO,6'8'',310,,84.0,,,,,2022,Michigan,,,,,
Keon Sabb,S,Bradenton,FL,6'2'',190,,84.0,,6,,,2022,Michigan,,,,,
Tyler Morris,WR,La Grange Park,IL,6'0'',170,,82.0,,24,,,2022,Michigan,,,,,
Darrius Clemons,WR,Portland,OR,6'3'',195,,82.0,,25,,,2022,Michigan,,,,,
Jimmy Rolder,ILB,Chicago,IL,6'2'',230,,82.0,,8,,,2022,Michigan,,,,,
Alex Orji,ATH,Sachse,TX,6'2'',205,,81.0,,21,,,2022,Michigan,,,,,
Zeke Berry,S,Concord,CA,6'0'',195,,81.0,,,,,2022,Michigan,,,,,
Amorion Walker,WR,Ponchatoula,LA,6'3'',170,,80.0,,44,,,2022,Michigan,,,,,
Kody Jones,ATH,Memphis,TN,6'0'',180,,80.0,,28,,,2022,Michigan,,,,,
Colston Loveland,TE-H,Hagerman,ID,6'4'',230,,79.0,,11,,,2022,Michigan,,,,,
Jayden Denegal,QB-PP,Apple Valley,CA,6'5'',230,,79.0,,21,,,2022,Michigan,,,,,
Damani Dent,CB,Jacksonville,FL,6'0'',185,,79.0,,62,,,2022,Michigan,,,,,
Alessandro Lorenzetti,OT,Windsor,CT,6'6'',275,,78.0,,49,,,2022,Michigan,,,59,1,
Kenneth Grant,DT,Merrillville,IN,6'4'',330,,78.0,,52,,,2022,Michigan,,,64,13,
Marlin Klein,TE-Y,Rabun Gap,GA,6'6'',220,,78.0,,18,,,2022,Michigan,,,,,
Deuce Spurlock,OLB,Madison,AL,6'2'',200,,78.0,,52,,,2022,Michigan,,,334,30,
Myles Pollard,CB,Brentwood,TN,6'1'',180,,78.0,,79,,,2022,Michigan,,,343,25,
C.J. Stokes,RB,Columbia,SC,5'10'',180,,77.0,,60,,,2022,Michigan,,,364,11,
Micah Pollard,OLB,Jacksonville,FL,6'3'',200,,77.0,,,,,2022,Michigan,,,,,
Mason Graham,DT,Anaheim,CA,6'3'',290,,77.0,,77,,,2022,Michigan,,,,,
Connor Jones,OT,Monument,CO,6'7'',285,,76.0,,82,,,2022,Michigan,,,189,5,
Victor Oluwatimi,OC,Hyattsville,MD,6'3'',310,,,,,,,2022,Michigan,,,,,
Karmello English,WR,Phenix City,AL,5'11'',180,85.0,,,14,,,2023,Michigan,Michigan,,39,9,
Cole Cabana,RB,Dexter,MI,5'11'',180,84.0,,,6,,,2023,Michigan,Michigan,,,,
Enow Etta,DE,Colleyville,TX,6'5'',260,84.0,,,15,,,2023,Michigan,Michigan,,,,
Jyaire Hill,CB,Kankakee,IL,6'2'',170,83.0,,,18,,,2023,Michigan,Michigan,,,,
Amir Herring,OG,West Bloomfield,MI,6'3'',280,82.0,,,8,,,2023,Michigan,Michigan,,,,
Semaj Bridgeman,ILB,Philadelphia,PA,6'1'',220,81.0,,,9,,,2023,Michigan,Michigan,,,,
Evan Link,OT,Washington,DC,6'5'',290,80.0,,,31,,,2023,Michigan,Michigan,,,,
Brandyn Hillman,ATH,Portsmouth,VA,6'2'',190,80.0,,,33,,,2023,Michigan,Michigan,,,,
Cameron Brandt,DT,Chatsworth,CA,6'3'',255,80.0,,,25,,,2023,Michigan,Michigan,,65,37,
Deakon Tonielli,TE-Y,Oswego,IL,6'5'',215,79.0,,,13,,,2023,Michigan,Michigan,,,,
Jason Hewlett,OLB,Youngstown,OH,6'3'',210,79.0,,,34,,,2023,Michigan,Michigan,,,,
Nathan Efobi,OG,Cumming,GA,6'4'',280,78.0,,,32,,,2023,Michigan,Michigan,,260,57,
Cameron Calhoun,CB,Cincinnati,OH,6'0'',170,78.0,,,,,,2023,Michigan,Michigan,,,,
Aymeric Koumba,DE,France,EUR,6'4'',225,78.0,,,1,,,2023,Michigan,Michigan,,,,
Zack Marshall,TE-H,Carlsbad,CA,6'4'',215,78.0,,,23,,,2023,Michigan,Michigan,,109,65,
Semaj Morgan,WR,West Bloomfield,MI,5'10'',185,78.0,,,92,,,2023,Michigan,Michigan,,58,12,
Roderick Pierce III,DT,Chicago,IL,6'3'',270,77.0,,,50,,,2023,Michigan,Michigan,,,,
Ben Hall,RB,Kennesaw,GA,5'11'',225,77.0,,,49,,,2023,Michigan,Michigan,,327,73,
Brooks Bahr,DE,Wilmette,IL,6'5'',260,77.0,,,98,,,2023,Michigan,Michigan,,68,14,
Fredrick Moore,WR,Saint Louis,MO,6'0'',175,77.0,,,127,,,2023,Michigan,Michigan,,214,20,
Hayden Moore,OLB,Aurora,CO,6'3'',210,77.0,,,70,,,2023,Michigan,Michigan,,228,9,
Kendrick Bell,QB-DT,Kansas City,MO,6'2'',170,77.0,,,19,,,2023,Michigan,Michigan,,,,
