Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  ,School
Caleb Kelly,OLB,Fresno,CA,6'3'',222,85.0,80.0,Oklahoma,69,9,7,2016,Oklahoma,,,,
Bryce Youngquist,OLB,Rancho Cucamonga,CA,6'1'',213,83.0,,Oklahoma,10,,,2016,Oklahoma,,,,
Austin Kendall,QB-PP,Waxhaw,NC,6'2'',210,82.0,,Oklahoma,7,78,8,2016,Oklahoma,,,,
Mark Jackson,DE,Cibolo,TX,6'3'',226,82.0,,Oklahoma,186,,,2016,Oklahoma,,,,
Mykel Jones,WR,Patterson,LA,6'0'',180,81.0,,Oklahoma,46,129,18,2016,Oklahoma,,,,
Jordan Parker,CB,Pittsburg,CA,5'11'',187,80.0,,Oklahoma,,22,41,2016,Oklahoma,,,,
Chanse Sylvie,S,Shreveport,LA,6'0'',185,80.0,,Oklahoma,18,,,2016,Oklahoma,,,,
Erik Swenson,OT,Downers Grove,IL,6'6'',285,80.0,,Oklahoma,26,29,3,2016,Oklahoma,,,,
Amani Bledsoe,DE,Lawrence,KS,6'5'',265,80.0,,Oklahoma,44,,,2016,Oklahoma,,,,
Ben Powers,OG,Wichita,KS,6'5'',315,80.0,,Oklahoma,2,,,2016,Oklahoma,,,,
Jon-Michael Terry,DE,Tulsa,OK,6'3'',225,80.0,,Oklahoma,51,,,2016,Oklahoma,,,,
Ashton Julious,OT,Florence,SC,6'6'',335,79.0,,Oklahoma,6,,,2016,Oklahoma,,,,
Johncarlo Valentin,OG,Philadelphia,PA,6'4'',346,79.0,,Oklahoma,30,53,10,2016,Oklahoma,,,,
Emmanuel Beal,OLB,Reynoldsburg,OH,6'2'',200,79.0,,Oklahoma,5,,,2016,Oklahoma,,,,
Abdul Adams,RB,Durham,NC,6'0'',201,78.0,,Oklahoma,48,,,2016,Oklahoma,,,,
Kapri Doucet,OLB,Williamsburg,VA,6'3'',225,78.0,,Oklahoma,7,,,2016,Oklahoma,,,,
Adrian Hardy,WR,Houston,TX,6'3'',185,78.0,,Oklahoma,107,,,2016,Oklahoma,,,,
Parnell Motley,ATH,Washington,DC,6'0'',170,78.0,,Oklahoma,54,80,6,2016,Oklahoma,,,,
Logan Roberson,OG,Harrah,OK,6'4'',338,73.0,,Oklahoma,203,72,17,2016,Oklahoma,,,,
Zach Farrar,WR,Southlake,TX,6'4'',208,72.0,,Oklahoma,175,,,2016,Oklahoma,,,,
Kyler Murray,QB-DT,Allen,TX,5'11'',185,,,Oklahoma,,,,2016,Oklahoma,,,,
Geno Lewis,WR,Plymouth,PA,6'1'',205,,,Oklahoma,,,,2016,Oklahoma,,,,
Reggie Grimes,OLB,Brentwood,TN,6'4'',240,5.0,86.0,Oklahoma,3,,,2020,Oklahoma,15,1,,
Andrew Raym,OT,Broken Arrow,OK,6'4'',309,4.0,84.0,Oklahoma,7,,,2020,Oklahoma,,,,
Nathan Anderson,OT,Frisco,TX,6'5'',260,4.0,84.0,Oklahoma,9,,,2020,Oklahoma,,,,
Michael Henderson,ATH,Irving,TX,6'2'',230,4.0,84.0,Oklahoma,10,,,2020,Oklahoma,,,,
Seth McGowan,RB,Mesquite,TX,5'11'',201,3.0,83.0,Oklahoma,16,,,2020,Oklahoma,,,,
Anton Harrison,OT,Washington,DC,6'5'',310,3.0,83.0,Oklahoma,20,,,2020,Oklahoma,,,,
Marvin Mims Jr.,WR,Frisco,TX,5'11'',165,3.0,83.0,Oklahoma,24,,,2020,Oklahoma,,,,
Perrion Winfrey,DT,Roselle,IL,6'4'',305,3.0,83.0,Oklahoma,1,,,2020,Oklahoma, None, None,,
Bryson Washington,S,Houston,TX,6'2'',190,3.0,83.0,Oklahoma,8,,,2020,Oklahoma,,,,
Chandler Morris,QB-DT,Highland Park,TX,5'11'',180,3.0,82.0,Oklahoma,7,,,2020,Oklahoma,,,,
Justin Harrington,CB,Raleigh,NC,6'3'',215,3.0,81.0,Oklahoma,4,,,2020,Oklahoma, NR, NR,,
Josh Ellison,DT,College Station,TX,6'3'',300,3.0,80.0,Oklahoma,2,,,2020,Oklahoma, None,12,,
Joshua Eaton,CB,Houston,TX,6'2'',175,3.0,80.0,Oklahoma,25,,,2020,Oklahoma,,,,
Jalin Conyers,TE-H,Gruver,TX,6'4'',220,3.0,80.0,Oklahoma,2,,,2020,Oklahoma,67,54,,
Kendall Dennis,CB,Lakeland,FL,6'0'',170,3.0,80.0,Oklahoma,28,,,2020,Oklahoma,176,64,,
Aaryn Parks,OT,Fort Washington,MD,6'4'',315,3.0,80.0,Oklahoma,39,,,2020,Oklahoma,55,14,,
Davon Graham II,WR,Fort Worth,TX,6'0'',171,3.0,80.0,Oklahoma,66,,,2020,Oklahoma,78,62,,
Shane Whitter,OLB,Burlington,NC,6'0'',220,3.0,79.0,Oklahoma,37,,,2020,Oklahoma,,,,
Brynden Walker,OLB,Oklahoma City,OK,6'3'',230,3.0,79.0,Oklahoma,40,,,2020,Oklahoma,,,,
Trevon West,WR,Arlington,TX,6'0'',165,3.0,78.0,Oklahoma,84,,,2020,Oklahoma,96,74,,
Noah Nelson,OT,Gilbert,AZ,6'6'',280,3.0,78.0,Oklahoma,78,,,2020,Oklahoma,83,14,,
Noah Arinze,DE,Saint Louis,MO,6'5'',240,3.0,78.0,Oklahoma,51,,,2020,Oklahoma,103,8,,
Brian Darby,WR,College Station,TX,6'0'',192,2.0,74.0,Oklahoma,202,,,2020,Oklahoma,238,174,,
Theo Howard,WR,Westlake Village,CA,6'0'',180,,,Oklahoma,,,,2020,Oklahoma, None, None,,
Obi Obialo,WR,Coppell,TX,6'2'',210,,,Oklahoma,,,,2020,Oklahoma, None, None,,
Caleb Williams,QB,Washington,DC,6'2'',210,,89.0,Oklahoma,1,,,2021,Oklahoma,3,1,,
Mario Williams Jr.,WR,Plant City,FL,5'10'',165,,89.0,Oklahoma,1,,,2021,Oklahoma,7,5,,
Savion Byrd,OT,Duncanville,TX,6'5'',265,,87.0,Oklahoma,5,,,2021,Oklahoma,4,4,,
Billy Bowman Jr.,WR,Denton,TX,5'10'',175,,85.0,Oklahoma,12,,,2021,Oklahoma,15,14,,
Clayton Smith,OLB,Texarkana,TX,6'4'',215,,85.0,Oklahoma,9,,,2021,Oklahoma,,,,
Jalil Farooq,WR,Upper Marlboro,MD,6'1'',190,,84.0,Oklahoma,18,,,2021,Oklahoma,,,,
Cody Jackson,WR,Richmond,TX,6'0'',175,,84.0,Oklahoma,21,,,2021,Oklahoma,25,23,,
Ethan Downs,ATH,Weatherford,OK,6'4'',240,,83.0,Oklahoma,13,,,2021,Oklahoma,,,,
Kelvin Gilliam,DE,Highland Springs,VA,6'3'',255,,83.0,Oklahoma,17,,,2021,Oklahoma,20,4,,
Latrell McCutchin,CB,Austin,TX,6'1'',175,,80.0,Oklahoma,18,,,2021,Oklahoma,58,49,,
Cullen Montgomery,OT,Bellaire,TX,6'5'',290,,79.0,Oklahoma,36,,,2021,Oklahoma,,,,
Jordan Mukes,CB,Choctaw,OK,6'4'',190,,79.0,Oklahoma,31,,,2021,Oklahoma,103,8,,
Damond Harmon,CB,Highland Springs,VA,6'1'',180,,78.0,Oklahoma,35,,,2021,Oklahoma,,,,
Nathan Rawlins-Kibonge,DE,Portland,OR,6'7'',240,,78.0,Oklahoma,,,,2021,Oklahoma,,,,
Danny Stutsman,ATH,Winter Garden,FL,6'2'',215,,78.0,Oklahoma,48,,,2021,Oklahoma,,,,
Isaiah Coe,DT,Flossmoor,IL,6'2'',300,,78.0,Oklahoma,4,,,2021,Oklahoma, NR, NR,,
Eric Gray,RB,Memphis,TN,5'10'',205,,,Oklahoma,,,,2021,Oklahoma,,,,
Key Lawrence,S,Nashville,TN,6'1'',200,,,Oklahoma,,,,2021,Oklahoma,,,,
