Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Turner Baty,QB,New Canaan,CT,6'2'',210,,Kansas,,, None, None,2012,Kansas,,,
Nasir Moore,S,,,6'1'',185,,Kansas,,, None, None,2012,Kansas,,,
Jon Shelby,OLB,Brockton,MA,6'2'',205,,Kansas,,,,,2012,Kansas,,,
Kyron Watson,OLB,East St. Louis,IL,6'1'',210,83,University of Kansas,,9,13,5,2014,Kansas,,,
Jacob Bragg,OC,Nacogdoches,TX,6'4'',314,82,University of Kansas,,3,,,2014,Kansas,,,
Traevohn Wrench,RB,Gardner,KS,6'1'',190,81,University of Kansas,,34,64,3,2014,Kansas,,,
Corey Avery,RB,Dallas,TX,5'10'',187,81,University of Kansas,,35,,,2014,Kansas,,,
D.J. Williams,DT,Lufkin,TX,6'3'',270,78,University of Kansas,,58,129,96,2014,Kansas,,,
Darious Crawley,ATH,Houston,TX,5'11'',191,78,University of Kansas,,, None, None,2014,Kansas,,,
Joe Dineen,ATH,Lawrence,KS,6'2'',190,77,University of Kansas,,6,154,7,2014,Kansas,,,
Bobby Hartzog,WR,Houston,TX,5'11'',182,77,University of Kansas,,105,156,114,2014,Kansas,,,
De'Andre Mann,RB,Salinas,CA,5'11'',205,76,University of Kansas,,11,,,2014,Kansas,,,
Kapil Fletcher,DE,Fort Lauderdale,FL,6'3'',250,76,University of Kansas,,138,,,2014,Kansas,,,
Daniel Wise,DT,Carrollton,TX,6'2'',277,76,University of Kansas,,13, NR, NR,2014,Kansas,,,
Anthony Olobia,DE,Yuma,AZ,6'5'',230,76,University of Kansas,,, None, None,2014,Kansas,,,
Josh Ehambe,OLB,Dallas,TX,6'3'',226,75,University of Kansas,,6, NR, NR,2014,Kansas,,,
Damani Mosby,DE,Mesa,AZ,6'3'',235,74,University of Kansas,,63,,,2014,Kansas,,,
Apa Visinia,OG,Hillsboro,MO,6'3'',396,74,University of Kansas,,8,,,2014,Kansas,,,
Keyon Haughton,OG,Baltimore,MD,6'2'',305,74,University of Kansas,,178,275,206,2014,Kansas,,,
Derrick Neal,WR,Dallas,TX,5'10'',155,74,University of Kansas,,20, None, None,2014,Kansas,,,
Anthony Smithson,CB,Salt Lake City,UT,5'11'',190,74,University of Kansas,,147,316,237,2014,Kansas,,,
Tyler Patrick,ATH,The Woodlands,TX,5'11'',171,73,University of Kansas,,24, None, None,2014,Kansas,,,
Ronnie Davis,CB,Midwest City,OK,6'1'',170,72,University of Kansas,,99,,,2014,Kansas,,,
Matthew Boateng,CB,Bradenton,FL,5'11'',180,72,University of Kansas,,13,,,2014,Kansas,,,
Lay'Trion Jones,DT,Garland,TX,6'2'',278,70,University of Kansas,,, None, None,2014,Kansas,,,
Devon Williams,OG,Milledgeville,GA,6'5'',330,70,University of Kansas,,,,,2014,Kansas,,,
T.J. Millweard,QB,PP,Fort Worth,TX,6'3'',210,TR,University of Kansas,,,,2014,Kansas,,,
Kent Taylor,TE,Y,Gainesville,FL,6'5'',238,TR,University of Kansas,,,,2014,Kansas,,,
Michael Mathis,ATH,Kilgore,TX,6'2'',210,,79.0,,3, NR, NR,2015,Kansas,,,Kansas
Dorance Armstrong,DE,Houston,TX,6'4'',220,,78.0,,50,,,2015,Kansas,,,Kansas
Brandon Stewart,CB,Athens,TX,5'11'',175,,78.0,,9,,,2015,Kansas,,,Kansas
Jeremiah Booker,WR,College Station,TX,6'3'',185,,78.0,,101,129,107,2015,Kansas,,,Kansas
Aaron Garza,OG,Sherman,TX,6'2'',314,,78.0,,49,,,2015,Kansas,,,Kansas
Emmanuel Moore,WR,Justin,TX,5'11'',190,,76.0,,127,164,135,2015,Kansas,,,Kansas
Jacky Dezir,DT,Glen Ellyn,IL,6'3'',300,,76.0,,12, NR, NR,2015,Kansas,,,Kansas
Steven Sims,WR,Richmond,TX,5'10'',160,,76.0,,132,,,2015,Kansas,,,Kansas
Will Smith,OG,El Dorado,KS,6'3'',305,,76.0,,3, NR, NR,2015,Kansas,,,Kansas
Jace Sternberger,TE-H,Kingfisher,OK,6'4'',212,,76.0,,15,184,10,2015,Kansas,,,Kansas
Ke'aun Kinner,RB,Little Elm,TX,5'9'',190,,76.0,,189,71,154,2015,Kansas,,,Kansas
Shaquille Richmond,CB,Arlington,TX,6'0'',179,,76.0,,14,,,2015,Kansas,,,Kansas
L.B. Bates,CB,Allen,TX,6'0'',180,,75.0,,124,,,2015,Kansas,,,Kansas
Clyde McCauley,OT,Arlington,TX,6'4'',275,,75.0,,120,,,2015,Kansas,,,Kansas
Taylor Martin,RB,Fort Worth,TX,5'9'',179,,74.0,,239,,,2015,Kansas,,,Kansas
Ryan Willis,QB-PP,Shawnee Mission,KS,6'5'',195,,74.0,,15,,,2015,Kansas,,,Kansas
Raeshawn Lee,WR,Fremont,CA,6'0'',185,,73.0,,, None,,2015,Kansas,,,Kansas
Chase Harrell,WR,Huffman,TX,6'4'',195,,73.0,,123,325,255,2015,Kansas,,,Kansas
Shola Ayinde,CB,Houston,TX,5'11'',161,,71.0,,5, None, None,2015,Kansas,,,Kansas
Jayson Rhodes,OG,Brenham,TX,6'3'',310,,71.0,,21,,,2015,Kansas,,,Kansas
D'Andre Banks,OG,Athens,TX,6'3'',320,,70.0,,,,,2015,Kansas,,,Kansas
Jarek Smalley,OT,Garden City,KS,6'5'',315,,70.0,,, NR, NR,2015,Kansas,,,Kansas
Osaze Ogbebor,OLB,Frisco,TX,6'0'',194,,,,NR,NR,NR,2015,Kansas,,,Kansas
Carter Stanley,QB-DT,Vero Beach,FL,6'2'',190,,,,NR, NR, NR,2015,Kansas,,,Kansas
Tyrone Miller,CB,Saline,MI,6'1'',171,,,,, None, None,2015,Kansas,,,Kansas
Cameron Durley,OT,Houston,TX,6'6'',275,,,,NR,,,2015,Kansas,,,Kansas
Denzel Feaster,ATH,Manor,TX,6'2'',180,,,,, None, None,2015,Kansas,,,Kansas
Marnez Ogletree,CB,Norcross,GA,5'10'',190,,,,,,,2015,Kansas,,,Kansas
Harneet Gill,DE,Saint Charles,MO,6'6'',260,,,,,,,2015,Kansas,,,Kansas
Octavius Matthews,RB,Stevenson,AL,6'1'',200,,82,University of Kansas,1, NR,14,2017,Kansas,,,
Peyton Bender,QB-PP,Fort Lauderdale,FL,6'0'',185,,79,University of Kansas,3.0,,,2017,Kansas,,,
Quan Hampton,WR,Texarkana,TX,5'8'',165,,79,University of Kansas,75,80,66,2017,Kansas,,,
J.J. Holmes,DT,Chipley,FL,6'2'',310,,79,University of Kansas,15,,,2017,Kansas,,,
Shakial Taylor,CB,Scottsdale,AZ,6'0'',185,,79,University of Kansas,11, NR, NR,2017,Kansas,,,
Takulve Williams,WR,New Orleans,LA,5'11'',190,,77,University of Kansas,144,,,2017,Kansas,,,
Travis Jordan,WR,Marrero,LA,6'2'',185,,77,University of Kansas,149,387,36,2017,Kansas,,,
Dominic Williams,RB,Frisco,TX,5'8'',185,,77,University of Kansas,62,,,2017,Kansas,,,
Hasan Defense,S,Kilgore,TX,6'0'',180,,76,University of Kansas,8, None, None,2017,Kansas,,,
Kenyon Tabor,WR,Derby,KS,6'3'',202,,76,University of Kansas,168,168,8,2017,Kansas,,,
Kerr Johnson,WR,Santa Rosa,CA,5'11'',180,,76,University of Kansas,13,,,2017,Kansas,,,
Antonio Cole,CB,Highland,KS,6'1'',190,,75,University of Kansas,15, NR, NR,2017,Kansas,,,
KeyShaun Simmons,DE,Ridgeland,MS,6'2'',260,,75,University of Kansas,23,,,2017,Kansas,,,
Liam Jones,K,Choctaw,OK,5'10'',165,,75,University of Kansas,22,,,2017,Kansas,,,
Willie McCaleb,DE,Grenada,MS,6'2'',255,,74,University of Kansas,24, None, None,2017,Kansas,,,
Joseph Gilbertson,OG,Shawnee Mission,KS,6'3'',284,,74,University of Kansas,, None, None,2017,Kansas,,,
Kyron Johnson,OLB,Arlington,TX,6'1'',190,,72,University of Kansas,102,252,193,2017,Kansas,,,
Robert Topps,CB,Chicago,IL,6'1'',180,,71,University of Kansas,132,,,2017,Kansas,,,
Jay Dineen,ILB,Lawrence,KS,6'1'',225,,70,University of Kansas,56,,,2017,Kansas,,,
Earl Bostick,OT,Barnwell,SC,6'5'',270,,69,University of Kansas,126,726,25,2017,Kansas,,,
Cooper Root,ILB,Wichita,KS,6'3'',215,,67,University of Kansas,65,,,2017,Kansas,,,
Corione Harris,CB,New Orleans,LA,6'0'',165,,80,Kansas,37,,,2018,Kansas,159,11,
Anthony Williams,RB,Boutte,LA,5'9'',166,,80,Kansas,26,,,2018,Kansas,,,
Miles Emery,DE,Overland Park,KS,6'3'',231,,79,Kansas,46,,,2018,Kansas,101,2,
Torry Locklin,QB, Rockdale,TX,6'2'',195,,79,Kansas,16,,,2018,Kansas,106,84,
Najee Stevens-McKenzie,DE,Bedford,OH,6'4'',215,,78,Kansas,6,,,2018,Kansas,,,
Stephon Robinson,WR,Torrance,CA,5'10'',170,,78,Kansas,10,,,2018,Kansas,,,
Azur Kamara,DE,Phoenix,AZ,6'5'',230,,78,Kansas,8,,,2018,Kansas,,,
Elijah Jones,CB,Fort Myers,FL,6'2'',185,,77,Kansas,11,,,2018,Kansas,,,
Jacobi Lott,OG,Amarillo,TX,6'4'',310,,76,Kansas,58,,,2018,Kansas,186,151,
Elmore Hempstead,CB,Smackover,AR,5'11'',190,,76,Kansas,13,,,2018,Kansas, NR, NR,
Davon Ferguson,S,Laurel,MD,5'11'',190,,75,Kansas,7,,,2018,Kansas,,,
Kenny Bastida,ILB,Deerfield Beach,FL,6'1'',220,,75,Kansas,35,,,2018,Kansas,,,
Nick Williams,OT,Saint Louis,MO,6'7'',270,,74,Kansas,108,,,2018,Kansas,229,15,
Jeremiah McCullough,S,Salinas,CA,6'0'',200,,74,Kansas,10,,,2018,Kansas,,,
Mac Copeland,OT,Wichita,KS,6'5'',250,,74,Kansas,118,,,2018,Kansas,,,
Foster Dixson,DE,Los Angeles,CA,6'4'',250,,72,Kansas,16,,,2018,Kansas,,,
Charles Cole,DT,El Dorado,KS,6'2'',280,,70,Kansas,24,,,2018,Kansas,,,
Ryan Malbrough,OLB,Cecilia,LA,6'0'',200,,NR,Kansas,,,,2018,Kansas,,,
Reuben Lewis,OG,Apoka,FL,6'3'',310,,NR,Kansas,,,,2018,Kansas,,,
Miles Kendrick,QB,San Mateo,CA,5'10'',200,,NR,Kansas,,,,2018,Kansas,,,
Jelani Brown,DT,San Mateo,CA,6'2'',285,,NR,Kansas,,,,2018,Kansas,,,
Mavin Saunders,TE,Tallahassee,FL,6'5'',256,,TR,Kansas,,,,2018,Kansas,,,
