Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank
Zavion Coleman,DT,Picayune,MS,6'2'',270,,NR,,,,,2023,Louisiana-Lafayette,Picayune Memorial High School,,
Kody Jackson,S,Shreveport,LA,6'1'',185,,NR,,,,,2023,Louisiana-Lafayette,Evangel Christian Academy, None, None
Micah Johnson,ILB,Baton Rouge,LA,6'1'',225,,NR,,,,,2023,Louisiana-Lafayette,Parkview Baptist High School, None, None
KeDarius Wade,WR,Jackson,MS,6'3'',195,,NR,,,,,2023,Louisiana-Lafayette,Callaway High School,,
Emiliano Soldevilla,OLB,Houston,TX,6'2'',220,,NR,,,,,2023,Louisiana-Lafayette,Cypress Ridge High School,,
Kadarius Miller,DT,Wesson,MS,6'2'',275,,NR,,,,,2023,Louisiana-Lafayette,Copiah-Lincoln Community College,,
Rahji Dennis,WR,New Orleans,LA,5'11'',170,78.0,Louisiana,,98,,,2024,Louisiana-Lafayette,,351,22
Vosky Howard,ATH,Timpson,TX,5'11'',175,77.0,Louisiana,,,,,2024,Louisiana-Lafayette,, None, None
Samari Collier,QB-DT,DeSoto,TX,6'3'',220,75.0,Louisiana,,2.0,,,2024,Louisiana-Lafayette,,,
Daniel Beale,QB-PP,Baton Rouge,LA,6'2'',190,75.0,Louisiana,,57,,,2024,Louisiana-Lafayette,,,
Devron Williams,OG,Aledo,TX,6'3'',290,74.0,Louisiana,,111,,,2024,Louisiana-Lafayette,,332,254
Priest Ashe,DE,Crowley,TX,6'2'',250,74.0,Louisiana,,,,,2024,Louisiana-Lafayette,, None, None
Avery Demery,CB,Manvel,TX,6'0'',170,72.0,Louisiana,,194,,,2024,Louisiana-Lafayette,,388,299
Ryder Bentley,,Monroe,LA,6'5'',275,,Louisiana,,,,,2024,Louisiana-Lafayette,, None, None
Steven Blanco,RB,Saint Martinville,LA,5'8'',190,,Louisiana,,,,,2024,Louisiana-Lafayette,, None, None
Conor McPherson,OLB,Montgomery,AL,6'2'',215,,Louisiana,,NR,,,2024,Louisiana-Lafayette,,,
Ashton Wright,DT,Mobile,AL,6'3'',280,,Louisiana,,,,,2024,Louisiana-Lafayette,, None, None
Ethan Veal,ILB,Zachary,LA,6'0'',210,,Louisiana,,,,,2024,Louisiana-Lafayette,,,
Hutch Swilley,RB,Lafayette,LA,5'10'',195,,Louisiana,,,,,2024,Louisiana-Lafayette,, None, None
Ja'Corian Norris,S,Tioga,LA,6'0'',185,,Louisiana,,,,,2024,Louisiana-Lafayette,, None, None
J'Marion Gooch,OT (JC),Gallatin,TN,6'7'',310,,Louisiana,,,,,2024,Louisiana-Lafayette,,,
Javon Campbell,WR (JC),Dodge City,KS,6'2'',205,,Louisiana,,,,,2024,Louisiana-Lafayette,,,
