Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,University 
Connor McLaughlin,OT,Tampa,FL,6'6'',250.0,Stanford  ,,29,141,49,2020,Stanford,80.0,,,
Levi Rogers,OG,Woodinville,WA,6'5'',270.0,Stanford  ,,17,48,6,2020,Stanford,80.0,,,
James Pogorelc,OT,Chantilly,VA,6'7'',270.0,Stanford  ,,40,,,2020,Stanford,80.0,,,
Lukas Ungar,TE,Morristown,NJ,6'3'',204.0,Stanford  ,,6,62,11,2020,Stanford,79.0,,,
Tobin Phillips,DT,Fresno,CA,6'4'',290.0,Stanford  ,,31,,,2020,Stanford,79.0,,,
Brandon Jones,CB,Harbor City,CA,5'10'',176.0,Stanford  ,,34,,,2020,Stanford,79.0,,,
Omari Porter,CB,Auburn,AL,6'2'',180.0,Stanford  ,,35,,,2020,Stanford,79.0,,,
Drake Metcalf,OG,Bellflower,CA,6'3'',275.0,Stanford  ,,32,,,2020,Stanford,78.0,,,
Alaka'i Gilman,S,Honolulu,HI,5'11'',185.0,Stanford  ,,1,277,20,2020,Stanford,78.0,,,
Joshua Karty,K,Elon,NC,6'1'',175.0,Stanford  ,,12,,,2020,Stanford,78.0,,,
Ben Yurosek,TE,Bakersfield,CA,6'4'',199.0,Stanford  ,,149,,,2020,Stanford,77.0,,,
Casey Filkins,WR,Lake Oswego,OR,5'11'',180.0,Stanford  ,,173,163,4,2020,Stanford,76.0,,,
Silas Starr,WR,Portland,OR,6'2'',192.0,Stanford  ,,137,200,114,2020,Stanford,75.0,,,
Lance Keneley,DE,Mission Viejo,CA,6'4'',240.0,Stanford  ,,157,286,16,2020,Stanford,74.0,,,
Scotty Edwards,ATH,Salt Lake City,UT,6'1'',185.0,Stanford  ,,154,299,166,2020,Stanford,72.0,,,
Logan Berzins,OG,San Diego,CA,6'4'',275.0,Stanford  ,,168,,,2020,Stanford,72.0,,,
Kierston Lee,LB,Marietta,GA,6'1'',220.0,Stanford  ,,8,,,2020,Stanford,71.0,,,
Bailey Parsons,LS,Gardendale,AL,6'2'',215.0,Stanford  ,,,,,2020,Stanford,66.0,,,
Max Kalny,OG,Lenexa,KS,6'5'',285.0,Stanford  ,,, NR, NR,2020,Stanford,,,,
Zephron Lester,DT,Middle Village, NY,5'11'',280.0,Stanford  ,,,,,2020,Stanford,,,,
Wilfredo Aybar,DE,Cheshire,CT,6'4'',230.0,83,Stanford,,,,2021,Stanford,3,,,
Ari Patu,QB-DT,Folsom,CA,6'4'',185.0,82,Stanford,6,,,2021,Stanford,2,,,
Aaron Armitage,DE,Blairstown,NJ,6'4'',245.0,82,Stanford,28,,,2021,Stanford,2,35,3,
Austin Uke,OT,Dallas,TX,6'4'',265.0,79,Stanford,34,,,2021,Stanford,2,,,
Jack Leyrer,OT,Dallas,TX,6'6'',275.0,79,Stanford,37,,,2021,Stanford,2,,,
Mitch Leigber,S,Laguna Hills,CA,6'1'',195.0,78,Stanford,39,,,2021,Stanford,2,,,
Shield Taylor,TE-Y,Alexandria,LA,6'4'',235.0,78,Stanford,18,,,2021,Stanford,2,,,
Caleb Ellis,S,Frisco,TX,6'0'',180.0,77,Stanford,150,,,2021,Stanford,2,,,
Jimmy Wyrick,CB,Dallas,TX,6'9'',155.0,76,Stanford,,,,2021,Stanford,2,,,
Ese Dubre,ILB,Powder Springs,GA,6'2'',220.0,76,Stanford,28,,,2021,Stanford,2,364,80,
Jaden Slocum,S,Alpharetta,GA,6'2'',180.0,76,Stanford,71,,,2021,Stanford,2,,,
Brendon Barrow,RB,Clearwater,FL,5'8'',175.0,75,Stanford,87,,,2021,Stanford,2,,,
Connor Weselman,K,Atlanta,GA,6'4'',190.0,75,Stanford,8,,,2021,Stanford,2,524,114,
Jayson Raines,WR,West Orange,NJ,6'3'',195.0,74,Stanford,196,,,2021,Stanford,1,,,
Zach Buckey,DE,Bakersfield,CA,6'4'',250.0,74,Stanford,137,,,2021,Stanford,1,177,107,
Coco Lukrich,OG,Park City,UT,6'4'',265.0,74,Stanford,,,,2021,Stanford,1,,,
Anthony Franklin,DE,Phoenix,AZ,6'4'',240.0,73,Stanford,177,,,2021,Stanford,1,,,
Will Gibson,OG,Dallas,TX,6'4'',280.0,Stanford,,,,,2021,Stanford,NR,,,
Ernest Cooper IV,DE,Arlington,TX,6'4'',230.0,,Stanford,6,8,8,2022,Stanford,87,,,
David Bailey,OLB,Santa Ana,CA,6'4'',220.0,,Stanford,11,13,7,2022,Stanford,83,,,
Arlen Harris Jr.,RB,Saint Charles,MO,5'11'',190.0,,Stanford,20,,,2022,Stanford,81,,,
Tevarua Tafiti,OLB,Honolulu,HI,6'2'',210.0,,Stanford,23,34,1,2022,Stanford,81,,,
Fisher Anderson,OT,Franklin,TN,6'7'',270.0,,Stanford,24,,,2022,Stanford,81,,,
Sam Roush,TE-Y,Nashville,TN,6'5'',225.0,,Stanford,6,116,8,2022,Stanford,81,,,
C.J. Hawkins,TE-Y,Tampa,FL,6'6'',220.0,,Stanford,11,162,50,2022,Stanford,80,,,
Jaxson Moi,DT,San Diego,CA,6'2'',255.0,,Stanford,34,,,2022,Stanford,80,,,
Collin Wright,S,Manvel,TX,6'0'',185.0,,Stanford,30,95,71,2022,Stanford,80,,,
Jake Maikkula,OT,Highlands Ranch,CO,6'5'',265.0,,Stanford,41,98,3,2022,Stanford,79,,,
Terian Williams,ATH,Alpharetta,GA,5'11'',175.0,,Stanford,45,231,54,2022,Stanford,79,,,
Joshua Thompson,CB,Washington,DC,6'2'',185.0,,Stanford,58,,,2022,Stanford,79,,,
