Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,University  , State_rank 
Justin Walters,S,Bolingbrook,IL,6'2'',170,77,Notre Dame,,66,,,2021,Notre Dame,,,,,
Devin Aupiu,OLB,Oxnard,CA,6'4'',200,77,Notre Dame,,,,,2021,Notre Dame,, None,,,
Chance Tucker,CB,Encino,CA,6'1'',175,77,Notre Dame,,98,,,2021,Notre Dame,,,,,
Pat Coogan,OT,Chicago,IL,6'5'',275,76,Notre Dame,,6,,,2021,Notre Dame,,152,,,
Josh Bryan,K,Chatsworth,CA,6'0'',190,75,Notre Dame,,98,,,2021,Notre Dame,,153,,,
Will Schweitzer,OLB,Los Gatos,CA,6'4'',205,75,Notre Dame,,87,,,2021,Notre Dame,,,,,
Ron Powlus III,QB-PP,Mishawaka,IN,6'3'',225,71,Notre Dame,,,,,2021,Notre Dame,,,,,
Jack Coan,QB-PP,West Sayville,NY,6'3'',200,TR,Notre Dame,,,,,2021,Notre Dame,,,,,
Jaylen Sneed,OLB,Hilton Head,SC,6'2'',210,86.0,,Notre Dame,48,24,2,2022,Notre Dame,,,,,
Niuafe Tuihalamaka,ILB,Mission Hills,CA,6'2'',240,84.0,,Notre Dame,4,10,5,2022,Notre Dame,,,,,
Aamil Wagner,OT,Huber Heights,OH,6'6'',250,83.0,,Notre Dame,15,,,2022,Notre Dame,,,,,
Joey Tanona,OC,Zionsville,IN,6'5'',280,83.0,,Notre Dame,1,15,4,2022,Notre Dame,,,,,
Tyson Ford,DE,Saint Louis,MO,6'5'',245,83.0,,Notre Dame,16,,,2022,Notre Dame,,,,,
Joshua Burnham,OLB,Traverse City,MI,6'3'',195,83.0,,Notre Dame,17,,,2022,Notre Dame,,,,,
Steven Angeli,QB-PPO,Oradell,NJ,6'3'',215,82.0,,Notre Dame,8,,,2022,Notre Dame,,,,,
Tobias Merriweather,WR,Camas,WA,6'4'',175,82.0,,Notre Dame,26,,,2022,Notre Dame,,,,,
Jadarian Price,RB,Denison,TX,5'10'',175,82.0,,Notre Dame,,,,2022,Notre Dame,,,,,
Billy Schrauth,OG,Fond Du Lac,WI,6'5'',265,81.0,,Notre Dame,6,,,2022,Notre Dame,,,,,
Jaden Mickey,CB,Corona,CA,5'11'',165,81.0,,Notre Dame,33,40,20,2022,Notre Dame,,,,,
Holden Staes,TE-H,Atlanta,GA,6'4'',220,81.0,,Notre Dame,278,112,27,2022,Notre Dame,,,,,
Ty Chan,OT,Groton,MA,6'5'',265,80.0,,Notre Dame,26,30,1,2022,Notre Dame,,,,,
Aiden Gobaira,DE,Chantilly,VA,6'5'',225,80.0,,Notre Dame,28,33,11,2022,Notre Dame,,,,,
Eli Raridon,TE-Y,West Des Moines,IA,6'6'',230,80.0,,Notre Dame,12,,,2022,Notre Dame,,,,,
Nolan Ziegler,OLB,Grand Rapids,MI,6'3'',205,80.0,,Notre Dame,33,,,2022,Notre Dame,,,,,
Benjamin Morrison,CB,Phoenix,AZ,6'0'',175,80.0,,Notre Dame,43,61,5,2022,Notre Dame,,,,,
Donovan Hinish,DT,Pittsburgh,PA,6'2'',265,79.0,,Notre Dame,42,,,2022,Notre Dame,,,,,
Jayden Bellamy,CB,Oradell,NJ,6'1'',175,79.0,,Notre Dame,60,56,8,2022,Notre Dame,,,,,
Ashton Craig,OT,Lawrenceburg,IN,6'5'',260,79.0,,Notre Dame,47,,,2022,Notre Dame,,,,,
Bryce McFerson,K,Indian Trail,NC,6'0'',175,75.0,,Notre Dame,5,,,2022,Notre Dame,,,,,
Brandon Joseph,S,College Station,TX,6'1'',195,,,Notre Dame,,,,2022,Notre Dame,,,,,
Blake Grupe,K,Sedalia,MO,5'9'',170,,,Notre Dame,,,,2022,Notre Dame,,,,,
Jaiden Ausberry,OLB,Baton Rouge,LA,6'1'',210,86.0,,,5,30,5,2023,Notre Dame,,,,,
Braylon James,WR,Round Rock,TX,6'2'',175,86.0,,,9,,,2023,Notre Dame,,,,,
Charles Jagusah,OT,Rock Island,IL,6'6'',305,86.0,,,7,,,2023,Notre Dame,,,,,
Drayk Bowen,OLB,Merrillville,IN,6'2'',215,85.0,,,78th,,,2023,Notre Dame,,,,,
Jeremiyah Love,RB,Saint Louis,MO,6'1'',195,84.0,,,5,,,2023,Notre Dame,,,,,
Micah Bell,ATH,Houston,TX,5'11'',170,84.0,,,5,26,18,2023,Notre Dame,,,,,
Jaden Greathouse,TE,Austin,TX,6'2'',220,84.0,,,4,29,21,2023,Notre Dame,,,,,
Christian Gray,CB,Saint Louis,MO,6'0'',175,83.0,,,15,,,2023,Notre Dame,,,,,
Devan Houstan,DT,Saint James,MD,6'4'',275,82.0,,,13,,,2023,Notre Dame,,,,,
Kenny Minchey,QB-DT,Hendersonville,TN,6'2'',205,82.0,,,5,93,4,2023,Notre Dame,,,,,
Boubacar Traore,DE,West Roxbury,MA,6'4'',255,82.0,,,32,,,2023,Notre Dame,,,,,
Rico Flores,ATH,Folsom,CA,6'1'',190,82.0,,,16,,,2023,Notre Dame,,,,,
Adon Shuler,S,Irvington,NJ,6'0'',190,81.0,,,,,,2023,Notre Dame,,,,,
Brenan Vernon,DE,Mentor,OH,6'5'',240,81.0,,,,,,2023,Notre Dame,,,,,
Cooper Flanagan,TE-Y,Concord,CA,6'6'',255,81.0,,,7,38,23,2023,Notre Dame,,,,,
Preston Zinter,TE-H,Lawrence,MA,6'3'',220,80.0,,,11,32,5,2023,Notre Dame,,,,,
Sullivan Absher,OT,Belmont,NC,6'6'',280,80.0,,,26,,,2023,Notre Dame,,,,,
Ben Minich,S,West Chester,OH,6'0'',185,80.0,,,25,25,9,2023,Notre Dame,,,,,
Sam Pendleton,OT,Pfafftown,NC,6'4'',305,79.0,,,44,,,2023,Notre Dame,,,,,
