Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University 
Ronald Thompkins,RB,Loganville,GA,5'11'',185,5,80,Nebraska,23,163,39,2019,Nebraska,,,
Ty Robinson,DE,Gilbert,AZ,6'4'',250,5,80,Nebraska,37,,,2019,Nebraska,,,
Demariyon Houston,WR,Oklahoma City,OK,5'11'',170,5,80,Nebraska,53,61,4,2019,Nebraska,,,
Chris Hickman,TE-H,Omaha,NE,6'5'',195,5,80,Nebraska,6,66,2,2019,Nebraska,,,
Rahmir Johnson,RB,Oradell,NJ,5'10'',173,5,80,Nebraska,27,,,2019,Nebraska,,,
Desmond Bland,OG,Flossmoor,IL,6'3'',290,5,79,Nebraska,2,,,2019,Nebraska,,,
Jackson Hannah,OLB,Nashville,TN,6'3'',220,4,78,Nebraska,45,,,2019,Nebraska,,,
Jamin Graham,DE,Attalla,AL,6'5'',225,4,78,Nebraska,85,,,2019,Nebraska,,,
Dedrick Mills,RB,Waycross,GA,5'11'',210,4,78,Nebraska,2,,,2019,Nebraska,,,
Javin Wright,CB,Chandler,AZ,6'3'',193,4,78,Nebraska,53,104,12,2019,Nebraska,,,
Darien Chase,WR,Vancouver,WA,6'1'',185,4,77,Nebraska,113,,,2019,Nebraska,,,
Michael Lynn,OT,Englewood,CO,6'6'',291,4,77,Nebraska,6,,,2019,Nebraska,,,
Mosai Newsom,DT,Waverly,IA,6'4'',255,4,77,Nebraska,62,91,5,2019,Nebraska,,,
Jamie Nance,ATH,Blanchard,OK,5'11'',160,4,77,Nebraska,82,,,2019,Nebraska,,,
Myles Farmer,ATH,Atlanta,GA,6'3'',194,4,77,Nebraska,93,,,2019,Nebraska,,,
Garrett Snodgrass,ATH,York,NE,6'3'',217,4,76,Nebraska,109,,,2019,Nebraska,,,
Brant Banks,OT,Houston,TX,6'7'',244,4,75,Nebraska,109,,,2019,Nebraska,,,
Matthew Anderson,OT,Leesville,LA,6'7'',246,4,75,Nebraska,120,,,2019,Nebraska,,,
Garrett Nelson,DE,Scottsbluff,NE,6'3'',235,4,74,Nebraska,165,271,4,2019,Nebraska,,,
Ethan Piper,DT,Norfolk,NE,6'3'',280,4,74,Nebraska,,,,2019,Nebraska,,,
Jimmy Fritzche,TE-Y,Greenville,SC,6'7'',231,4,72,Nebraska,37,,,2019,Nebraska,,,
Turner Corcoran,OT,Lawrence,KS,6'5'',280,4,84,Nebraska,10,,,2020,Nebraska,17,1,
Zavier Betts,WR,Bellevue,NE,6'2'',190,4,84,Nebraska,15,,,2020,Nebraska,25,1,
Nadab Joseph,CB,Miami,FL,6'2'',195,4,82,Nebraska,1.0,,,2020,Nebraska, None, None,
Keyshawn Greene,OLB,Crawfordville,FL,6'3'',200,4,82,Nebraska,17,,,2020,Nebraska,,,
Henry Gray,S,Miami,FL,6'0'',175,4,82,Nebraska,11,,,2020,Nebraska,89,33,
Omar Manning,WR,Lancaster,TX,6'3'',215,4,81,Nebraska,3,,,2020,Nebraska, None, None,
Jaiden Francois,CB,Homestead,FL,6'0'',175,4,81,Nebraska,,,,2020,Nebraska,,,
Marcus Fleming,WR,Miami,FL,5'10'',170,4,80,Nebraska,43,,,2020,Nebraska,123,45,
Pheldarius Payne,DE,Suffolk,VA,6'3'',265,3,79,Nebraska,2,,,2020,Nebraska,,,
Alante Brown,WR,Oakdale,CT,5'10'',180,3,79,Nebraska,71,,,2020,Nebraska,63,5,
Logan Smothers,QB,Muscle Shoals,AL,6'1'',180,3,79,Nebraska,19,,,2020,Nebraska,194,20,
Nash Hutmacher,OT,Chamberlain,SD,6'4'',295,3,79,Nebraska,53,,,2020,Nebraska,,,
Sevion Morrison,RB,Tulsa,OK,6'0'',195,3,78,Nebraska,47,,,2020,Nebraska,,,
Marvin Scott III,RB,Port Orange,FL,5'9'',205,3,77,Nebraska,53,,,2020,Nebraska,291,94,
