Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Carsen Ryan,TE-Y,American Fork,UT,6'3'',245.0,81,,UCLA,4,,,2022,UCLA,35,3,,,,,,,,
Justyn Martin,QB-PP,Inglewood,CA,6'3'',185.0,81,,UCLA,14,,,2022,UCLA,43,22,,,,,,,,
Clint Stephens,WR,Inglewood,CA,6'1'',190.0,81,,UCLA,39,,,2022,UCLA,,,,,,,,,,
Jadyn Marshall,WR,Stockton,CA,6'0'',185.0,81,,UCLA,,,,2022,UCLA,,,,,,,,,,
Sam Yoon,OT,Los Angeles,CA,6'5'',285.0,80,,UCLA,34,,,2022,UCLA,57,31,,,,,,,,
Jalen Woods,OLB,Bellflower,CA,6'0'',210.0,79,,UCLA,40,,,2022,UCLA,,,,,,,,,,
Braden Pegan,WR,San Juan Capistrano,CA,6'4'',195.0,78,,UCLA,,,,2022,UCLA,,,,,,,,,,
Tomarion Harden,RB,Harbor City,CA,6'0'',220.0,77,,UCLA,66,,,2022,UCLA,120,60,,,,,,,,
Croix Stewart,CB,Benicia,CA,6'1'',185.0,77,,UCLA,89,,,2022,UCLA,,,,,,,,,,
Jake Bobo,WR,Belmont,MA,,,TR,UCLA,,,,,2022,UCLA,,,,,,,,,,
Azizi Hearn,CB,Oceanside,CA,6'1'',205.0,,TR,UCLA,,,,2022,UCLA,,,,,,,,,,
Titus Mokiao-Atimalala,WR,Ewa Beach,HI,6'1'',175.0,,TR,UCLA,,,,2022,UCLA,,,,,,,,,,
Darius Muasau,ILB,Mililani,HI,6'1'',220.0,,TR,UCLA,,,,2022,UCLA,,,,,,,,,,
Laiatu Latu,DE,Carmichael,CA,6'4'',260.0,,TR,UCLA,,,,2022,UCLA,,,,,,,,,,
Gary Smith,DT,Shelbyville,TN,6'2'',305.0,,TR,UCLA,,,,2022,UCLA,,,,,,,,,,
Jacob Sykes,DT,Kansas City,KS,6'3'',285.0,,TR,UCLA,,,,2022,UCLA,,,,,,,,,,
Dante Moore,QB-PP,Detroit,MI,6'3'',210,93,UCLA,,2,,,2023,UCLA,1,1,,,,,,,,
Jeremiah McClure,WR,Chula Vista,CA,6'1'',190,82,UCLA,,25,,,2023,UCLA,21,14,,,,,,,,
Tre Edwards,ILB,Chula Vista,CA,6'1'',220,80,UCLA,,16,,,2023,UCLA,52,32,,,,,,,,
R.J. Jones,S,Bellflower,CA,St. John Bosco High School,180,80,UCLA,,30,,,2023,UCLA,58,35,,,,,,,,
Grant Gray,WR,Norco,CA,Norco Senior High School,180,78,UCLA,,,,,2023,UCLA,,,,,,,,,,
Grant Buckey,DE,Bakersfield,CA,Bakersfield High School,260,78,UCLA,,69,,,2023,UCLA,,,,,,,,,,
Ty Lee,S,Bellflower,CA,St. John Bosco High School,190,78,UCLA,,55,,,2023,UCLA,,,,,,,,,,
Tavake Tuikolovatu,OT,Fontana,CA,Summit High School,300,78,UCLA,,63,,,2023,UCLA,,,,,,,,,,
Donavyn Pellot,ATH,Las Vegas,NV,Silverado High School,210,77,UCLA,,65,,,2023,UCLA,,,,,,,,,,
Isaiah Carlson,OLB,Ferndale,WA,Ferndale High School,215,77,UCLA,,60,,,2023,UCLA,,,,,,,,,,
Solomone Malafu,ILB,Kapaa,HI,Kapaa High School,220,77,UCLA,,30,,,2023,UCLA,127,3,,,,,,,,
