Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University , Pos, City, State, Height, Weight, Stars, Grade, University
Jarion Anderson,WR,Texarkana,TX,5'9'',165,Tulsa,,222,,,2015,Tulsa,69.0,,,,,,,,,,,,
Will Hefley,QB-PP,Little Rock,AR,6'3'',205,Tulsa,,64,,,2015,Tulsa,68.0,,,,,,,,,,,,
Blake Browning,DT,Pflugerville,TX,6'1'',280,Tulsa,,, None, None,2015,Tulsa,,,,,,,,,,,,,
Trevis Gipson,DE,Cedar Hill,TX,6'3'',197,Tulsa,,NR,,,2015,Tulsa,,,,,,,,,,,,,
Diamon Cannon,OLB,Killeen,TX,6'1'',198,Tulsa,,,,,2015,Tulsa,,,,,,,,,,,,,
Michael Anderson,DE,Owasso,OK,6'3'',230,Tulsa,,NR,,,2015,Tulsa,,,,,,,,,,,,,
Brenndan Johnson,CB,Waco,TX,5'10'',170,Tulsa,,,,,2015,Tulsa,,,,,,,,,,,,,
J.R. Reed,S (LQ),Plano,TX,6'1'',180,Tulsa,,, None, None,2015,Tulsa,,,,,,,,,,,,,
Austin Grotts,DE,Bixby,OK,6'3'',260,Tulsa,,,,,2015,Tulsa,,,,,,,,,,,,,
Christopher Ivy Jr.,OT,Wichita,KS,6'5'',285,Tulsa,,, NR, NR,2015,Tulsa,,,,,,,,,,,,,
Chris Minter,TE-HT,Temple,TX,6'3'',220,Tulsa,,NR,,,2015,Tulsa,,,,,,,,,,,,,
Keidrien Wadley,CB,Irving,TX,5'10'',170,Tulsa,,,,,2015,Tulsa,,,,,,,,,,,,,
Alex Pagonis,OG (JC),Gulf Breeze,FL,6'4'',320,Tulsa,,, NR, NR,2015,Tulsa,,,,,,,,,,,,,
Khari Harding,OLB (TR),Edmond,OK,6'1'',225,Tulsa,,,,,2015,Tulsa,,,,,,,,,,,,,
Deven Lamp,DE,Cedar Hill,TX,6'3'',218,Tulsa,,, None, None,2017,Tulsa,70.0,,,,,,,,,,,,
Adam Higuera,LS,Gilbert,AZ,6'1'',240,Tulsa,,8,,,2017,Tulsa,68.0,,,,,,,,,,,,
Sam Crawford,WR,Rockwall,TX,6'1'',190,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Marcus Mays,S,Tulsa,OK,6'1'',170,Tulsa,,NR, NR, NR,2017,Tulsa,,,,,,,,,,,,,
J.C. Santana,WR,Katy,TX,5'11'',165,Tulsa,,NR,,,2017,Tulsa,,,,,,,,,,,,,
Josh Moore,WR,Prattville,AL,5'10'',164,Tulsa,,, None, None,2017,Tulsa,,,,,,,,,,,,,
Akayleb Evans,S,McKinney,TX,6'2'',175,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Daiquain Jackson,CB,Mesquite,TX,5'10'',184,Tulsa,,, None, None,2017,Tulsa,,,,,,,,,,,,,
Reed Martin,RB,Tulsa,OK,6'1'',205,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Dante Bivens,OG,Klein,TX,6'3'',256,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Seth Boomer,QB-PP,Collinsville,OK,6'3'',185,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Zaven Collins,QB-PP,Hominy,OK,6'4'',213,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Bryson Powers,QB-DT,Cypress,TX,6'1'',180,Tulsa,,, None, None,2017,Tulsa,,,,,,,,,,,,,
Shamari Brooks,RB,Tulsa,OK,5'8'',181,Tulsa,,, None, None,2017,Tulsa,,,,,,,,,,,,,
Garrett Flanary,DT,Tulsa,OK,6'2'',274,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Chase Brown,ILB,Kerrville,TX,6'2'',225,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Malik Jackson,WR,Taylor,TX,6'2'',185,Tulsa,,NR,,,2017,Tulsa,,,,,,,,,,,,,
Keylon Stokes,WR,Manvel,TX,5'11'',180,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Ryan Patrick,ILB,Tulsa,OK,6'1'',220,Tulsa,,, None, None,2017,Tulsa,,,,,,,,,,,,,
Allie Green,S,Johnson City,TX,6'2'',190,Tulsa,,, None, None,2017,Tulsa,,,,,,,,,,,,,
Gerald Wheeler,OT,Plano,TX,6'4'',260,Tulsa,,, None, None,2017,Tulsa,,,,,,,,,,,,,
Christian Bricker,DE,Piedmont,OK,6'5'',220,Tulsa,,NR,,,2017,Tulsa,,,,,,,,,,,,,
Chris Paul,OT,Houston,TX,6'4'',275,Tulsa,,, None, None,2017,Tulsa,,,,,,,,,,,,,
Cannon Montgomery,WR,Tulsa,OK,5'10'',175,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Thomas Bennett,K,Carlsbad,CA,6'2'',180,Tulsa,,,,,2017,Tulsa,,,,,,,,,,,,,
Cooper Laake,DT,Austin,TX,6'3'',270.0,,Tulsa,76,222,162,2019,Tulsa,76.0,,,,,,,,,,,,
Korey King,WR,Missouri City,TX,,,,Tulsa,,,,2019,Tulsa,,,,,,,,,,,,,
Jaise Oliver,S,Fairfield,TX,6'1'',183.0,,Tulsa,NR,,,2019,Tulsa,,,,,,,,,,,,,
Lazarus May,OLB,Houston,TX,6'2'',198.0,,Tulsa,NR,,,2019,Tulsa,,,,,,,,,,,,,
Darrias Murdock,DT,Tulsa,OK,6'3'',275.0,,Tulsa,,,,2019,Tulsa,,,,,,,,,,,,,
Reginald Ellis,CB,Aldine,TX,5'10'',176.0,,Tulsa,,,,2019,Tulsa,,,,,,,,,,,,,
Chester Baah,OG,Tulsa,OK,6'2'',300.0,,Tulsa,, None, None,2019,Tulsa,,,,,,,,,,,,,
Chris Lovick,RB,Tomball,TX,5'8'',175.0,,Tulsa,NR,,,2019,Tulsa,,,,,,,,,,,,,
Trey Collier,ATH,Kaufman,TX,5'11'',165.0,,Tulsa,,,,2019,Tulsa,,,,,,,,,,,,,
RaQuan Thompson,DE,Killeen,TX,6'2'',260.0,,Tulsa,NR,,,2019,Tulsa,,,,,,,,,,,,,
