Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,University, Reg_rank, State_rank,University    
Connor Grieco,S,Montvale,NJ,6'2'',200,Boston College,,142,,,2019,Boston College,75,,,,
Ireland Burke,DT,Sparta,NJ,6'3'',279,Boston College,,90,,,2019,Boston College,74,,,,
Steve Lubischer,QB-DT,Red Bank,NJ,6'1'',181,Boston College,,,,,2019,Boston College,74,,,,
Josh DeBerry,CB,Warren,MI,5'11'',170,Boston College,,,,,2019,Boston College,73,,,,
Clinton Burton Jr.,CB,Baltimore,MD,5'11'',170,,,3,,,2021,Boston College,85.0,,10,2,
Drew Kendall,OG,Dedham,MA,6'3'',250,,,13,,,2021,Boston College,81.0,,,,
Bryce Steele,S,Raleigh,NC,6'1'',195,,,24,,,2021,Boston College,80.0,,158,28,
Jalon Williams,CB,Grand Prairie,TX,5'11'',180,,,37,,,2021,Boston College,78.0,,121,93,
Jalen Cheek,CB,Atco,NJ,6'1'',185,,,44,,,2021,Boston College,78.0,,,,
Owen McGowan,ILB,West Roxbury,MA,6'1'',225,,,6,,,2021,Boston College,78.0,,77,5,
Jamareeh Jones,ATH,Highland Springs,VA,6'0'',180,,,,,,2021,Boston College,76.0,,,,
Shawn Gates,CB,Akron,OH,6'0'',175,,,109,,,2021,Boston College,76.0,,73,29,
Dante Reynolds,WR,Chicago,IL,6'0'',190,,,142,,,2021,Boston College,76.0,,111,23,
Otto Hess,OT,Oswego,IL,6'7'',290,,,94,,,2021,Boston College,76.0,,,,
Nigel Tate,DT,Potomac,MD,6'2'',290,,,71,,,2021,Boston College,75.0,,130,32,
Cole Batson,ATH,San Clemente,CA,6'4'',190,,,96,,,2021,Boston College,75.0,,146,87,
Xavier Coleman,RB,Medford,NJ,5'10'',190,,,100,,,2021,Boston College,74.0,,146,20,
Lewis Bond,RB,Chicago,IL,6'0'',190,,,101,,,2021,Boston College,74.0,,,,
Ilija Krajnovic,OT,Bradenton,FL,6'8'',325,,,110,,,2021,Boston College,74.0,,557,181,
Tyeus Clemons,DT,Harvest,AL,6'4'',245,,,82,,,2021,Boston College,74.0,,,,
Shawn Asbury,CB,Stafford,VA,5'10'',175,,,117,,,2021,Boston College,74.0,,,,
Donovan Ezeiruaku,OLB,Williamstown,NJ,6'2'',210,,,118,,,2021,Boston College,74.0,,165,26,
Neto Okpala,DE,Loganville,GA,6'3'',225,,,134,,,2021,Boston College,74.0,,587,131,
Casey Phinney,ILB,Dedham,MA,6'1'',230,,,52,,,2021,Boston College,74.0,,185,13,
Emmett Morehead,QB-PP,Alexandria,VA,6'5'',225,,,73,,,2021,Boston College,73.0,,186,42,
Connor Lytton,K,Radford,VA,6'1'',190,,,26,,,2021,Boston College,73.0,,,,
Owen Stoudmire,DT,Creston,OH,6'2'',315,,,110,,,2021,Boston College,72.0,,230,70,
