Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,None, None, None.1,School,University  
Randall Royall,ILB,Houston,TX,6'1'',215,,,NR,,,2017,Rice,,,,,,,Rice,
Brandt Peterson,TE-Y,Austin,TX,6'5'',245,,,,,,2017,Rice,,,,,,,Rice,
Jaeger Bull,TE-H,Corpus Christi,TX,6'3'',210,,,,,,2017,Rice,,,,,,,Rice,
Austin Trammell,WR,Klein,TX,5'10'',165,,,NR,,,2017,Rice,,,,,,,Rice,
Shea Baker,OT,Round Rock,TX,6'2'',270,,,, None, None,2017,Rice,,,,,,,Rice,
Will Harrison,K,Westfield,IN,5'11'',175,,,,,,2017,Rice,,,,,,,Rice,
D.J. Arkansas,OLB,Denton,TX,6'1'',200,Rice  ,,204,84,154,2021,Rice,76.0,,,,,,,
Shawqui Itraish,QB-PP,Bradenton,FL,6'3'',190,Rice  ,,57,550,177,2021,Rice,74.0,,,,,,,
John Long,OG,Lampasas,TX,6'4'',300,Rice  ,,, None, None,2021,Rice,74.0,,,,,,,
Jaggar Hebeisen,TE-Y,Colleyville,TX,6'4'',225,Rice  ,,45,288,222,2021,Rice,74.0,,,,,,,
Joshua Williams,WR,Linden,AL,6'1'',190,Rice  ,,200,591,56,2021,Rice,74.0,,,,,,,
Ethan Onianwa,OG,Katy,TX,6'5'',305,Rice  ,,83,300,230,2021,Rice,74.0,,,,,,,
Elroyal Morris,DT,Houston,TX,6'2'',270,Rice  ,,74,,,2021,Rice,74.0,,,,,,,
Kenny Seymour,ILB,Missouri City,TX,6'1'',225,Rice  ,,51,310,238,2021,Rice,74.0,,,,,,,
M.J. Singleton,WR,Lubbock,TX,5'9'',175,Rice  ,,237,341,259,2021,Rice,73.0,,,,,,,
Marcus Williams,S,Birmingham,AL,6'0'',190,Rice  ,,, None, None,2021,Rice,73.0,,,,,,,
Peyton Stevenson,ATH,Demopolis,AL,6'2'',190,Rice  ,,153,781,85,2021,Rice,72.0,,,,,,,
Jayden Folmar,WR,Dothan,AL,6'1'',185,Rice  ,,259,,,2021,Rice,72.0,,,,,,,
Cal Varner,DE,Katy,TX,6'3'',230,Rice  ,,Reg_rank,,,2021,Rice,72.0,,,,,,,
Blake Boenisch,DT,Fort Bend,TX,6'4'',300,Rice  ,,118,,,2021,Rice,72.0,,,,,,,
Aidan Siano,ILB,Prosper,TX,6'0'',215,Rice  ,,74,426,324,2021,Rice,71.0,,,,,,,
Jonathan Jean,CB,Jacksonville,FL,5'10'',160,Rice  ,,192,910,299,2021,Rice,70.0,,,,,,,
Faaeanuu Pepe,OG,Orange,CA,6'4'',325,Rice  ,,132,310,175,2021,Rice,70.0,,,,,,,
Jalen Hargrove,DT,Wallingford,CT,6'3'',300,Rice,,147,297,14,2021,Rice,68.0,,,,,,,
LaVonte Johnson,S,Houston,TX,6'1'',185,Rice,,, None, None,2024,Rice,77.0,,,,,,,
Drew Deveillier,QB-PP,Plano,TX,6'6'',200,Rice,,43,224,175,2024,Rice,77.0,,,,,,,
Kaleb Blanton,OLB,Manvel,TX,6'1'',210,Rice,,100,282,216,2024,Rice,75.0,,,,,,,
Taji Atkins,RB,Houston,TX,5'8'',175,Rice,,118,337,259,2024,Rice,74.0,,,,,,,
Lane Jeffcoat,OT,Bentonville,AR,6'8'',290,Rice,,168,760,19,2024,Rice,73.0,,,,,,,
Rhys Phillips,TE-H,Katy,TX,6'3'',220,Rice,,54,360,277,2024,Rice,73.0,,,,,,,
Luke Miller,OT,Round Rock,TX,6'4'',270,Rice,,173,370,284,2024,Rice,73.0,,,,,,,
Colin Giffen,FB,Palo Alto,CA,6'1'',230,Rice,,1,,,2024,Rice,69.0,,,,,,,
Owen Carter,WR,Cypress,TX,6'1'',185,Rice,,NR, NR, NR,2024,Rice,,,,,,,,
Ephraim Dotson,CB,Missouri City,TX,5'11'',165,Rice,,, None, None,2024,Rice,,,,,,,,
Bailey Fletcher,CB,San Antonio,TX,6'0'',190,Rice,,NR,,,2024,Rice,,,,,,,,
Jabari McAlmont,OG,Houston,TX,6'3'',295,Rice,,,,,2024,Rice,,,,,,,,
Cade McMillan,CB,POST,Houston,TX,5'10'',,Rice,, None, None,2024,Rice,180.0,,,,,,,
Blaise Tita,OLB,Houston,TX,6'2'',225,Rice,,,,,2024,Rice,,,,,,,,
Chad Lindberg,OT,TR,League City,TX,6'6'',,Rice,, None, None,2024,Rice,325.0,,,,,,,
