Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School  ,School
Donavin Newsom,ILB,Saint Louis,MO,6'2'',225,Missouri,,12,,,2012,Missouri,79,,,,
Torey Boozer,OLB,Everman,TX,6'3'',210,Missouri,,42,,,2012,Missouri,79,,,,
Michael Scherer,ILB,Saint Louis,MO,6'2'',237,Missouri,,20,93,8,2012,Missouri,79,,,,
Jordan Williams,OT,Denton,TX,6'4'',255,Missouri,,62,,,2012,Missouri,78,,,,
Ka'Ra Stewart,S,O'Fallon,IL,6'0'',190,Missouri,,42,,,2012,Missouri,78,,,,
Morgan Steward,RB,Kansas City,MO,5'11'',195,Missouri,,51,179,138,2012,Missouri,77,,,,
Russell Hansbrough,RB,Arlington,TX,5'8'',175,Missouri,,46,,,2012,Missouri,77,,,,
Brandon Holifield,TE,Tallahassee,FL,6'6'',220,Missouri,,92,,,2012,Missouri,77,,,,
Chaston Cuffee,ATH,Cleburne,TX,6'1'',185,Missouri,,20,115,,2012,Missouri,76,,,,
Evan Winston,DT,Muskegon Heights,MI,6'3'',246,Missouri,,106,,,2012,Missouri,76,,,,
John Gibson,ATH,Missouri City,TX,5'9'',175,Missouri,,171,276,219,2012,Missouri,76,,,,
Rickey Hatley,DE,Atlanta,TX,6'4'',245,Missouri,,87,,,2012,Missouri,75,,,,
Sean Culkin,TE,Largo,FL,6'5'',215,Missouri,,240,,,2012,Missouri,74,,,,
Harold Brantley,DT,Hershey,PA,6'2'',280,Missouri,,,,,2012,Missouri,73,,,,
Levi Copelin,S,Broken Arrow,OK,6'2'',177,Missouri,,,,,2012,Missouri,68,,,,
Markus Golden,OLB,Visalia,TX,6'2'',230,Missouri,,,,,2012,Missouri,NR,,,,
Darius White,WR,Fort Worth,TX,6'3'',200,Missouri,,,,,2012,Missouri,TR,,,,
Natereace Strong,RB (JC),East Saint Louis,IL,6'0'',210,80,Missouri,2,,,2016,Missouri,, None,28,,
Brendan Scales,TE-Y,Wildwood,MO,6'4'',220,79,Missouri,11,,,2016,Missouri,,81,2,,
Tyler Howell,OT (JC),Olathe,KS,6'8'',300,79,Missouri,7,,,2016,Missouri,, None, None,,
Dominic Collins,WR (JC),El Toro,CA,6'2'',170,79,Missouri,10,,,2016,Missouri,,,,,
Tre Williams,DE,Columbia,MO,6'4'',220,78,Missouri,62,,,2016,Missouri,,102,5,,
DeMarkus Acy,S,Dallas,TX,6'0'',175,78,Missouri,49,,,2016,Missouri,,118,96,,
Greg Taylor,S (JC),East Saint Louis,IL,5'11'',190,77,Missouri,6,,,2016,Missouri,, NR, NR,,
Tucker McCann,K,O'Fallon,IL,6'0'',180,77,Missouri,5,,,2016,Missouri,,75,14,,
Trey Baldwin,OLB,Houston,TX,6'2'',224,77,Missouri,39,,,2016,Missouri,,141,116,,
Christian Holmes,WR,Atlanta,GA,6'1'',172,77,Missouri,131,,,2016,Missouri,,,,,
Albert Okwuegbunam,TE-H,Springfield,IL,6'4'',215,76,Missouri,18,,,2016,Missouri,,,,,
Damarea Crockett,RB,Little Rock,AR,6'0'',211,76,Missouri,382,,,2016,Missouri,,,,,
Tre'vour Simms,OG,East Saint Louis,IL,6'3'',315,75,Missouri,70,,,2016,Missouri,,,,,
Trystan Castillo,OG,Webb City,MO,6'3'',280,74,Missouri,87,,,2016,Missouri,,568,13,,
Markell Utsey,DT,Little Rock,AR,6'3'',295,73,Missouri,108,,,2016,Missouri,,246,17,,
Jerod Alton,ATH,Kirkwood,MO,5'10'',180,72,Missouri,47,,,2016,Missouri,,277,22,,
Micah Wilson,QB-DT,Tulsa,OK,6'3'',195,70,Missouri,,,,2016,Missouri,, None, None,,
Cale Garrett,ILB,Kearney,MO,6'2'',229,NR,Missouri,,,,2016,Missouri,,,,,
Dimetrios Mason,ATH,Loganville,GA,5'11'',175,NR,Missouri,,,,2016,Missouri,, None, None,,
Chris Black,WR (TR),Jacksonville,FL,6'0'',192,TR,Missouri,,,,2016,Missouri,,,,,
Akial Byers,DT,Fayetteville,AR,6'4'',265,Missouri,,13,73,1,2017,Missouri,82,,,,
Taylor Powell,QB-PP,Fayetteville,AR,6'1'',189,Missouri,,22,,,2017,Missouri,79,,,,
Walter Palmore,DT (JC),Columbus,GA,6'3'',295,Missouri,,7,,,2017,Missouri,79,,,,
Rashad Brandon,DT (JC),Jersey City,NJ,6'2'',315,Missouri,,8,,,2017,Missouri,79,,,,
Nate Anderson,DE (JC),Toronto,ONT,6'3'',255,Missouri,,13,,,2017,Missouri,79,,,,
Case Cook,OG,Carrollton,GA,6'5'',290,Missouri,,46,298,69,2017,Missouri,78,,,,
Logan Christopherson,TE-Y,Lemont,IL,6'7'',216,Missouri,,21,,,2017,Missouri,77,,,,
Hyrin White,OT,DeSoto,TX,6'7'',292,Missouri,,64,128,102,2017,Missouri,77,,,,
Yasir Durant,OG (JC),Philadelphia,PA,6'6'',330,Missouri,,3,,,2017,Missouri,77,,,,
Terry Petry,ATH,Missouri City,TX,5'10'',160,Missouri,,146,,,2017,Missouri,77,,,,
Pompey Coleman,OT,Indianapolis,IN,6'5'',265,Missouri,,72,86,9,2017,Missouri,77,,,,
DaRon Davis,RB,Lee's Summit,MO,6'1'',190,Missouri,,66,,,2017,Missouri,76,,,,
Jamal Brooks,OLB,Bessemer,AL,6'1'',223,Missouri,,56,,,2017,Missouri,76,,,,
Jordan Ulmer,S,Belleville,MI,6'1'',185,Missouri,,19,110,19,2017,Missouri,75,,,,
Adam Sparks,CB,Geismar,LA,6'0'',163,Missouri,,40,,,2017,Missouri,75,,,,
Aubrey Miller,OLB,Memphis,TN,6'0'',207,Missouri,,504,,,2017,Missouri,74,,,,
Isaiah Miller,RB,Jacksonville,FL,5'11'',190,Missouri,,,,,2017,Missouri,74,,,,
Christopher Turner,DE,Hammond,LA,6'4'',223,Missouri,,102,,,2017,Missouri,74,,,,
Larry Borom,OG,Bloomfield Hills,MI,6'5'',338,Missouri,,149,103,25,2017,Missouri,73,,,,
Joshuah Bledsoe,S,Houston,TX,6'0'',191,Missouri,,242,,,2017,Missouri,72,,,,
Larry Rountree,RB,Raleigh,NC,5'10'',210,Missouri,,105,626,37,2017,Missouri,72,,,,
