Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,School, Reg_rank, State_rank,University  
Channing Hames,DE,Baltimore,MD,6'4'',255,78.0,Marshall,47,,,2015,Marshall,,,65,15,
Chase Litton,QB-PP,Tampa,FL,6'5'',200,78.0,Marshall,,,,2015,Marshall,,,,,
Reggie Rogers,WR,Massillon,OH,6'0'',183,75.0,Marshall,150,,,2015,Marshall,,,107,44,
Doyle Grimes,OLB,Miami,FL,6'1'',205,75.0,Marshall,87,,,2015,Marshall,,,503,178,
Ty Tyler,ILB,Punta Gorda,FL,6'1'',225,75.0,Marshall,40,,,2015,Marshall,,,,,
Alex Locklear,OT,Huntington,WV,6'5'',300,75.0,Marshall,114,,,2015,Marshall,,,140,4,
Marquis Couch,DE,Miami,FL,6'0'',218,74.0,Marshall,108,,,2015,Marshall,,,560,200,
Delvin Weems,RB,Tyrone,GA,5'8'',181,74.0,Marshall,123,,,2015,Marshall,,,,,
Damien Dozier,OLB,Lynchburg,VA,6'3'',210,74.0,Marshall,106,,,2015,Marshall,,,,,
Larry Dunnon,WR,Greenacres,FL,6'1'',223,74.0,Marshall,,,,2015,Marshall,,,,,
Antonio Howard,CB,Miami,FL,5'10'',165,73.0,Marshall,103,,,2015,Marshall,,,,,
Roosevelt Lawrence,CB,Tampa,FL,5'10'',160,72.0,Marshall,114,,,2015,Marshall,,,,,
Raylen Elzy,WR,Stone Mountain,GA,6'4'',200,70.0,Marshall,,,,2015,Marshall,,,,,
Latrell Nieves,WR,Walterboro,SC,5'11'',170,,Marshall,NR,,,2015,Marshall,,,,,
Simino Walden,WR,Hialeah,FL,5'6'',134,,Marshall,,,,2015,Marshall,,,,,
Levi Brown,OG,Franklin,GA,6'3'',265,,Marshall,NR,,,2015,Marshall,,, NR, NR,
Keivonte Gallmon,WR,Tallahassee,FL,6'2'',200,,Marshall,,,,2015,Marshall,,,,,
Jason Jean,OG,Miami,FL,6'2'',270,,Marshall,,,,2015,Marshall,,, None, None,
Hakeem Bailey,S,Mableton,GA,6'1'',185,,Marshall,,,,2015,Marshall,,, NR, NR,
Leron Carn,WR,Dorchester,SC,6'2'',215,,Marshall,,,,2015,Marshall,,,,,
George Davis,OLB,Fort Myers,FL,6'2'',185,,Marshall,NR,,,2015,Marshall,,,,,
Reese Wooten,WR,Cairo,GA,6'1'',170,,Marshall,,,,2015,Marshall,,, None, None,
Emanuel Byrd,QB-DT,Atlanta,GA,6'2'',220,,Marshall,NR,,,2015,Marshall,,,,,
Devontre'a Tyler,ILB,Arcadia,FL,6'2'',240,,Marshall,,,,2015,Marshall,,,,,
