Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,University 
Adrian Killins,RB,Daytona Beach,FL,5'8'',155,73,UCF,,102,,,2016,U of Central Florida,563,185,,,
Boman Swanson,OT,Homestead,FL,6'5'',234,72,UCF,,101,,,2016,U of Central Florida,,,,,
Brandon Moore,CB,Sanford,FL,6'0'',173,72,UCF,,104,,,2016,U of Central Florida,,,,,
Dontay Mayfield,WR,Miami,FL,6'1'',180,71,UCF,,187,,,2016,U of Central Florida,,,,,
Monterious Loggins,OLB,Crawfordville,FL,6'0'',220,70,UCF,,115,,,2016,U of Central Florida,,,,,
Bryon Brown,CB,Miami,FL,6'1'',155,69,UCF,,124,,,2016,U of Central Florida,,,,,
McKenzie Milton,QB-DT,Mililani,HI,5'11'',165,67,UCF,,,,,2016,U of Central Florida,,,,,
Jawon Hamilton,RB,Homestead,FL,5'9'',178,67,UCF,,133,,,2016,U of Central Florida,,,,,
Anthony Roberson,TE-H,Richmond,VA,6'4'',220,NR,UCF,,,,,2016,U of Central Florida, NR, NR,,,
Nathaniel Evans Jr.,ILB,,,6'1'',245,NR,UCF,,,,,2016,U of Central Florida, None, None,,,
Richie Grant,WR,Fort Walton Beach,FL,6'0'',167,NR,UCF,,,,,2016,U of Central Florida, NR, NR,,,
D.J. Davidson,DT,Mesa,AZ,6'4'',300,NR,UCF,,NR,,,2016,U of Central Florida,,,,,
Josh Odigie,DE (JC),Rancho Cucamonga,CA,6'3'',250,NR,UCF,,,,,2016,U of Central Florida, None, None,,,
Chris Mulumba,DE (JC),Pleasant Hill,CA,6'3'',270,NR,UCF,,Reg_rank,,,2016,U of Central Florida,,,,,
Joe Sanders,DE (JC),LaGrange,GA,6'5'',265,NR,UCF,,,,,2016,U of Central Florida, None,,,,
Christian Beard,OT (JC),Waco,TX,6'4'',280,NR,UCF,,,,,2016,U of Central Florida,,,,,
Eriq Gilyard,ILB,Jacksonville,FL,5'10'',225,,80.0,,15,211,78,2018,U of Central Florida,,,,UCF  ,
Randy Charlton,DE,Miami,FL,6'4'',222,,78.0,,65,,,2018,U of Central Florida,,,,UCF  ,
Ke'von Ahmad,WR,Colleyville,TX,5'11'',185,,78.0,,48,,,2018,U of Central Florida,,,,UCF  ,
Lamarius Benson,OG,Covington,GA,6'3'',334,,77.0,,386,,,2018,U of Central Florida,,,,UCF  ,
Eric Seidelman,OG,Mount Dora,FL,6'3'',293,,77.0,,,,,2018,U of Central Florida,,,,UCF  ,
Derek Gainous,CB,Miami,FL,5'11'',175,,76.0,,11,NR,NR,2018,U of Central Florida,,,,UCF  ,
Josh McMullen,OT,Decatur,MS,6'5'',270,,75.0,,114,,,2018,U of Central Florida,,,,UCF  ,
Demetreius Mayes,DE,Miami,FL,6'2'',225,,75.0,,100,,,2018,U of Central Florida,,,,UCF  ,
Tyrese Black,DT,McDonough,GA,6'5'',285,,74.0,,114,,,2018,U of Central Florida,,,,UCF  ,
James Collins,OT,Chesapeake,VA,6'5'',311,,74.0,,74,,,2018,U of Central Florida,,,,UCF  ,
Jermaine McMillian,S,Miami,FL,6'1'',175,,74.0,,129,,,2018,U of Central Florida,,,,UCF  ,
Davonchae Bryant,DE,Pensacola,FL,6'6'',245,,74.0,,95,,,2018,U of Central Florida,,,,UCF  ,
Issac Walker,OG,Gainesville,FL,6'3'',350,,73.0,,12,,,2018,U of Central Florida,,,,UCF  ,
Trevor Elbert,OT,Rockwall,TX,6'5'',320,,73.0,,99,656,42,2018,U of Central Florida,,,,UCF  ,
Edward Collins,OG,Birmingham,AL,6'6'',302,,73.0,,,,,2018,U of Central Florida,,,,UCF  ,
Dyllon Lester,CB,Plantation,FL,5'10'',187,,,,,,,2018,U of Central Florida,,,,UCF  ,
Landon Woodson,DE,Falmouth,VA,6'5'',220,,,,NR,NR,NR,2018,U of Central Florida,,,,UCF  ,
