Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,Pos_Rank,Reg_Rank,State_Rank
Roy Pugh,ATH,Newark,NJ,6'4'',210,,,,NR,,,2015,Temple,Temple, NR, NR,,,
Elorm Lumor,DE,Piscataway,NJ,6'3'',210,,,,,,,2015,Temple,Temple, None, None,,,
Dawayne Young,DT,Philadelphia,PA,6'2'',280,,,,,,,2015,Temple,Temple,,,,,
Josiah Bronson,DT,Covington,WA,6'4'',265,,,,,,,2015,Temple,Temple,,,,,
Jake Robinson,TE,Haddonfield,NJ,6'4'',215,,,,NR,,,2015,Temple,Temple,,,,,
William Updegrove,DE,Berwick,PA,6'4'',215,,,,,,,2015,Temple,Temple,,,,,
Karamo Dioubate,DE,Philadelphia,PA,6'3'',275,83,Temple,,13,,,2016,Temple,,11,3,,,
Tyliek Raynor,RB,Philadelphia,PA,5'9'',170,80,Temple,,33,,,2016,Temple,,48,9,,,
Keyvone Bruton,S,Chesapeake,VA,5'11'',198,79,Temple,,,,,2016,Temple,, None, None,,,
Isaiah Wright,WR,West Hartford,CT,6'2'',210,78,Temple,,101,,,2016,Temple,,69,3,,,
Anthony Russo,QB,Warminster,PA,6'3'',229,78,Temple,,27,,,2016,Temple,,75,15,,,
Darian Bryant,OT,Philadelphia,PA,6'5'',325,73,Temple,,96,,,2016,Temple,,163,35,,,
Isaiah Graham-Mobley,S,King of Prussia,PA,6'2'',194,72,Temple,,117,,,2016,Temple,,179,38,,,
D'Andre Dill,DT,Chester,PA,6'2'',295,71,Temple,,155,,,2016,Temple,,,,,,
Dan Archibong,DE,Springfield,PA,6'5'',250,71,Temple,,126,,,2016,Temple,,,,,,
Branden Mack,ATH,Wyncote,PA,6'4'',190,69,Temple,,220,,,2016,Temple,,,,,,
Kenny Yeboah,WR,Allentown,PA,6'4'',215,68,Temple,,134,,,2016,Temple,,,,,,
Kimere Brown,CB,Carneys Point,NJ,6'0'',165,68,Temple,,46,,,2016,Temple,,249,53,,,
Steve Petrick,TE,North Huntingdon,PA,6'4'',230,67,Temple,,136,,,2016,Temple,,250,44,,,
Kareem Gaulden,CB,Jersey City,NJ,5'11'',185,67,Temple,,,,,2016,Temple,, None, None,,,
Amir Tyler,,Lakewood,NJ,6'0'',190,NR,Temple,,NR,,,2016,Temple,,,,,,
Benny Walls,CB,Cherry Hill,NJ,6'0'',180,NR,Temple,,,,,2016,Temple,, None, None,,,
Randle Jones,WR,Miami Beach,FL,5'11'',160,NR,Temple,,,,,2016,Temple,, None, None,,,
William Kwenkeu,OLB,Waldorf,MD,6'1'',205,NR,Temple,,,,,2016,Temple,,,,,,
Linwood Crump,CB,Parlin,NJ,5'11'',166,NR,Temple,,,,,2016,Temple,,,,,,
Quincy Roche,DE,Owings Mills,MD,6'3'',210,NR,Temple,,NR,,,2016,Temple,,,,,,
Matt Hennessy,OG,Ramsey,NJ,6'3'',275,NR,Temple,,NR,,,2016,Temple,,,,,,
Freddie Johnson,WR,North Fort Myers,FL,6'0'',180,NR,Temple,,,,,2016,Temple,,,,,,
Taiyir Wilson,OLB,Pennsburg,PA,6'2'',215,NR,Temple,,,,,2016,Temple,,,,,,
Chris Tucker,DE,Jackson,TN,6'3'',240,NR,Temple,,,,,2016,Temple,,,,,,
Sam Franklin,S,Crystal River,FL,6'3'',200,NR,Temple,,,,,2016,Temple,, None, None,,,
Shaun Bradley,RB,Mount Holly,NJ,6'1'',205,NR,Temple,,,,,2016,Temple,,,,,,
