Name,Pos,City,State,Height,Weight,Grade,University,Year,Team,Stars,Pos_rank,Reg_rank,State_rank, Reg_rank, State_rank,University 
Tyler Carr,OG,Gadsden,AL,6'6'',316,80,Auburn,2015,Auburn,4.0,30,,,157,12,
Tyler Queen,QB,Kennesaw,GA,6'2'',237,80,Auburn,2015,Auburn,4.0,17,,,,,
Tim Irvin,ATH,Palmetto,FL,5'9'',190,80,Auburn,2015,Auburn,4.0,34,,,176,63,
Carlton Davis,S,Miami,FL,6'1'',182,79,Auburn,2015,Auburn,4.0,39,,,260,86,
Montavious Atkinson,OLB,Fairburn,GA,6'1'',189,78,Auburn,2015,Auburn,4.0,34,,,,,
Chandler Cox,TE,Apopka,FL,6'1'',227,78,Auburn,2015,Auburn,4.0,10,,,270,90,
Jalen Harris,TE,Montgomery,AL,6'5'',236,78,Auburn,2015,Auburn,4.0,14,,,,,
Javarius Davis,ATH,Jacksonville,FL,5'9'',173,78,Auburn,2015,Auburn,4.0,,,, None, None,
Jauntavius Johnson,DT,Lincoln,AL,6'3'',330,77,Auburn,2015,Auburn,4.0,56,,,,,
Maurice Swain,DT,LaGrange,GA,6'5'',300,77,Auburn,2015,Auburn,4.0,9,,,,,
Ian Shannon,K,Marietta,GA,6'3'',205,76,Auburn,2015,Auburn,4.0,5,,,,,
Jeremiah Dinson,CB,Miami,FL,5'11'',180,73,Auburn,2015,Auburn,4.0,95,,,,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,,2016,Auburn,,,,,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,,2016,Auburn,,,,,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,2016,Auburn,,,,,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,,2016,Auburn,,,,,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,2016,Auburn,,,,,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,,2016,Auburn,,,,,,,
Steve Jones,CB,Kansas City,MO,,,,,2016,Auburn,,,,,,,
Chad Gross,K,Suwanee,GA,,,,,2016,Auburn,,,,,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,,2016,Auburn,,,,,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,,2016,Auburn,,,,,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,,2016,Auburn,,,,,,,
Calvin Ashley,OT,Washington,DC,6'7'',310,86.0,,2017,Auburn,5.0,6,3,1,,,Auburn 
Jarrett Stidham,QB,Stephenville,TX,6'3'',210,86.0,,2017,Auburn,5.0,1,,,,,Auburn 
