Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Tariq Drake,CB,Leavittsburg,OH,6'1'',165,,NR,,,,,2017,Ohio,,,Ohio
Hagen Meservy,OC,Jenks,OK,6'2'',250,,NR,,,,,2017,Ohio, None, None,Ohio
Alvin Floyd,CB,Miami,FL,5'11'',170,,NR,,,,,2017,Ohio,,,Ohio
Amos Ogun-Semore,DE,Hoschton,GA,6'5'',230,,NR,,NR,,,2017,Ohio,,,Ohio
Tre Newton,OG,Klein,TX,6'3'',290,,NR,,,,,2017,Ohio,,,Ohio
Kevin Haas,OG,Perkinston,MS,6'3'',300,,NR,,,,,2017,Ohio,,,Ohio
Nathan Rourke,QB,Elmore,AL,6'2'',205,,NR,,,,,2017,Ohio,,,Ohio
Steven Hayes,OG,Hutchinson,KS,6'3'',300,,NR,,,,,2017,Ohio, NR, NR,Ohio
Denzel Daxon,DT,Doral,FL,6'2'',315,78,Doral Academy,,53,327,108,2019,Ohio,,,
Tristian Vandenberg,KBuffalo,NY,Canisius High School,6'3'',220,74,Canisius High School,,26,161,6,2019,Ohio,,,
Cannon Blauser,ILB,Hilliard,OH,6'2'',227,73,Bradley Hilliard High School,,45,,,2019,Ohio,,,
Kurtis Rourke,QB-PPOttawa,Ontario,CAN,Holy Trinity,6'3'',195,70,Holy Trinity,,,,2019,Ohio,,,
Walter Wilbon III,RB,Tampa,FL,5'10'',200,,Ohio,,,,,2019,Ohio,,,
Jeremiah Burton,DT,Westerville,OH,6'2'',310,,Ohio,,NR,,,2019,Ohio,,,
Jay Amburgey,OT,Reynoldsburg,OH,6'4'',270,,Ohio,,NR,,,2019,Ohio,,,
Luke Vannest,OT,North Canton,OH,6'4'',290,,Ohio,,NR,NR,NR,2019,Ohio,,,
Keniuel Gates,S,Citra,FL,6'0'',185,,Ohio,,,,,2019,Ohio,,,
Chrisotphe Atkinson,OG,Leesburg,VA,6'3'',273,,Ohio,,,,,2019,Ohio,,,
Aidan MacDonald,OG,Chardon,OH,6'3'',276,,Ohio,,,,,2019,Ohio,,,
Thomas Aronkhale,OG,Wheeling,WV,6'3'',292,,Ohio,,NR,NR,NR,2019,Ohio,,,
