Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,University  ,Reg_rank,State_rank,School,School  
Cooper Justice,QB,Lake Oswego,OR,6'6'',230,,,Utah,,,,2020,Utah,,,,,
Jake Bentley,QB,Opelika,AL,6'4'',220,,,Utah,,,,2020,Utah,,,,,
Skyler Southam,K,Mount Pleasant,UT,6'0'',190,,,Utah,,,,2020,Utah,,,,,
Nathan Johnson,QB,Clovis,CA,6'1'',190,84.0,Utah,,4,,,2022,Utah,,8,4,,
Lander Barton,ILB,Salt Lake City,UT,6'3'',205,82.0,Utah,,5,,,2022,Utah,,,,,
Elijah Davis,S,Auburndale,FL,6'1'',170,80.0,Utah,,53,,,2022,Utah,,169,28,,
Justin Medlock,ILB,Manvel,TX,6'1'',210,80.0,Utah,,13,,,2022,Utah,,97,73,,
Jaylon Glover,RB,Lake Gibson,FL,5'7'',195,79.0,Utah,,42,,,2022,Utah,,245,82,,
Chris Reed,WR,Apopka,FL,6'1'',190,78.0,Utah,,97,,,2022,Utah,,,,,
Carson Tabaracci,ATH,Park City,UT,6'2'',225,78.0,Utah,,53,,,2022,Utah,,89,11,,
Ryan Peppins,WR,Alabaster,AL,5'8'',170,78.0,Utah,,109,,,2022,Utah,,331,29,,
Jocelyn Malaska,ATH,Bethany,OK,6'2'',170,78.0,Utah,,147,,,2022,Utah,,,,,
Sidney Mbanasor,WR,Pflugerville,TX,6'5'',215,77.0,Utah,,,,,2022,Utah,,,,,
Keith Olson,OT,Napavine,WA,6'6'',285,77.0,Utah,,71,,,2022,Utah,,,,,
Kaeo Akana,OLB,Honolulu,HI,6'3'',205,77.0,Utah,,63,,,2022,Utah,,120,3,,
Chase Kennedy,OLB,Dallas,TX,6'3'',220,77.0,Utah,,66,,,2022,Utah,,,,,
Brandon Rose,QB,Murrieta,CA,6'2'',195,77.0,Utah,,42,,,2022,Utah,,134,72,,
Tao Johnson,ATH,Idaho Falls,ID,6'1'',180,76.0,Utah,,142,,,2022,Utah,,,,,
Keanu Tanuvasa,DE,Mission Viejo,CA,6'3'',268,76.0,Utah,,,,,2022,Utah,,,,,
Dallas Vakalahi,DT,Salt Lake City,UT,6'3'',275,75.0,Utah,,93,,,2022,Utah,,,,,
Tyler Knaak,OT,Salt Lake City,UT,6'6'',300,74.0,Utah,,216,,,2022,Utah,,,,,
Sione Vaki,CB,Brentwood,CA,6'0'',207,73.0,Utah,,,,,2022,Utah,,,,,
Landon Morris,TE,La Grange Park,IL,6'5'',215,,Utah,,,,,2022,Utah,,,,,
Logan Kendall,FB,Cheney,WA,6'2'',265,,Utah,,,,,2022,Utah,,,,,
Mohamoud Diabate,OLB,Auburn,AL,6'3'',215,,Utah,,,,,2022,Utah,,,,,
Hunter Clegg,DE,American Fork,UT,6'4'',240,3,83,,18,15,2,2023,Utah,,,,Utah,
Spencer Fano,OT,Provo,UT,6'4'',260,2,82,,19,,,2023,Utah,,,,Utah,
Caleb Lomu,OG,Gilbert,AZ,6'5'',265,1,81,,10,,,2023,Utah,,,,Utah,
Michael Mitchell,RB,Middleburg,FL,5'11'',195,1,81,,16,135,58,2023,Utah,,,,Utah,
Dijon Stanley,ATH,Granada Hills,CA,6'0'',175,1,81,,20,33,19,2023,Utah,,,,Utah,
Mikey Matthews,WR,Mission Viejo,CA,5'9'',170,1,81,,35,37,22,2023,Utah,,,,Utah,
C.J. Blocker,CB,New Caney,TX,6'0'',165,0,80,,36,,,2023,Utah,,,,Utah,
John Randle Jr.,RB,Wichita,KS,6'0'',185,0,80,,28,80,4,2023,Utah,,,,Utah,
Smith Snowden,CB,Lehi,UT,5'10'',170,0,80,,46,,,2023,Utah,,,,Utah,
Johnathan Hall,S,Katy,TX,6'2'',220,0,79,,38,104,80,2023,Utah,,,,Utah,
Owen Chambliss,OLB,Corona,CA,6'2'',210,0,79,,35,,,2023,Utah,,,,Utah,
Mack Howard,QB-P,Oxford,MS,6'2'',185,0,78,,22,284,10,2023,Utah,,,,Utah,
Roger Alderman,OG,Sonoma,CA,6'4'',260,0,77,,61,,,2023,Utah,,,,Utah,
C.J. Jacobsen,TE-Y,Meridian,ID,6'5'',230,0,77,,21,143,2,2023,Utah,,,,Utah,
Stanley Raass,DT,Lehi,UT,6'1'',275,0,76,,74,159,12,2023,Utah,,,,Utah,
Mateaki Helu,OLB,Tooele,UT,6'1'',210,0,76,,168, None,14,2023,Utah,,,,Utah,
Jonah Lea'ea,OLB,Las Vegas,NV,6'5'',220,0,74,,209,614,216,2023,Utah,,,,Utah,
Daidren Zipperer,WR,Lakeland,FL,6'0'',170,0,74,,223,253,8,2023,Utah,,,,Utah,
Kainoa Carvalho,WR,Kahuku,HI,5'6'',160,0,74,,155,,,2023,Utah,,,,Utah,
Brock Fonoimoana,S,Kahuku,HI,6'0'',190,0,73,,, None, 33rd,2023,Utah,,,,Utah,
Vili Taufatofoa,DE,Roswell,NM,6'4'',260,NR,Utah,,, None, None,2023,Utah,,,,,
Logan Fano,DE,Spanish Fork,UT,6'4'',230,TR,Utah,,,,,2023,Utah,,,,,
Levani Damuni,ILB,Millville,UT,6'2'',242,TR,Utah,,,,,2023,Utah,,,,,
Miles Battle,CB,Houston,TX,6'4'',203,TR,Utah,,, None, None,2023,Utah,,,,,
Cole Becker,K,Rocklin,CA,6'4'',215,TR,Utah,,,,,2023,Utah,,,,,
Emery Simmons,WR,Hope Mills,NC,6'1'',195,TR,Utah,,,,,2023,Utah,,,,,
Mycah Pittman,WR,Calabasas,CA,5'11'',195,TR,Utah,,,,,2023,Utah,,,,,
Landen King,TE-H,Humble,TX,6'5'',215,TR,Utah,,,,,2023,Utah,,,,,
Briton Allen,S,Orlando,FL,6'0'',190,TR,Utah,,,,,2023,Utah,,,,,
Isaiah Garcia,OT,Draper,UT,6'5'',280,,83,,12,,,2024,Utah,,13,1,,Corner Canyon High School  
Isaac Wilson,QB-PP,Draper,UT,6'0'',185,,80,,13,,,2024,Utah,,,,,Corner Canyon High School  
Davis Andrews,SAmerican Fork,UT,6'2'',195,79,,American Fork High School  ,,37,,,2024,Utah,,,,,
Hunter Andrews,RBMagnolia,TX,6'2'',210,79,,Magnolia High School  ,,42,,,2024,Utah,,,,,
Jeilani Davis,SSanta Ana,CA,6'1'',190,78,,Mater Dei High School  ,,55,,,2024,Utah,,,,,
David Washington,WRLas Vegas,NV,6'0'',185,78,,Las Vegas Academy  ,,91,,,2024,Utah,,,,,
