Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,School  
Derrick Thorpe,OT,Neptune Beach,FL,6'4'',255.0,74,Florida International,,134,,,2011,Florida International,542, None,,,
Shane Coleman,RB,Green Cove Springs,FL,5'7'',180.0,74,Florida International,,142,,,2011,Florida International,589, None,,,
Cody Horstman,DE,Vero Beach,FL,6'3'',235.0,72,Florida International,,200,,,2011,Florida International,,,,,
Aaron Nielsen,DE,Orlando,FL,6'4'',216.0,72,Florida International,,202,,,2011,Florida International,726, None,,,
Ezekiel Turner,WR,Delray Beach,FL,5'10'',170.0,70,Florida International,,221,,,2011,Florida International,,,,,
T.J. Lowder,ATH,Panama City,FL,5'10'',165.0,70,Florida International,,222,,,2011,Florida International,,,,,
Denzell Perine,DE,Mobile,AL,6'3'',190.0,,Florida International,,238,,,2011,Florida International,,,,,
Lyndon Edwards,OLB,Miami,FL,5'11'',189.0,,Florida International,,217,,,2011,Florida International,,,,,
Luis-Manuel Rosado,SGainesville,FL,6'2'',199,,Florida International,,,162,,,2011,Florida International, NR, NR,,,
Prince Matt,OG,Bradenton,FL,6'3'',250.0,,Florida International,,,,,2011,Florida International,,,,,
Freeman Dozier,WR,Jacksonville,FL,6'2'',162.0,,Florida International,,275,,,2011,Florida International,,,,,
Kenneth Proctor,S,Harvey,LA,6'0'',187.0,,Florida International,,162,,,2011,Florida International,,,,,
Richie Reay,OT,Tampa,FL,6'4'',243.0,,Florida International,,,,,2011,Florida International,,,,,
Clinton Taylor,WR,Miami,FL,5'8'',160.0,,Florida International,,275,,,2011,Florida International,,,,,
Ya'Keem Griner,TE,Starke,FL,6'4'',200.0,,Florida International,,,,,2011,Florida International,,,,,
Everette Slocum,OT,Miami,FL,6'4'',260.0,,Florida International,,172,,,2011,Florida International,,,,,
Loranzo Hammonds,QB,North Augusta,SC,6'0'',180.0,,Florida International,,267,,,2011,Florida International,,,,,
Elijah Maxey,ATH,Jacksonville,FL,5'11'',200.0,,Florida International,,212,,,2011,Florida International,,,,,
Max Martial,OG,Wellington,FL,6'3'',265.0,,Florida International,,109,,,2011,Florida International, NR, NR,,,
Lars Koht,TE,Vero Beach,FL,6'3'',190.0,,Florida International,,,,,2011,Florida International,,,,,
Jordan Hunt,OLB,Meadville,MS,6'1'',215.0,,Florida International,,,,,2011,Florida International,,,,,
Tevin Blanchard,CB,Aberdeen,MS,5'11'',170.0,,Florida International,,,,,2011,Florida International,,,,,
Jamie Willis,OLB,Fort Meade,FL,6'1'',195,79,Florida International,,48,,,2012,Florida International,204,70,,,
Patrick Jean,OLB,Port Saint Lucie,FL,6'3'',200,78,Florida International,,51,,,2012,Florida International,,,,,
De'Andre Jasper,WR,Miami,FL,5'10'',180,77,Florida International,,129,,,2012,Florida International,489,102,,,
Michael Wakefield,DE,Valdosta,GA,6'3'',225,76,Florida International,,100,,,2012,Florida International,519,177,,,
Josh Glanton,OLB,Haines City,FL,6'2'',205,75,Florida International,,84,,,2012,Florida International,,,,,
Marques Cheeks,OG,New Orleans,LA,6'3'',265,75,Florida International,,86,,,2012,Florida International,,,,,
Trenton Saunders,OG,North Palm Beach,FL,6'3'',273,75,Florida International,,,,,2012,Florida International,160,33,,,
Josh Hess,OT,Richlands,VA,6'6'',300,75,Florida International,,111,,,2012,Florida International,,,,,
Leroy Owens,OLB,Palatka,FL,6'4'',200,74,Florida International,,122,,,2012,Florida International,,,,,
