Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Jack Keeler,OT,Barrington,IL,6'7'',285,,81,,29,,,2013,Wisconsin,Wisconsin,,
Garret Dooley,ILB,Rochester,IL,6'2'',220,,81,,18,,,2013,Wisconsin,Wisconsin,45,11
Sojourn Shelton,CB,Fort Lauderdale,FL,5'10'',152,,80,,27,,,2013,Wisconsin,Wisconsin,198,81
Tanner McEvoy,QB-DT,Hillsdale,NJ,6'6'',215,,79,,2.0,,,2013,Wisconsin,Wisconsin,,
Chikwe Obasih,DE,Brookfield,WI,6'3'',231,,79,,46,,,2013,Wisconsin,Wisconsin,,
Robert Wheelwright,WR,Columbus,OH,6'1'',174,,79,,70,,,2013,Wisconsin,Wisconsin,65,30
Leon Jacobs,OLB,Santa Clarita,CA,6'3'',215,,77,,78,,,2013,Wisconsin,Wisconsin,,
Matt Miller,OG,Maumee,OH,6'5'',260,,76,,57,,,2013,Wisconsin,Wisconsin,110,50
Donnell Vercher,S,Fresno,CA,6'1'',200,,76,,,,,2013,Wisconsin,Wisconsin, None, None
Austin Ramesh,OLB,Eagle River,WI,6'2'',230,,75,,6,,,2013,Wisconsin,Wisconsin,,
Keelon Brookins,CB,Oakdale,MN,5'11'',185,,75,,,,,2013,Wisconsin,Wisconsin,,
Hayden Biegel,OT,Wisconsin Rapids,WI,6'6'',240,,74,,,,,2013,Wisconsin,Wisconsin, None, None
Jazz Peavy,WR,Kenosha,WI,6'1'',169,,73,,178,,,2013,Wisconsin,Wisconsin,168,10
Troy Fumagalli,TE-Y,Aurora,IL,6'5'',220,,72,,32,,,2013,Wisconsin,Wisconsin,177,39
T.J. Watt,TE-H,Pewaukee,WI,6'4'',200,,71,,29,,,2013,Wisconsin,Wisconsin,,
Sam Raridon,DT,West Des Moines,IA,6'2'',260,,70,,,,,2013,Wisconsin,Wisconsin, None, None
Matt Hubley,ATH,Waukesha,WI,6'2'',205,,69,,177,,,2013,Wisconsin,Wisconsin,217,13
Jakarrie Washington,CB,Everett,MA,5'11'',170,,69,,110,,,2013,Wisconsin,Wisconsin,215,8
Arrington Farrar,S,College Park,GA,6'2'',201,4,80.0,,23,143,32,2015,Wisconsin,Wisconsin,,
Bradrick Shaw,RB,Birmingham,AL,6'1'',197,4,80.0,,29,,,2015,Wisconsin,Wisconsin,,
Jordan Stevenson,RB,Dallas,TX,5'9'',185,4,80.0,,32,59,48,2015,Wisconsin,Wisconsin,,
Austin Kafentzis,QB,Sandy,UT,6'1'',194,4,80.0,,12,59,4,2015,Wisconsin,Wisconsin,,
Kyle Penniston,TE,Santa Ana,CA,6'4'',235,4,80.0,,10,,,2015,Wisconsin,Wisconsin,,
David Edwards,ATH,Downers Grove,IL,6'6'',225,4,79.0,,48,,,2015,Wisconsin,Wisconsin,,
Jon Dietzen,OT,Seymour,WI,6'5'',305,4,79.0,,51,,,2015,Wisconsin,Wisconsin,,
Andrew James,WR,Fort Lauderdale,FL,5'11'',162,4,79.0,,78,,,2015,Wisconsin,Wisconsin,,
David Moorman,OT,Northville,MI,6'5'',275,4,79.0,,6,41,6,2015,Wisconsin,Wisconsin,,
Nick Thomas,ILB,Bradenton,FL,6'2'',222,4,78.0,,18,,,2015,Wisconsin,Wisconsin,,
Zack Baun,QB,Brown Deer,WI,6'2'',204,4,78.0,,,,,2015,Wisconsin,Wisconsin,,
Kevin Estes,OT,San Marcos,CA,6'6'',275,3,77.0,,70,,,2015,Wisconsin,Wisconsin,,
Serge Trezy,RB,Thatcher,AZ,6'2'',195,3,77.0,,8,,,2015,Wisconsin,Wisconsin,,
Alex Hornibrook,QB,Malvern,PA,6'4'',195,3,76.0,,6,,,2015,Wisconsin,Wisconsin,,
Olive Sagapolu,DT,Santa Ana,CA,6'2'',300,3,74.0,,84,215,139,2015,Wisconsin,Wisconsin,,
Chris Orr,OLB,DeSoto,TX,5'11'',212,3,74.0,,99,,,2015,Wisconsin,Wisconsin,,
Kraig Howe,DT,Kettering,OH,6'3'',255,3,74.0,,90,143,58,2015,Wisconsin,Wisconsin,,
David Pfaff,DT,Mequon,WI,6'3'',255,3,73.0,,101,,,2015,Wisconsin,Wisconsin,,
Titus Booker,ATH,Grayslake,IL,6'0'',182,3,73.0,,141,,,2015,Wisconsin,Wisconsin,,
Alec Ingold,QB,Green Bay,WI,6'1'',205,3,72.0,,59,,,2015,Wisconsin,Wisconsin,,
Jake Whalen,ILB,Wausau,WI,6'2'',220,NR,,,,,,2015,Wisconsin,Wisconsin,,
Tyler Beach,OT,Port Washington,WI,6'6'',275,,82.0,,19,13,1,2017,Wisconsin,Wisconsin,,
Kayden Lyles,OG,Middleton,WI,6'3'',323,,81.0,,18,,,2017,Wisconsin,Wisconsin,,
Andrew Van Ginkel,DE,Rock Valley,IA,6'4'',235,,80.0,,6,,,2017,Wisconsin,Wisconsin,,
Jake Ferguson,TE,Madison,WI,6'5'',209,,80.0,,6,,,2017,Wisconsin,Wisconsin,,
Danny Davis III,WR,Springfield,OH,6'2'',180,,80.0,,66,39,15,2017,Wisconsin,Wisconsin,,
Jonathan Taylor,RB,Salem,NJ,5'11'',208,,79.0,,41,,,2017,Wisconsin,Wisconsin,,
Logan Bruss,OG,Kimberly,WI,6'3'',250,,79.0,,39,,,2017,Wisconsin,Wisconsin,,
Cade Green,WR,Austin,TX,6'0'',170,,78.0,,115,,,2017,Wisconsin,Wisconsin,,
Jack Coan,QB-PP,West Sayville,NY,6'3'',190,,77.0,,29,98,6,2017,Wisconsin,Wisconsin,,
Aaron Vopal,DE,De Pere,WI,6'7'',250,,77.0,,6,85,6,2017,Wisconsin,Wisconsin,,
Izayah Green-May,OLB,Bolingbrook,IL,6'5'',205,,76.0,,57,93,18,2017,Wisconsin,Wisconsin,,
