Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank
Caden Curry,DT,Greenwood,IN,,6'5'',82.0,,17,,,2022,Ohio State,250,,
Carson Hinzman,OG,Hammond,WI,,6'4'',82.0,,5,,,2022,Ohio State,265,,
Tegra Tshabola,OT,West Chester,OH,,6'5'',82.0,,19,,,2022,Ohio State,335,26,7
Jyaire Brown,CB,West Chester,OH,,6'0'',82.0,,,,,2022,Ohio State,175,,
Dallan Hayden,RB,Memphis,TN,,5'11'',80.0,,27,,,2022,Ohio State,190,142,12
Kye Stokes,ATH,Seffner,FL,,6'2'',80.0,,33,,,2022,Ohio State,185,,
George Fitzpatrick,OT,Englewood,CO,,6'6'',80.0,,37,,,2022,Ohio State,260,88,2
Bennett Christian,TE-Y,Acworth,GA,,6'5'',79.0,,15,,,2022,Ohio State,230,247,57
Ryan Turner,CB,Hollywood,FL,,6'0'',78.0,,63,,,2022,Ohio State,185,266,89
Avery Henry,OT,Saint Clairsville,OH,,6'6'',74.0,,151,,,2022,Ohio State,325,170,49
DeaMonte Trayanum,RB,Akron,OH,,5'11'',,Ohio State,,,,2022,Ohio State,235,,
Tanner McCalister,CB,Rockwall,TX,,5'11'',,Ohio State,,,,2022,Ohio State,190,,
Brandon Inniss,WR,Plantation,FL,6'0'',190,,,5,18,10,2023,Ohio State,87.0,,
Jermaine Mathews,CB,Cincinnati,OH,6'0'',180,,,5,3,1,2023,Ohio State,86.0,,
Luke Montgomery,OT,Findlay,OH,6'5'',260,,,6,4,2,2023,Ohio State,86.0,,
Noah Rogers,WR,Rolesville,NC,6'2'',185,,,11,,,2023,Ohio State,86.0,,
Jason Moore,DT,Hyattsville,MD,6'6'',260,,,8,9,2,2023,Ohio State,85.0,,
Jelani Thurman,TE,Fairburn,GA,6'5'',230,,,1,51,6,2023,Ohio State,84.0,,
Calvin Simpson-Hunt,CB,Waxahachie,TX,5'11'',180,,,16,37,26,2023,Ohio State,83.0,,
Joshua Padilla,OG,Huber Heights,OH,6'3'',280,,,9,,,2023,Ohio State,82.0,,
Joshua Mickens,DE,Indianapolis,IN,6'4'',225,,,26,15,2,2023,Ohio State,82.0,,
Carnell Tate,WR,Bradenton,FL,6'2'',185,,,28,124,52,2023,Ohio State,81.0,,
Malik Hartford,S,West Chester,OH,6'3'',175,,,18,,,2023,Ohio State,81.0,,
Arvell Reese,OLB,Cleveland,OH,6'3'',215,,,6,,,2023,Ohio State,81.0,,
Cedrick Hawkins,S,Cocoa,FL,6'0'',170,,,24,,,2023,Ohio State,80.0,,
Jayden Bonsu,S,Jersey City,NJ,6'1'',195,,,26,,,2023,Ohio State,80.0,,
