Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,University,Reg_rank,State_rank
D.J. Brown,RB,Little Rock,AR,5'11'',181,,,,,,2015,Northern Illinois,,Northern Illinois,,
Ryan Roberts,TE-Y,Northville,MI,6'7'',227,,,,,,2015,Northern Illinois,,Northern Illinois,,
Kyle Pugh,ILB,Chicago Heights,IL,5'11'',213,,,NR,,,2015,Northern Illinois,,Northern Illinois,,
Daniel Crawford,TE-Y,Macomb,MI,6'3'',230,,,NR,,,2015,Northern Illinois,,Northern Illinois,,
Cassius Grady,CB,Arlington,TX,5'9'',175,,,NR,,,2015,Northern Illinois,,Northern Illinois,,
Max Morris,DE,West Des Moines,IA,6'2'',230,,,,,,2015,Northern Illinois,,Northern Illinois,,
Marcus Kelly,DE,Waukesha,WI,6'3'',230,,,NR,,,2015,Northern Illinois,,Northern Illinois,,
Trayshon Foster,S,Tuscaloosa,AL,6'0'',190,,,,,,2015,Northern Illinois,,Northern Illinois,,
Quintin Hoosman,RB,Plainfield,IL,5'11'',195,,,NR,,,2015,Northern Illinois,,Northern Illinois,NR,NR
Marquis Howard,OT,Montgomery,AL,6'6'',255,,,,,,2015,Northern Illinois,,Northern Illinois,,
Corey Kennedy,CB,Oswego,IL,5'9'',163,,,,,,2015,Northern Illinois,,Northern Illinois,,
Robert Kraklow,OG,Mukwonago,WI,6'4'',295,,,NR,,,2015,Northern Illinois,,Northern Illinois,NR,NR
Alex Schlee,OG,Germantown,WI,6'5'',285,,,NR,,,2015,Northern Illinois,,Northern Illinois,NR,NR
Scott Topole,OG,Cary,IL,6'5'',255,,,,,,2015,Northern Illinois,,Northern Illinois,,
Quintin Wynne,DT,Saint Louis,MO,6'1'',255,,,NR,,,2015,Northern Illinois,,Northern Illinois,NR,NR
Allen Letterer III,OLB,Hiawatha,KS,6'0'',195,,,,,,2015,Northern Illinois,,Northern Illinois,,
Jake Hlava,OLB,Batavia,IL,6'1'',210,,,,,,2015,Northern Illinois,,Northern Illinois,,
Mason Fleury,OLB,Hampshire,IL,6'1'',181,,,,,,2015,Northern Illinois,,Northern Illinois,,
Andrew Parchment,WR,Weston,FL,6'4'',185.0,Northern Illinois,,, None, None,2016,Northern Illinois,70.0,,,
Anthony Thompson,QB-DT,Chicago,IL,6'0'',196.0,Northern Illinois,,68,237,43,2016,Northern Illinois,68.0,,,
Andrew Gregory,S,Normal,IL,6'1'',197.0,Northern Illinois,,,,,2016,Northern Illinois,,,,
Jordan Robinson,WR,Miami,FL,6'2'',172.0,Northern Illinois,,, None, None,2016,Northern Illinois,,,,
Tyler Heflin,QB-PP,McDonough,GA,6'0'',196.0,Northern Illinois,,, None, None,2016,Northern Illinois,,,,
Benn Olson,OG,Burnsville,MN,6'4'',260.0,Northern Illinois,,, NR, NR,2016,Northern Illinois,,,,
Ezekiel Gueths,OT,Shawano,WI,6'5'',248.0,Northern Illinois,,,,,2016,Northern Illinois,,,,
Ben Leroy,DT,Wilmette,IL,6'2'',255.0,Northern Illinois,,,,,2016,Northern Illinois,,,,
Karon Keyes,WR,Lombard,IL,5'6'',145.0,Northern Illinois,,,,,2016,Northern Illinois,,,,
Daniel Isom,CB,Saint Louis,MO,5'10'',160.0,Northern Illinois,,, None, None,2016,Northern Illinois,,,,
Brayden Patton,OT,Ellettsville,IN,6'4'',265.0,Northern Illinois,,,,,2016,Northern Illinois,,,,
Corey Lersch,TE,McHenry,IL,6'3'',210.0,Northern Illinois,,, None, None,2016,Northern Illinois,,,,
Austin Warner,OG,Oswego,IL,6'3'',265.0,Northern Illinois,,, None, None,2016,Northern Illinois,,,,
Mitchell Brinkman,TE,Council Bluffs,IA,6'3'',235.0,Northern Illinois,,,,,2016,Northern Illinois,,,,
Marcus Childers,QB-DT,Adairsville,GA,6'0'',212.0,Northern Illinois,,NR, NR, NR,2016,Northern Illinois,,,,
Lance Deveaux Jr.,S,Fort Lauderdale,FL,6'0'',190.0,Northern Illinois,,NR, NR, NR,2016,Northern Illinois,,,,
Ryan Gibbons,WR,Park Ridge,IL,5'11'',175.0,Northern Illinois,,NR,,,2016,Northern Illinois,,,,
Justin Knauf,K,Rockford,IL,5'10'',153.0,Northern Illinois,,, None, None,2016,Northern Illinois,,,,
Ivan Smith,RB,Homestead,FL,5'11'',170.0,Northern Illinois,,NR,,,2016,Northern Illinois,,,,
Antonio Cannon,RB,Oak Park,IL,5'9'',180.0,Northern Illinois,,, None, None,2016,Northern Illinois,,,,
Alton Meeks,OLB,Orlando,FL,,,Northern Illinois,,NR, NR, NR,2016,Northern Illinois,,,,
Jalen Embry,DE,Detroit,MI,6'0'',184.0,Northern Illinois,,, None, None,2016,Northern Illinois,,,,
John Richardson,K,Chicago,IL,5'11'',180,Northern Illinois,,27,,,2018,Northern Illinois,73,,145,32
Antwain Walker,CB,Oswego,IL,6'1'',169,Northern Illinois,,,,,2018,Northern Illinois,72,,,
Justin Hall,RB,Flossmoor,IL,5'10'',179,Northern Illinois,,100,,,2018,Northern Illinois,72,,167,37
Reggie Jennings,OLB,Brookfield,WI,6'2'',215,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Zhamaine March,CB,Detroit,MI,5'8'',165,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Joseph Bonds,OLB,Chicago,IL,6'2'',210,Northern Illinois,,NR,,,2018,Northern Illinois,NR,,NR,NR
Marques Cox,OT,Peoria,IL,6'5'',290,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Charles Robinson,TE,Aurora,IL,6'3'',202,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Leon Payne,WR,Chicago,IL,5'11'',161,Northern Illinois,,NR,,,2018,Northern Illinois,NR,,NR,NR
Fotis Kokosioulis,RB,Park Ridge,IL,5'9'',167,Northern Illinois,,NR,,,2018,Northern Illinois,NR,,NR,NR
Devin Haney,CB,Kansas City,MO,6'2'',165,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Mike DeHaan,DE,Tinley Park,IL,6'5'',227,Northern Illinois,,NR,,,2018,Northern Illinois,NR,,,
Queneil Morrison,DT,Chicago,IL,6'3'',310,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Kewan Parker,S,Miami,FL,5'11'',190,Northern Illinois,,NR,,,2018,Northern Illinois,NR,,NR,NR
Jyran Mitchell,QB,DTOlympia Fields,IL,5'11'',188,Northern Illinois,,NR,,,2018,Northern Illinois,NR,,NR,NR
J.D. Harris,CB,Columbus,IN,5'10'',164,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Cortez Hogans,OLB,Palatine,IL,6'3'',193,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Erick Doke,RB,Kenosha,WI,6'1'',210,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Jeffrey Griffin,DE,Flossmoor,IL,6'1'',234,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Nolan Potter,OT,Cedar Falls,IA,6'6'',257,Northern Illinois,,NR,,,2018,Northern Illinois,NR,,NR,NR
Legend Moore,ATH,Miami,FL,6'0'',180,Northern Illinois,,NR,,,2018,Northern Illinois,NR,,NR,NR
Amir Brummett,ATH,Decatur,IL,6'2'',185,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Jiya Wright,QB,DTFort Wayne,IN,5'11'',195,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
Caleb Wright,DE,Brookfield,WI,6'2'',230,Northern Illinois,,,,,2018,Northern Illinois,NR,,,
C.J. Perez,OC,JC,Overland Park,KS,6'2'',NR,,,,,2018,Northern Illinois,270,Northern Illinois,,
Chamaar Smith,DE,Indianapolis,IN,6'1'',230.0,Northern Illinois,,179,,,2019,Northern Illinois,74,,163,18
Fabian McCray,WR,Chicago,IL,6'1'',177.0,Northern Illinois,,180,,,2019,Northern Illinois,73,,,
Mariano Valenti,QB-DT,Fort Lauderdale,FL,6'2'',215.0,Northern Illinois,,51,,,2019,Northern Illinois,70,,,
Mohamed Toure,WR,Irvington,NJ,6'2'',192.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Romel Goston,CB,Chicago,IL,6'0'',170.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Justin Clark,S,Oswego,IL,6'0'',187.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Messiah Travis,WR,Chicago,IL,5'10'',174.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Demond Taylor,DT,East Saint Louis,IL,6'2'',256.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Tom Trieb,ATH,Buffalo Grove,IL,6'1'',215.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Camron Mattox,DE,Country Club Hills,IL,6'2'',200.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Michael Love,WR,La Grange Park,IL,5'8'',170.0,Northern Illinois,,NR,,,2019,Northern Illinois,,,NR,NR
Mark Aitken,CB,Chicago,IL,5'7'',165.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Thomas Brunner,DE,Whitefish Bay,WI,6'4'',231.0,Northern Illinois,,NR,,,2019,Northern Illinois,,,,
James Ester,DE,Detroit,MI,6'2'',236.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Logan Zschernitz,OG,Spencer,WI,6'3'',290.0,Northern Illinois,,NR,,,2019,Northern Illinois,,,NR,NR
Leif Engstrand,OT,Oconomowoc,WI,6'7'',290.0,Northern Illinois,,NR,,,2019,Northern Illinois,,,NR,NR
Tyrik Henderson,CB,Oakdale,CT,5'10'',165.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Tyrice Richie,WR,Flossmoor,IL,5'11'',190.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
Reece Heyerdahl,DT,Neenah,WI,6'2'',250.0,Northern Illinois,,,,,2019,Northern Illinois,,,,
J.J. Lippe,OG,Whitefish Bay,WI,6'4'',275.0,Northern Illinois,,NR,,,2019,Northern Illinois,,,,
Tristen Tewes,TE-HPleasant Plains,IL,6'3'',215,,,,,,,2019,Northern Illinois,Northern Illinois,,,
Nick Rattin,OLB,Palatine,IL,6'2'',185.0,Northern Illinois,,NR,,,2019,Northern Illinois,,,,
