Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University,University  , Reg_rank, State_rank,School,School  
Roy Hemsley,OT,Los Angeles,CA,6'5'',285,77,,,,,,2015,Southern California,USC,,,,,
Deontay Burnett,WR,Gardena,CA,6'0'',151,76,,,,,,2015,Southern California,USC,,,,,
Dominic Davis,S,Mission Hills,CA,5'10'',175,74,,,,,,2015,Southern California,USC,,,,,
Joseph Lewis,WR,Los Angeles,CA,6'2'',207,,89,,16,4,3,2017,Southern California,USC,,,,,
Stephen Carr,RB,Fontana,CA,6'0'',203,,86,,3,,,2017,Southern California,USC,,,,,
Austin Jackson,OT,Phoenix,AZ,6'5'',260,,85,,9,,,2017,Southern California,USC,,,,,
Alijah Vera-Tucker,OT,Oakland,CA,6'4'',270,,85,,,,,2017,Southern California,USC,,,,,
Levi Jones,OLB,Austin,TX,6'3'',215,,84,,4,14,13,2017,Southern California,USC,,,,,
Josh Falo,TE-H,Sacramento,CA,6'5'',235,,84,,1,,,2017,Southern California,USC,,,,,
Jack Sears,QB-PP,San Clemente,CA,6'3'',202,,83,,5,18,12,2017,Southern California,USC,,,,,
Marlon Tuipulotu,DT,Independence,OR,6'3'',295,,83,,8,20,1,2017,Southern California,USC,,,,,
Hunter Echols,DE,Los Angeles,CA,6'4'',232,,83,,,,,2017,Southern California,USC,,,,,
Greg Johnson,ATH,Los Angeles,CA,5'10'',183,,83,,116,,,2017,Southern California,USC,,,,,
Jay Tufele,DT,South Jordan,UT,6'3'',297,,83,,9,23,1,2017,Southern California,USC,,,,,
Bubba Bolden,S,Las Vegas,NV,6'3'',188,,83,,11,,,2017,Southern California,USC,,,,,
Brett Neilon,OG,Rancho Santa Margarita,CA,6'2'',279,,82,,,,,2017,Southern California,USC,,,,,
Isaiah Pola-Mao,ATH,Phoenix,AZ,6'4'',196,,81,,15,39,2,2017,Southern California,USC,,,,,
Andrew Vorhees,OT,Kingsburg,CA,6'6'',293,,80,,37,,,2017,Southern California,USC,,,,,
Jacob Lichtenstein,DE,Weston,FL,6'5'',236,,80,,35,,,2017,Southern California,USC,,,,,
Randal Grimes,WR,Las Vegas,NV,6'4'',205,,79,,84,74,7,2017,Southern California,USC,,,,,
Jalen McKenzie,OG,Concord,CA,6'5'',307,,78,,40,90,52,2017,Southern California,USC,,,,,
Brandon Pili,DT,Portland,OR,6'4'',310,,78,,50,95,6,2017,Southern California,USC,,,,,
Erik Krommenhoek,TE-Y,Danville,CA,6'6'',243,,78,,16,,,2017,Southern California,USC,,,,,
Juliano Falaniko,S,Pago Pago,AS,6'4'',202,,77,,48,2,1,2017,Southern California,USC,,,,,
Tayler Katoa,OLB,Layton,UT,6'2'',222,,77,,8,,,2017,Southern California,USC,,,,,
Je'Quari Godfrey-Baggett,CB,Oakland,CA,6'1'',175,,72,,,,,2017,Southern California,USC,,,,,
Devon Williams,ATH,Lancaster,CA,6'5'',191,89,USC  ,,1,1,1,2018,Southern California,,,,,,
Palaie Gaoteote,ILB,Las Vegas,NV,6'2'',235,88,USC  ,,18,,,2018,Southern California,,,,,,
Amon-Ra St. Brown,WR,Anaheim,CA,6'0'',191,86,USC  ,,3,,,2018,Southern California,,,,,,
J.T. Daniels,QB-PP,Santa Ana,CA,6'2'',217,85,USC  ,,3,8,3,2018,Southern California,,,,,,
Olaijah Griffin,CB,Mission Viejo,CA,6'0'',174,85,USC  ,,9,,,2018,Southern California,,,,,,
Isaac Taylor-Stuart,CB,San Diego,CA,6'2'',192,85,USC  ,,78,14,8,2018,Southern California,,,,,,
Chase Williams,ATH,Corona,CA,6'2'',188,83,USC  ,,15,28,18,2018,Southern California,,,,,,
Justin Dedich,OC,Temecula,CA,6'3'',290,82,USC  ,,3,,,2018,Southern California,,,,,,
Raymond Scott,OLB,Harbor City,CA,6'1'',222,82,USC  ,,6,35,22,2018,Southern California,,,,,,
Solomon Tuliaupupu,ILB,Santa Ana,CA,6'3'',218,82,USC  ,,6,,,2018,Southern California,,,,,,
Caleb Tremblay,DT (JC),Sacramento,CA,6'5'',270,82,USC  ,,7th,,,2018,Southern California,,,,,,
Talanoa Hufanga,ATH,Corvallis,OR,6'1'',193,82,USC  ,,19,,,2018,Southern California,,,,,,
Markese Stepp,RB,Indianapolis,IN,6'0'',228,81,USC  ,,14,,,2018,Southern California,,,,,,
Trevor Trout,DT,Saint Louis,MO,6'4'',321,80,USC  ,,26,66,6,2018,Southern California,,,,,,
Abdul-Malik McClain,DE,San Juan Capistrano,CA,6'4'',221,79,USC  ,,45,,,2018,Southern California,,,,,,
Eli'jah Winston,OLB,Portland,OR,6'3'',234,78,USC  ,,94,166,103,2018,Southern California,,,,,,
Kana'i Mauga,OLB,Waianae,HI,6'1'',208,76,USC  ,,,,,2018,Southern California,,,,,,
Liam Douglass,OT,North Hollywood,CA,6'5'',263,76,USC,,,,,2018,Southern California,,,,,,
Kyle Ford,WR,Orange,CA,6'2'',209.0,5,85,,57,10,9,2019,Southern California,USC,,,,,
Maninoa Tufono,ILB,Honolulu,HI,6'3'',226.0,4,84,,3,21,,2019,Southern California,USC,,,,,
Drake Jackson,DE,Corona,CA,6'4'',260.0,3,83,,16,,,2019,Southern California,USC,,,,,
Max Williams,CB,Gardena,CA,5'9'',170.0,3,83,,16,,,2019,Southern California,USC,,,,,
Briton Allen,S,Bradenton,FL,,,82,USC,,13,,,2019,Southern California,,,,,,
Drake London,WR,Moorpark,CA,6'4'',205.0,2,81,,40,42,30,2019,Southern California,USC,,,,,
Jason Rodriguez,OT,Hesperia,CA,6'5'',320.0,2,80,,32,,,2019,Southern California,USC,,,,,
Jude Wolfe,TE-Y,Bellflower,CA,6'6'',244.0,2,80,,8,,,2019,Southern California,USC,,,,,
Adonis Otey,ATH,Murfreesboro,TN,6'0'',170.0,2,80,,30,,,2019,Southern California,USC,,,,,
Kedon Slovis,QB-PP,Scottsdale,AZ,6'3'',186.0,2,80,,17,62,8,2019,Southern California,USC,,,,,
Kenan Christon,RB,San Diego,CA,5'10'',174.0,2,80,,26,,,2019,Southern California,USC,,,,,
Ethan Rae,TE-Y,Orange,CA,6'5'',239.0,2,80,,9,,,2019,Southern California,USC,,,,,
Nick Figueroa,DE (JC),Riverside,CA,6'4'',270.0,2,80,,25th,,,2019,Southern California,USC,,,,,
Stanley Taufoou,ILB,Simi Valley,CA,6'1'',240.0,2,79,,15,,,2019,Southern California,USC,,,,,
Munir McClain,WR,San Juan Capistrano,CA,6'3'',200.0,2,79,,68,,,2019,Southern California,USC,,,,,
De'jon Benton,DT,Pittsburg,CA,6'2'',266.0,2,77,,64,,,2019,Southern California,USC,,,,,
Trey Davis,CB,Federal Way,WA,6'0'',180.0,2,77,,77,,,2019,Southern California,USC,,,,,
Ralen Goforth,OLB,Bellflower,CA,6'2'',224.0,2,77,,148,,,2019,Southern California,USC,,,,,
Tuasivi Nomura,OLB,Corona,CA,6'1'',195.0,2,76,,15,,,2019,Southern California,USC,,,,,
Jaylen Watson,CB (JC),Ventura,CA,6'2'',195.0,2,76,,177,,,2019,Southern California,USC,,,,,
Jayden Williams,S,Corona,CA,5'11'',186.0,2,75,,88,255,187,2019,Southern California,USC,,,,,
Dorian Hewett,S,Houston,TX,5'11'',175.0,2,75,,191,86,13,2019,Southern California,USC,,,,,
Gino Quinones,DT,Honolulu,HI,6'3'',280.0,2,75,,,,,2019,Southern California,USC,,,,,
Tilini Livai,OG,Harbor City,CA,6'3'',300.0,2,74,,98,,,2019,Southern California,USC,,,,,
Kaulana Makaula,S,Honolulu,HI,6'2'',177.0,2,74,,,,,2019,Southern California,USC,,,,,
Ben Griffiths,K (TR),Melbourne,AUS,,,TR,USC,,,,,2019,Southern California,,,,,,
Korey Foreman,DE,Corona,CA,6'4'',265,91.0,USC  ,,3,,,2021,Southern California,,,1,1,,
Jaxson Dart,QB-PP,Draper,UT,6'3'',210,89.0,USC  ,,,,,2021,Southern California,,, None, None,,
Miller Moss,QB-PP,Mission Hills,CA,6'2'',200,87.0,USC  ,,7,,,2021,Southern California,,,6,2,,
Raesjon Davis,OLB,Santa Ana,CA,6'0'',210,86.0,USC  ,,6,,,2021,Southern California,,,8,4,,
Ceyair Wright,CB,Los Angeles,CA,6'0'',175,84.0,USC  ,,6,,,2021,Southern California,,,17,10,,
Kyron Ware-Hudson,ATH,Santa Ana,CA,6'0'',195,84.0,USC  ,,8,,,2021,Southern California,,,19,11,,
Julien Simon,ATH,Tacoma,WA,6'2'',220,84.0,USC  ,,11,,,2021,Southern California,,,,,,
Michael Trigg,TE-H,Seffner,FL,6'4'',210,83.0,USC  ,,3,,,2021,Southern California,,,70,26,,
Anthony Beavers,ATH,Harbor City,CA,6'1'',178,83.0,USC  ,,14,,,2021,Southern California,,,,,,
Jay Toia,OG,Simi Valley,CA,6'2'',310,83.0,USC  ,,7,,,2021,Southern California,,,,,,
Brandon Campbell,RB,Rosenberg,TX,5'10'',190,80.0,USC  ,,14,,,2021,Southern California,,,62,52,,
Lake McRee,TE-H,Austin,TX,6'4'',210,80.0,USC  ,,7,,,2021,Southern California,,,66,55,,
