Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University ,School
Darrell Colbert Jr.,QB-DT,Houston,TX,5'11'',184,SMU,,32,,,2014,Southern Methodist,74,257,194,,
Tony Richards,OT,Dallas,TX,6'5'',255,SMU,,103,,,2014,Southern Methodist,74,258,195,,
Jordan Severt,QB-PP,Austin,TX,6'4'',224,SMU,,57,,,2014,Southern Methodist,74,,,,
Ryheem Malone,ATH,Bellaire,TX,5'8'',158,SMU,,,,,2014,Southern Methodist,74, None, None,,
William Barns,OC,LQ,Dallas,TX,6'3'',73,SMU,,,,2014,Southern Methodist,260,,,,
Courtland Sutton,S,Brenham,TX,6'3'',195,SMU,,108,,,2014,Southern Methodist,73,291,216,,
Jordan Ingram,WR,Dallas,TX,5'11'',168,SMU,,,,,2014,Southern Methodist,73, None, None,,
Jordan Wyatt,S,Wylie,TX,6'0'',171,SMU,,,,,2014,Southern Methodist,73,115,306,,
Chad Pursley,OT,Mansfield,TX,6'4'',237,SMU,,,,,2014,Southern Methodist,73, None, None,,
William Jeanlys,ATH,Boca Raton,FL,6'1'',169,SMU,,157,,,2014,Southern Methodist,72,,,,
Anthony Rhone,OLB,Texarkana,TX,6'0'',205,SMU,,141,,,2014,Southern Methodist,72,,,,
Kyran Mitchell,OLB,Houston,TX,6'0'',205,SMU,,151,,,2014,Southern Methodist,70,,,,
Caleb Tuiasosopo,ILB,Copperas Cove,TX,6'3'',248,SMU,,9,,,2014,Southern Methodist,69,,,,
Darius Durall,RB,Rosenberg,TX,5'9'',185,SMU,,164,,,2014,Southern Methodist,67,,,,
Nick Natour,OG,Frisco,TX,6'4'',285,SMU,,NR,,,2014,Southern Methodist,NR,,,,
J.R. Reed,S,Plano,TX,6'1'',171,SMU,,,,,2014,Southern Methodist,NR,,,,
Anthony Wilkinson Jr.,WR,Broken Arrow,OK,5'11'',175,SMU,,,,,2014,Southern Methodist,NR, None, None,,
Jackson Koonce,K,Oceanside,CA,6'2'',160,SMU,,,,,2014,Southern Methodist,NR, None, None,,
Shaun Kagawa,CB,Hilo,HI,5'11'',188,SMU,,,,,2014,Southern Methodist,NR,,,,
Elijah Anglin,ILB,Pearland,TX,6'3'',224,SMU,,,,,2014,Southern Methodist,NR,,,,
Bozidar Antumovic,DT,Tucson,AZ,6'6'',270,SMU,,,,,2014,Southern Methodist,TR,,,,
James Proche II,WR,DeSoto,TX,6'0'',181,SMU ,,38,63,52,2015,Southern Methodist,80.0,,,,
Ben Hicks,QB-PP,Waco,TX,6'2'',194,SMU ,,22,,,2015,Southern Methodist,80.0,,,,
Kevin Thomas,WR,DeSoto,TX,6'1'',178,SMU ,,79,107,87,2015,Southern Methodist,79.0,,,,
Hunter Herndon,QB-DT,Forney,TX,6'4'',228,SMU ,,27,151,126,2015,Southern Methodist,77.0,,,,
Chris Biggurs,DE,Coppell,TX,6'1'',240,SMU  ,,177,82,145,2015,Southern Methodist,76.0,,,,
Marcus McNeil,OG,San Antonio,TX,6'3'',300,SMU ,,72,,,2015,Southern Methodist,76.0,,,,
Bryce Wilds,OT,Freeport,TX,6'6'',301,SMU ,,104,190,155,2015,Southern Methodist,76.0,,,,
Joshua Williams,K,Rowlett,TX,5'11'',180,SMU ,,17,,,2015,Southern Methodist,74.0,,,,
Hunter Thedford,TE-Y,Comanche,TX,6'6'',209,SMU ,,29,264,210,2015,Southern Methodist,73.0,,,,
Michael Scott,OLB,Houston,TX,6'3'',220,SMU  ,,NR,,,2015,Southern Methodist,,,,,
Xavier Castille,WR,Rockwall,TX,5'10'',195,SMU ,,,,,2015,Southern Methodist,,,,,
Jordon Williams,OLB,Houston,TX,6'1'',194,SMU ,,,,,2015,Southern Methodist,,,,,
Braeden West,RB,Katy,TX,5'11'',168,SMU ,,, None, None,2015,Southern Methodist,,,,,
Austin Corbett,OLB,Plano,TX,6'4'',215,SMU ,,NR,NR,NR,2015,Southern Methodist,,,,,
