Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School,University 
Zachary McCloud,OLB,Lantana,FL,6'2'',220,82.0,Miami,,11,82,31,2016,Miami (FL),,,,
Travis Homer,RB,West Palm Beach,FL,5'11'',195,82.0,Miami,,10,,,2016,Miami (FL),,,,
Joseph Jackson,DE,Miami,FL,6'5'',237,82.0,Miami,,23,89,34,2016,Miami (FL),,,,
Ahmmon Richards,WR,Wellington,FL,6'2'',175,82.0,Miami,,31,101,41,2016,Miami (FL),,,,
Romeo Finley,S,Niceville,FL,6'1'',200,81.0,Miami,,12,117,44,2016,Miami (FL),,,,
Cedrick Wright,S,Miami,FL,5'9'',179,80.0,Miami,,20,143,50,2016,Miami (FL),,,,
Jovani Haskins,TE-Y,Bergenfield,NJ,6'4'',230,79.0,Miami,,15,62,13,2016,Miami (FL),,,,
Malek Young,CB,Coconut Creek,FL,5'10'',189,78.0,Miami,,34,284,102,2016,Miami (FL),,,,
Michael Pinckney,ILB,Jacksonville,FL,6'0'',213,78.0,Miami,,20,295,106,2016,Miami (FL),,,,
Michael Irvin Jr.,WR,Fort Lauderdale,FL,6'3'',215,77.0,Miami,,117,,,2016,Miami (FL),,,,
Jeff James Jr.,S,Orlando,FL,6'1'',185,77.0,Miami,,57,354,118,2016,Miami (FL),,,,
Tyreic Martin,DE,Valley,AL,6'3'',265,76.0,Miami,,88,,,2016,Miami (FL),,,,
Tre Johnson,DT,Orlando,FL,6'6'',285,71.0,Miami,,106,,,2016,Miami (FL),,,,
Gerald Willis,DT (TR),New Orleans,LA,6'4'',285,,Miami,,,,,2016,Miami (FL),,,,
Jeff Thomas,WR,East Saint Louis,IL,5'10'',170,85,Miami,,8,,,2017,Miami (FL),3,1,,
D.J. Johnson,DE,Sacramento,CA,6'5'',240,84,Miami,,5,,,2017,Miami (FL),,,,
N'Kosi Perry,QB, Ocala,FL,6'4'',178,84,Miami,,7,,,2017,Miami (FL),42,18,,
Navaughn Donaldson,OG,Miami,FL,6'6'',345,84,Miami,,12,,,2017,Miami (FL),48,20,,
Kai-Leon Herbert,OT,Plantation,FL,6'5'',282,84,Miami,,11,,,2017,Miami (FL),54,21,,
Robert Burns,RB,Miami,FL,5'11'',215,83,Miami,,8,,,2017,Miami (FL),NR,NR,,
Jhavonte Dean,CB,Homestead,FL,6'2'',180,83,Miami,,16,,,2017,Miami (FL),108,31,,
DeeJay Dallas,ATH,Brunswick,GA,6'0'',190,81,Miami,,16,,,2017,Miami (FL),,,,
Amari Carter,S,Palm Beach Gardens,FL,6'1'',180,81,Miami,,26,,,2017,Miami (FL),,,,
Trajan Bandy,CB,Miami,FL,5'10'',182,81,Miami,,21,,,2017,Miami (FL),124,43,,
Jonathan Garvin,DE,Lake Worth,FL,6'4'',222,80,Miami,,42,,,2017,Miami (FL),,,,
Mike Harley,WR,Fort Lauderdale,FL,5'9'',155,80,Miami,,11,,,2017,Miami (FL),,,,
De'Andre Wilder,OLB,Miami,FL,6'1'',189,80,Miami,,23,,,2017,Miami (FL),,,,
Brian Polendey,TE,Denton,TX,6'5'',223,79,Miami,,81,,,2017,Miami (FL),,,,
Cade Weldon,QB,Tampa,FL,6'3'',204,79,Miami,,42,,,2017,Miami (FL),,,,
Evidence Njoku,WR,Wayne,NJ,6'4'',195,79,Miami,,46,,,2017,Miami (FL),51,5,,
