Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University  , Reg_rank, State_rank,University,School
Leonard Floyd,DE,Eastman,GA,6'4'',220,,79.0,,29,,,2012,Georgia,,124,25,Georgia,
James Deloach,DE,Millen,GA,6'3'',260,,79.0,,36,,,2012,Georgia,,139,31,Georgia,
Faton Bauta,QB,Palm Beach Gardens,FL,6'2'',222,,79.0,,29,,,2012,Georgia,,172,60,Georgia,
Josh Dawson,DE,Tucker,GA,6'4'',225,,79.0,,44,,,2012,Georgia,,,,Georgia,
Blake Tibbs,WR,Lithonia,GA,6'1'',167,,78.0,,80,,,2012,Georgia,,,,Georgia,
Quayvon Hicks,ATH,Blackshear,GA,6'2'',252,,78.0,,78,,,2012,Georgia,,273,64,Georgia,
Marshall Morgan,K,Fort Lauderdale,FL,6'3'',195,,78.0,,5,,,2012,Georgia,,299,104,Georgia,
Greg Pyke,OT,Baltimore,MD,6'5'',315,,77.0,,97,,,2012,Georgia,,,,Georgia,
Collin Barber,K,Cartersville,GA,6'1'',200,,77.0,,9,,,2012,Georgia,,400,88,Georgia,
Sheldon Dawson,CB,Memphis,TN,5'11'',180,,75.0,,518,,,2012,Georgia,,69,28,Georgia,
Mark Beard,OG,Adamsville,AL,6'3'',290,,,,,,,2012,Georgia,, None, None,Georgia,
Lorenzo Carter,DT,Denorcross,GA,6'5'',234.0,90.0,Georgia Bulldogs,,3,6,2,2014,Georgia,,,,,
Sony Michel,RB,Plantation,FL,5'11'',194.0,88.0,Georgia Bulldogs,,2,10,1,2014,Georgia,,,,,
Lamont Gaillard,DT,Fayetteville,NC,6'4'',300.0,84.0,Georgia Bulldogs,,4,,,2014,Georgia,,,,,
Nick Chubb,RB,Cedartown,GA,5'11'',217.0,84.0,Georgia Bulldogs,,,,,2014,Georgia,,,,,
Malkom Parrish,ATH,Quitman,GA,5'10'',185.0,84.0,Georgia Bulldogs,,10,,,2014,Georgia,,,,,
Jacob Park,QB,Goose Creek,SC,6'4'',206.0,84.0,Georgia Bulldogs,,4,53,2,2014,Georgia,,,,,
Jeb Blazevich,TE,Charlotte,NC,6'5'',233.0,83.0,Georgia Bulldogs,,2,55,7,2014,Georgia,,,,,
Isaiah Wynn,OG,Saint Petersburg,FL,6'2'',274.0,83.0,Georgia Bulldogs,,6,,,2014,Georgia,,,,,
Keyon Brown,DE,Wauchula,FL,6'3'',235.0,83.0,Georgia Bulldogs,,19,,,2014,Georgia,,,,,
Shattle Fenteng,CB,Loganville,GA,6'1'',185.0,82.0,Georgia Bulldogs,,1,,3,2014,Georgia,,,,,
Isaiah McKenzie,ATH,Plantation,FL,5'8'',160.0,81.0,Georgia Bulldogs,,36,,,2014,Georgia,,,,,
Shakenneth Williams,WR,Macon,GA,6'1'',196.0,81.0,Georgia Bulldogs,,45,,,2014,Georgia,,,,,
Dyshon Sims,OT,Valdosta,GA,6'4'',265.0,81.0,Georgia Bulldogs,,20,155,29,2014,Georgia,,,,,
Kendall Baker,DT,Atlanta,GA,6'5'',284.0,79.0,Georgia Bulldogs,,50,258,48,2014,Georgia,,,,,
Jake Edwards,OT,Franklin,GA,6'4'',270.0,78.0,Georgia Bulldogs,,46,,,2014,Georgia,,,,,
Rico Johnson,WR,Swainsboro,GA,5'11'',180.0,76.0,Georgia Bulldogs,,,,,2014,Georgia,,,,,
Gilbert Johnson,WR,Homestead,FL,6'4'',190.0,75.0,Georgia Bulldogs,,,,,2014,Georgia,,,,,
Detric Dukes,OLB,Tucker,GA,6'1'',225.0,74.0,Georgia Bulldogs,,107,518,108,2014,Georgia,,,,,
Dominick Sanders,ATH,Tucker,GA,5'11'',174.0,74.0,Georgia Bulldogs,,,,,2014,Georgia,,,,,
Shaquille Jones,CB,Merritt Island,FL,6'1'',170.0,70.0,Georgia Bulldogs,,113,747,276,2014,Georgia,,,,,
Hunter Atkinson,TE,Oakwood,GA,6'5'',250.0,,Georgia Bulldogs,,NR,NR,NR,2014,Georgia,,,,,
Trenton Thompson,DT,Albany,GA,6'4'',311,Not Rated,93,,,,,2015,Georgia,, None, None,Georgia,
Roquan Smith,OLB,Montezuma,GA,6'2'',204,Not Rated,88,,2,,,2015,Georgia,,15,5,Georgia,
Terry Godwin,ATH,Hogansville,GA,6'0'',170,Not Rated,87,,5,,,2015,Georgia,,,,Georgia,
Jonathan Ledbetter,DT,Tucker,GA,6'4'',276,Not Rated,84,,61,,,2015,Georgia,,34,10,Georgia,
Rashad Roundtree,SE,Evans,GA,6'1'',195,Not Rated,84,,4,,,2015,Georgia,,39,11,Georgia,
Natrez Patrick,DE,Atlanta,GA,6'4'',254,Not Rated,83,,12,,,2015,Georgia,,,,Georgia,
Chauncey Rivers,DE,Stone Mountain,GA,6'3'',252,Not Rated,83,,13,,,2015,Georgia,,66,18,Georgia,
Jayson Stanley,WR,Fairburn,GA,6'2'',205,Not Rated,82,,17,,,2015,Georgia,,,,Georgia,
Rico McGraw,S,Nashville,TN,6'0'',200,Not Rated,82,,10,,,2015,Georgia,,81,4,Georgia,
Jackson Harris,TE,Columbia,TN,6'6'',250,Not Rated,81,,5,,,2015,Georgia,,98,8,Georgia,
Pat Allen,OT,Reisterstown,MD,6'6'',282,Not Rated,81,,19,,,2015,Georgia,,24,2,Georgia,
Sage Hardin,OT,Atlanta,GA,6'6'',260,Not Rated,81,,24,,,2015,Georgia,,119,27,Georgia,
D'Andre Walker,DE,Fairburn,GA,6'3'',213,Not Rated,81,,21,,,2015,Georgia,,,,Georgia,
Michael Barnett,DE,Dorchester,SC,6'5'',251,Not Rated,81,,26,,,2015,Georgia,,,,Georgia,
