Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,State_rank ,State_rank  
Teagan Wilk,CB,Berwick,PA,Berwick Senior High School,5'9'',73,East Carolina,135,,,2020,East Carolina,171,202,38,,
David Laney,ATH,Highland Springs,VA,Highland Springs High School,6'0'',73,East Carolina,120,,,2020,East Carolina,175,792,39,,
Rahjai Harris,RB,Duncan,SC,James Byrnes High School,5'10'',73,East Carolina,190,,,2020,East Carolina,210,808,60,,
D'Anta Johnson,DT,Dinwiddie,VA,Dinwiddie County Senior H. S.,6'2'',72,East Carolina,130,,,2020,East Carolina,265,,,,
Jason Romero Jr.,DE,Laurinburg,NC,Scotland High School,6'4'',72,East Carolina,194,,,2020,East Carolina,225,260,49,,
Kareem Stinson,DT,Matthews,NC,,6'3'',71,East Carolina,194,,,2020,East Carolina,270,268,55,,
Nasir Clerk,CB,Irvington,NJ,Irvington High School,6'1'',71,East Carolina,165,,,2020,East Carolina,165,1039,224,,
Walt Stribling,OT,Palmyra,VA,Fluvanna County High School,6'5'',70,East Carolina,95,,,2020,East Carolina,310,440,326,,
Keaton Mitchell,RB,McDonough,GA,Eagles Landing Christian Academy,5'9'',70,East Carolina,NR,,,2020,East Carolina,170,,,,
Ryan Stubblefield,QB-PP,Richmond,TX,Foster High School,5'10'',70,East Carolina,,,,2020,East Carolina,185,,,,
Robert Kennedy,S (JC),Jeannette,PA,Lackawanna College,5'10'',NR,East Carolina,,,,2020,East Carolina,180,,,,
Isaiah Kemp,CB (TR),Wilmington,NC,,6'2'',TR,East Carolina,,,,2020,East Carolina,175,,,,
Joseph McKay,RB,Phenix City,AL,6'0'',215,East Carolina,,34,,,2021,East Carolina,78,224,,,16
Jalen Clyatt,S,Hyattsville,MD,,6'3'',77,East Carolina,53,,,2021,East Carolina,180,86,,,
Walter Simmons III,QB-DT,Orange Park,FL,6'1'',175,East Carolina,,19,,,2021,East Carolina,76,,,,
Cruz Temple,OLB,Abbeville,SC,5'11'',205,East Carolina,,,,,2021,East Carolina,76,,,,
Jacob Coleman,OLB,Chesterfield,VA,6'3'',215,East Carolina,,92,,,2021,East Carolina,75,128,,,
