Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Elijah Queen,WR,Harbor City,CA,6'4'',190,71.0,New Mexico,,311,,,2020,New Mexico,,,
Jermarques Bailey,OT,Houston,TX,6'5'',320,71.0,New Mexico,,190,,,2020,New Mexico,407,303,
Ian Shewell,DT,Gilbert,AZ,6'3'',250,70.0,New Mexico,,148,,,2020,New Mexico,358,51,
Gregory Brown,OG,Pearland,TX,6'3'',270,70.0,New Mexico,,184,,,2020,New Mexico,420,312,
Elijah Lash,ATH,Walnut Creek,CA,6'3'',240,70.0,New Mexico,,203,,,2020,New Mexico,,,
Isaak Gutierrez,OC,Eureka,CA,6'3'',285,68.0,New Mexico,,2,,,2020,New Mexico,,,
Ray Leutele,ILB,Santa Ana,CA,5'11'',210,,New Mexico,,NR,,,2020,New Mexico, NR,,
Bryce Santana,DE,Los Lunas,NM,6'2'',250,,New Mexico,,,,,2020,New Mexico,,,
Tavian Combs,S,Canyon,TX,6'1'',190,,New Mexico,,,,,2020,New Mexico, None, None,
Semaj Sims,OLB,Oakland,CA,6'0'',195,,New Mexico,,,,,2020,New Mexico, None, None,
Dion Hunter,OLB,LQ,Rio Rancho,NM,6'2'',220.0,,New Mexico,,,,2020,New Mexico,,,
Bobby Wooden,WR,Pearland,TX,5'11'',179,,New Mexico,,,,,2020,New Mexico, None, None,
A.J. Odums II,DE,Houston,TX,6'3'',235,,New Mexico,,,,,2020,New Mexico, None, None,
Darius McCray,ATH,Fresno,CA,5'11'',180,,New Mexico,,,,,2020,New Mexico,,,
Donald Jones,CB,Baton Rouge,LA,6'0'',163,,New Mexico,,,,,2020,New Mexico, None, None,
Connor Witthoft,TE,H,Tucson,AZ,6'3'',212.0,,New Mexico,,,,2020,New Mexico,,,
Ben Davis,OG,TR,Elk Grove,CA,6'3'',280.0,,New Mexico,,,,2020,New Mexico, None,,
Sean DuBose,OLB,Katy,TX,6'1'',225,,74.0,New Mexico,112,,,2022,New Mexico,303,222,
Adari Haulcy,CB,Missouri City,TX,5'11'',200,,74.0,New Mexico,132,,,2022,New Mexico,305,224,
