Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,Grade  
Darius Mouton,CB,Houston,TX,5'10'',170,,76.0,North Shore High School,61,,,2015,UNLV,,,,,
Dalton Sneed,QB-DT,Scottsdale,AZ,6'1'',174,,71.0,Horizon High School,,,,2015,UNLV,,,,,
Salanoa-Alo Wily,DT,Kahuku,HI,6'0'',268,,,Kahuku High School,,,,2015,UNLV,, None, None,,
Justin Polu,OG,Las Vegas,NV,6'4'',297,,,Silverado High School,,,,2015,UNLV,, None, None,,
Brandon Presley,WR,Temecula,CA,6'0'',167,,,Great Oak High School,,,,2015,UNLV,,,,,
Darren Woods,WR,Missouri City,TX,6'0'',199,,,Lawrence E. Elkins High School,,,,2015,UNLV,,,,,
Alex Neale,OC,Bellevue,WA,6'2'',285,,,Eastside Catholic High School,,,,2015,UNLV,, None, None,,
Xzaviar Campbell,RB,Bellaire,TX,5'11'',209,,,Bellaire High School,,,,2015,UNLV,,,,,
Melvin Johnson,DT,Las Vegas,NV,6'4'',242,,,Canyon Springs High School,NR,,,2015,UNLV,, NR, NR,,
Jericho Flowers,CB,Los Angeles,CA,5'10'',160,,,Hamilton High School,,,,2015,UNLV,,,,,
Evan Austrie,S,Vallejo,CA,6'1'',185,,,Vallejo High School,,,,2015,UNLV,, None, None,,
Javin White,WR,Fairfield,CA,6'2'',178,,,Vanden High School,,,,2015,UNLV,, None, None,,
Gabriel McCoy,OLB,Pittsburg,CA,6'1'',186,,,Pittsburg High School,,,,2015,UNLV,, None, None,,
Soli Afalava,S,Kahuku,HI,6'0'',185,,,Kahuku High School,NR,,,2015,UNLV,, NR, NR,,
Lexington Thomas,RB,Aldine,TX,5'9'',175,,,Davis High School,NR,,,2015,UNLV,,,,,
Nathan Jacobson,OG,Snohomish,WA,6'4'',250,,,Snohomish High School,,,,2015,UNLV,, None, None,,
Bailey Laolagi,OLB,Folsom,CA,6'1'',210,,,Folsom High School,,,,2015,UNLV,, None, None,,
Will Kreitler,OC,Scottsdale,AZ,6'0'',285,,,Scottsdale Community College,NR,,,2015,UNLV,,,,,
Kurt Palandech,QB-PP,Plainfield,IL,6'2'',200,,,Laney College,,,,2015,UNLV,, None, None,,
Mark Finau,DE,Valley Glen,CA,6'3'',230,,,Los Angeles Valley College,,,,2015,UNLV,,,,,
Jason Fao,DT,Long Beach,CA,6'1'',305,,,Long Beach City College,,,,2015,UNLV,,,,,
Zach Singer,DT,Las Vegas,NV,6'3'',300,,,Kent State University,,,,2015,UNLV,,,,,
Armani Rogers,QB-DT,Los Angeles,CA,6'5'',203,,80,,11,,,2016,UNLV,UNLV ,55,44,,
Johnny Stanton,QB-DT (JC),Rancho Santa Margarita,CA,6'2'',230,,79,,4,,,2016,UNLV,UNLV ,,,,
Julio Garcia,OG,Las Vegas,NV,6'3'',310,,69,,252,,,2016,UNLV,UNLV ,,,,
Jaron Caldwell,OG,Las Vegas,NV,6'3'',290,,68,,120,,,2016,UNLV,UNLV ,268,8,,
David Tate,ILB,Fresno,CA,6'1'',180,,none,,,,,2016,UNLV,UNLV , None, None,,
Giovanni Fauolo,TE-Y,Oakley,CA,6'2'',239,,none,,NR,,,2016,UNLV,UNLV , NR, NR,,
Charles Williams,RB,Fresno,CA,5'10'',175,,none,,,,,2016,UNLV,UNLV , None, None,,
Andre Collins,WR,Santa Ana,CA,6'3'',180,,none,,NR,,,2016,UNLV,UNLV , NR, NR,,
Tykenzie Daniels,CB,Richmond,TX,5'11'',175,,none,,,,,2016,UNLV,UNLV , None, None,,
Cameron Carr,OLB,Downey,CA,6'1'',221,,none,,,,,2016,UNLV,UNLV , None, None,,
Leevel Tatum,DT,Fresno,CA,6'2'',260,,none,,,,,2016,UNLV,UNLV , None, None,,
Mekhi Stevenson,WR,La Mesa,CA,6'0'',178,,none,,NR,,,2016,UNLV,UNLV ,,,,
Matthew Brayton,OG,La Puente,CA,6'3'',292,,none,,NR,,,2016,UNLV,UNLV ,,,,
Elijah Trosclair,WR,Sacramento,CA,6'2'',180,,none,,,,,2016,UNLV,UNLV , None,,,
Donovan Outlaw,OG,Henderson,NV,6'3'',290,,none,,,,,2016,UNLV,UNLV , None, None,,
C.J. Harris,WR,Redlands,CA,6'0'',185,,none,,,,,2016,UNLV,UNLV ,,,,
Rodney Jones,DE,Stockton,CA,6'3'',225,,none,,,,,2016,UNLV,UNLV ,,,,
Toa Iafeta,DT,Milpitas,CA,6'4'',265,,none,,,,,2016,UNLV,UNLV ,,,,
Tim Holt,TE-Y (JC),Fullerton,CA,6'3'',235,,none,,,,,2016,UNLV,UNLV ,,,,
Brian Keyes,ILB (JC),Surprise,AZ,6'1'',240,,none,,NR,,,2016,UNLV,UNLV ,,,,
Michael Adams,S (JC),Oakland,CA,6'2'',210,,none,,NR,,,2016,UNLV,UNLV, NR, NR,,
Max Gilliam,QB-DT,Thousand Oaks,CA,6'3'',200,3.0,73.0,UNLV,12,,,2018,UNLV,, NR, NR,,
Chris Manoa,DT,Chandler,AZ,6'0'',300,4.0,71.0,UNLV,118,,,2018,UNLV,,242,22,,
Bryce Jackson,CB,Chandler,AZ,5'9'',188,4.0,69.0,UNLV,144,,,2018,UNLV,,247,24,,
Kenyon Oblad,QB-PP,Henderson,NV,6'3'',191,4.0,,UNLV,,,,2018,UNLV,, None, None,,
Tyleek Collins,WR,Savannah,GA,5'9'',171,4.0,,UNLV,5,,,2018,UNLV,,,,,
Bryan Catchings,OG,El Dorado Hills,CA,6'3'',264,4.0,,UNLV,NR,,,2018,UNLV,,,,,
Timothy Mosley,DE,Los Angeles,CA,6'3'',235,3.0,,UNLV,,,,2018,UNLV,, None, None,,
Moa Heimuli,DT,Salt Lake City,UT,6'1'',275,3.0,,UNLV,,,,2018,UNLV,, None, None,,
Malakai Salu,ILB,Portland,OR,6'0'',242,3.0,,UNLV,,,,2018,UNLV,,,,,
Eric Brown,OG,Henderson,NV,6'4'',346,3.0,,UNLV,,,,2018,UNLV,, None, None,,
Phillip Hill,S,Klein,TX,6'0'',183,3.0,,UNLV,,,,2018,UNLV,, None, None,,
Octavian Bell,CB,Henderson,NV,5'10'',176,3.0,,UNLV,,,,2018,UNLV,,,,,
Chad Magyar,RB,Rancho Santa Margarita,CA,6'1'',197,3.0,,UNLV,NR,,,2018,UNLV,, NR, NR,,
Patrick Ballard,WR,Fort Bend,TX,6'2'',190,3.0,,UNLV,,,,2018,UNLV,, None, None,,
Austin Ajiake,ATH,San Jose,CA,6'2'',215,3.0,,UNLV,NR,,,2018,UNLV,,,,,
Malcolm Johnson,ILB,Mandeville,LA,6'0'',225,3.0,,UNLV,,,,2018,UNLV,,,,,
Shelton Zeon III,TE-H,Norcross,GA,6'3'',210,3.0,,UNLV,,,,2018,UNLV,,,,,
Amani Trigg-Wright,OG,Oakland,CA,6'3'',325,3.0,,UNLV,NR,,,2018,UNLV,,,,,
Myles Plummer,S,Coffeyville,KS,6'0'',185,3.0,,UNLV,,,,2018,UNLV,,,,,
Luca Vartic,S,Kealakehe,HI,6'1'',190,3.0,,UNLV,,,,2018,UNLV,,,,,
Tavis Malakius,DT,Macon,GA,6'2'',310,3.0,,UNLV,,,,2018,UNLV,,,,,
Dominion Ezinwa,DT,Rancho Cucamonga,CA,6'3'',300,3.0,,UNLV,,,,2018,UNLV,,,,,
Montrice Johns,DT,San Diego,CA,6'3'',335,3.0,,UNLV,NR,,,2018,UNLV,,,,,
Keenen King,OG,Las Vegas,NV,6'4'',325,3.0,,UNLV,,,,2018,UNLV,, None,,,
Victor Viramontes,ILB,Norco,CA,6'1'',225.0,80.0,UNLV,,2,,,2019,UNLV,, None, None,,
Travis Mumphrey Jr.,QB-DT,Marrero,LA,6'1'',193.0,75.0,UNLV,,37,,,2019,UNLV,,542,37,,
Seth Robinson,OLB,Scottsdale,AZ,6'2'',195.0,,UNLV,,NR,,,2019,UNLV,,,,,
